tender_id,category,region,procurement_method,bid_count,median_bid_ratio,mad,relative_spread,coefficient_of_variation,minimum_bid_ratio,maximum_bid_ratio,peer_median,peer_mad,peer_count,robust_z,tightness_percentile,price_evidence,tightness_score
T02374,LAB_EQUIPMENT,AP-SOUTH,OPEN,10,1.00996,0.01087,0.06236,0.01763,0.97022,1.0332,0.10222,0.01607,5,1.6730057045884934,0.2,1.685705134129644,16.03592046183451
T00407,LAB_EQUIPMENT,AP-SOUTH,OPEN,7,0.99093,0.02024,0.06492,0.0234,0.95613,1.02046,0.10222,0.01607,5,1.5655572699736777,0.4,1.6847633742631525,15.403573629081945
T00287,WATER_INFRASTRUCTURE,KA-CENTRAL,OPEN,3,1.04408,0.00443,0.00877,0.00358,1.03965,1.04881,0.11693,0.029219999999999996,59,2.496677636721032,0.01694915254237288,1.6757511928422701,114.02508551881414
T02415,MEDICAL_SUPPLIES,AP-SOUTH,OPEN,7,1.00671,0.0302,0.11221,0.03636,0.9345,1.04746,0.14634999999999998,0.01353500000000002,4,1.7013014058759448,0.25,1.6725440621793815,8.911861687906603
T00908,FURNITURE,KA-NORTH,OPEN,3,1.01625,0.00337,0.027,0.01194,1.01288,1.04032,0.1018,0.020879999999999996,33,2.416279157511941,0.09090909090909091,1.6714588322806883,37.03703703703704
T02196,FURNITURE,TN-NORTH,LIMITED,5,0.98018,0.0048,0.04175,0.0171,0.94405,0.98498,0.08023,0.014125000000000006,4,1.8374799592679198,0.25,1.669983967414336,23.95209580838323
T01576,MEDICAL_SUPPLIES,KA-SOUTH,OPEN,9,1.0202,0.01305,0.04466,0.01621,1.00455,1.05011,0.09937,0.020879999999999996,45,1.7673079238967688,0.1111111111111111,1.6697058088958932,22.39140170174653
T02335,VEHICLE_SUPPLIES,KA-NORTH,OPEN,8,0.9777,0.01252,0.06989,0.02,0.94728,1.01561,0.12007000000000001,0.019319999999999997,26,1.7518605750794805,0.15384615384615385,1.66749338780993,14.308198597796538
T01440,WATER_INFRASTRUCTURE,KA-CENTRAL,LIMITED,4,1.00023,0.00465,0.02474,0.00992,0.99521,1.01995,0.079,0.017060000000000006,13,2.145244349894493,0.07692307692307693,1.6666255701131774,40.420371867421174
T01510,ROAD_CONSTRUCTION,KA-NORTH,OPEN,3,0.99079,0.00476,0.00975,0.00398,0.98589,0.99555,0.10597000000000001,0.02621499999999999,62,2.4756628219278287,0.016129032258064516,1.6611945694572623,102.56410256410257
T00470,ROAD_CONSTRUCTION,KA-NORTH,OPEN,3,1.01291,0.00481,0.01045,0.00427,1.00811,1.0187,0.10597000000000001,0.02621499999999999,62,2.4576523877628995,0.03225806451612903,1.6599403015193526,95.69377990430623
T01377,LAB_EQUIPMENT,KA-SOUTH,OPEN,5,0.97518,0.01031,0.0512,0.01841,0.96487,1.01479,0.09267500000000001,0.01473999999999999,18,1.8978632462206113,0.16666666666666666,1.6516239303098226,19.53125
T00382,ELECTRICAL_EQUIPMENT,KA-CENTRAL,OPEN,5,0.97711,0.00877,0.03291,0.01425,0.95373,0.98588,0.10079,0.02248,42,2.0366740548608218,0.023809523809523808,1.6483868629362766,30.385900941962927
T01903,CIVIL_MAINTENANCE,KA-NORTH,OPEN,5,1.01304,0.01486,0.03241,0.01265,0.99507,1.0279,0.103015,0.023669999999999997,62,2.011931562012886,0.04838709677419355,1.6482549270296638,30.8546744831842
T01111,CIVIL_MAINTENANCE,KA-BENGALURU,OPEN,5,1.05961,0.00119,0.00898,0.00295,1.05401,1.06352,0.1076,0.03349,14,1.986213159139499,0.07142857142857142,1.6461133844544564,111.35857461024499
T00722,CIVIL_MAINTENANCE,KA-NORTH,OPEN,5,0.94979,0.00935,0.03226,0.01296,0.9285,0.95914,0.103015,0.023669999999999997,62,2.0162059014265528,0.03225806451612903,1.6387711727541454,30.998140111593308
T00927,LAB_EQUIPMENT,TN-NORTH,OPEN,8,0.99909,0.01238,0.09022,0.02603,0.94085,1.03098,0.10492499999999999,0.0061350000000000085,4,1.6166889353061642,0.25,1.6333528183928936,11.084016847705609
T02232,MEDICAL_SUPPLIES,KA-SOUTH,OPEN,3,1.00019,0.00186,0.02498,0.01145,0.97706,1.00204,0.09937,0.020879999999999996,45,2.4030348466218356,0.044444444444444446,1.6316528607108534,40.0320256204964
T01039,MEDICAL_SUPPLIES,KA-CENTRAL,TWO_STAGE,3,1.02215,0.01704,0.058,0.02458,0.97991,1.03919,0.08537,0.008220000000000005,5,2.24584088648107,0.2,1.6305605909873804,17.241379310344826
T02185,FURNITURE,KA-NORTH,OPEN,4,0.97419,0.00583,0.03961,0.01547,0.96672,1.0053,0.1018,0.020879999999999996,33,2.008935839647963,0.15151515151515152,1.6203382433723357,25.246149962130776
T02061,BUILDING_CONSTRUCTION,KA-BENGALURU,OPEN,4,0.9778,0.01733,0.04244,0.01857,0.9559,0.9974,0.11302,0.02312,21,2.0590639188519932,0.047619047619047616,1.5800122248532804,23.5626767200754
T01540,MEDICAL_SUPPLIES,KA-SOUTH,OPEN,4,1.0236,0.0064,0.03657,0.01357,0.99719,1.03462,0.09937,0.020879999999999996,45,2.0286407899966563,0.06666666666666667,1.5714805924974924,27.344818156959256
T00096,MEDICAL_SUPPLIES,KA-NORTH,OPEN,4,1.01442,0.00843,0.02315,0.00979,1.00032,1.0238,0.11554500000000001,0.030324999999999998,58,2.055056017208245,0.034482758620689655,1.567154081871701,43.196544276457885
T00017,ROAD_CONSTRUCTION,KA-NORTH,OPEN,6,0.99204,0.0019,0.03558,0.01231,0.98929,1.02459,0.10597000000000001,0.02621499999999999,62,1.811077801241944,0.06451612903225806,1.5629949418951683,28.10567734682406
T02208,FURNITURE,KA-SOUTH,OPEN,3,1.02238,0.01129,0.03197,0.0133,1.00098,1.03367,0.120115,0.025825000000000008,32,2.3021486154526416,0.03125,1.5555990769684278,31.279324366593684
T00784,ELECTRICAL_EQUIPMENT,KA-SOUTH,TWO_STAGE,4,1.01011,0.00546,0.01655,0.00627,1.00112,1.01784,0.09820000000000001,0.028905,6,1.9052818028460132,0.16666666666666666,1.5539613521345097,60.422960725075534
T00629,ROAD_CONSTRUCTION,KA-CENTRAL,TWO_STAGE,3,0.9892,0.02077,0.04967,0.02031,0.96843,1.01757,0.08646999999999999,0.011260000000000006,16,2.2043747734226184,0.125,1.552916515615079,20.132876988121602
T00218,LAB_EQUIPMENT,KA-NORTH,OPEN,3,1.00884,0.003,0.01484,0.00639,1.00584,1.02081,0.07648,0.018280000000000005,19,2.2743769373160463,0.05263157894736842,1.5513390108422767,67.38544474393531
T01117,VEHICLE_SUPPLIES,KA-BENGALURU,LIMITED,4,0.99614,0.01904,0.04177,0.01955,0.97611,1.01771,0.13124,0.03482000000000002,3,1.7331042001829677,0.3333333333333333,1.5498281501372257,23.940627244433802
T01856,IT_SERVICES,KA-SOUTH,OPEN,4,1.00393,0.0032,0.01604,0.00641,1.00038,1.01648,0.09166,0.02535000000000001,37,2.012031212292707,0.05405405405405406,1.5495639497600706,62.344139650872826
T01534,MEDICAL_SUPPLIES,KA-NORTH,OPEN,6,1.00918,0.01319,0.03753,0.01542,0.99569,1.03356,0.11554500000000001,0.030324999999999998,58,1.735215056902443,0.1206896551724138,1.5465872600623807,26.64535038635758
T00610,FURNITURE,KA-SOUTH,OPEN,4,0.99226,0.01141,0.04366,0.01546,0.97056,1.01389,0.120115,0.025825000000000008,32,1.9968321787331293,0.0625,1.5444991340498468,22.904260192395785
T00271,IT_SERVICES,KA-SOUTH,OPEN,4,0.99294,0.00269,0.01535,0.00608,0.98979,1.00504,0.09166,0.02535000000000001,37,2.030390132373135,0.02702702702702703,1.5430628695501216,65.14657980456026
T02359,MEDICAL_SUPPLIES,KA-NORTH,OPEN,5,1.01127,0.00666,0.03316,0.01105,0.99154,1.02507,0.11554500000000001,0.030324999999999998,58,1.8324129008896723,0.08620689655172414,1.5348958379531172,30.156815440289503
T01855,WATER_INFRASTRUCTURE,KA-SOUTH,OPEN,7,0.98787,0.00606,0.04896,0.01592,0.96984,1.01821,0.10991999999999999,0.024564999999999997,36,1.6738024301930896,0.1111111111111111,1.5299258925464578,20.42483660130719
T00884,ELECTRICAL_EQUIPMENT,KA-CENTRAL,TWO_STAGE,3,1.02194,0.01399,0.08061,0.03586,0.95355,1.03592,0.133665,0.017509999999999998,4,2.043695445118833,0.25,1.5291302967458889,12.405408758218583
T01470,ELECTRICAL_EQUIPMENT,KA-SOUTH,LIMITED,4,1.03242,0.0123,0.05629,0.02321,0.98675,1.04487,0.0958,0.014440000000000008,11,1.8455076112825664,0.18181818181818182,1.520494344825561,17.765144785930005
T01118,ROAD_CONSTRUCTION,KA-CENTRAL,TWO_STAGE,5,1.01946,0.00305,0.05793,0.02158,1.01642,1.07548,0.08646999999999999,0.011260000000000006,16,1.7095884791706935,0.1875,1.5176707833365548,17.262213015708614
T01602,LAB_EQUIPMENT,KA-BENGALURU,LIMITED,4,1.01042,0.0107,0.05502,0.02033,0.99358,1.04917,0.07583999999999999,0.007950000000000006,4,1.766402215383987,0.25,1.51230166153799,18.175209014903672
T00726,BUILDING_CONSTRUCTION,TN-NORTH,OPEN,8,0.98464,0.00604,0.03777,0.01357,0.95519,0.99238,0.091735,0.022385000000000002,10,1.6260394833662923,0.1,1.5102845479455058,26.476039184537996
T01523,CIVIL_MAINTENANCE,KA-CENTRAL,OPEN,4,1.00767,0.01174,0.02719,0.01239,0.99529,1.02269,0.0943,0.022679999999999992,73,1.9958145885570688,0.0136986301369863,1.5071349140205412,36.77822728944465
T00368,ROAD_CONSTRUCTION,KA-NORTH,OPEN,6,1.03881,0.01375,0.0392,0.01435,1.02299,1.06371,0.10597000000000001,0.02621499999999999,62,1.7179381274175962,0.08064516129032258,1.498819407256599,25.510204081632654
T02340,CIVIL_MAINTENANCE,KA-NORTH,OPEN,5,1.01305,0.01581,0.04,0.0162,0.98834,1.02886,0.103015,0.023669999999999997,62,1.7956499876813539,0.06451612903225806,1.4881328933708895,25.0
T02140,CIVIL_MAINTENANCE,KA-CENTRAL,OPEN,6,0.98928,0.00502,0.03543,0.01128,0.98099,1.01604,0.0943,0.022679999999999992,73,1.7507615083944958,0.0273972602739726,1.4817989738903903,28.224668360146765
T02445,LAB_EQUIPMENT,KA-SOUTH,OPEN,5,0.98773,0.00776,0.05706,0.02087,0.97996,1.03633,0.09267500000000001,0.01473999999999999,18,1.6297142739999295,0.2222222222222222,1.4815491969777215,17.525411847178407
T00205,IT_SERVICES,KA-SOUTH,OPEN,7,0.99737,0.00823,0.02985,0.01017,0.9853,1.01507,0.09166,0.02535000000000001,37,1.6445867393786326,0.08108108108108109,1.4791438461083262,33.50083752093802
T00387,LAB_EQUIPMENT,KA-NORTH,OPEN,5,0.99885,0.01017,0.02937,0.01071,0.98867,1.018,0.07648,0.018280000000000005,19,1.738252717666433,0.10526315789473684,1.474812700448936,34.04834865509023
T02160,IT_SERVICES,KA-NORTH,TWO_STAGE,3,0.98037,0.01043,0.06225,0.02682,0.96994,1.03097,0.11099,0.01569000000000001,9,2.095263200566554,0.1111111111111111,1.4709162077851103,16.06425702811245
T01113,WATER_INFRASTRUCTURE,KA-SOUTH,TWO_STAGE,4,0.98162,0.00589,0.02414,0.00987,0.96418,0.98788,0.08648,0.023465,6,1.791934964661025,0.16666666666666666,1.4689512234957687,41.42502071251035
T00905,ROAD_CONSTRUCTION,KA-NORTH,OPEN,4,1.00205,0.00318,0.03174,0.01229,0.9764,1.0082,0.10597000000000001,0.02621499999999999,62,1.9098778972324126,0.04838709677419355,1.4686987455049545,31.5059861373661
T01375,CIVIL_MAINTENANCE,KA-CENTRAL,OPEN,7,1.00575,0.0109,0.03857,0.01364,0.99486,1.03365,0.0943,0.022679999999999992,73,1.6573796307597293,0.0547945205479452,1.4675778439780067,25.926886180969664
T01850,MEDICAL_SUPPLIES,KA-NORTH,LIMITED,4,1.02945,0.00386,0.03981,0.01588,0.99452,1.03551,0.09124,0.019130000000000008,7,1.813332972288619,0.14285714285714285,1.4671425863593213,25.119316754584275
T00492,FURNITURE,KA-NORTH,OPEN,3,0.98828,0.00225,0.03751,0.01698,0.98603,1.0231,0.1018,0.020879999999999996,33,2.0767725539631376,0.12121212121212122,1.465323116783506,26.659557451346306
T00088,MEDICAL_SUPPLIES,KA-NORTH,OPEN,3,1.00505,0.00621,0.0177,0.00732,0.99884,1.01663,0.11554500000000001,0.030324999999999998,58,2.176275296322753,0.017241379310344827,1.4623444504220653,56.497175141242934
T00031,BUILDING_CONSTRUCTION,KA-CENTRAL,OPEN,4,1.0252,0.00685,0.03298,0.0118,1.00488,1.0387,0.11566,0.02932,70,1.902008731020631,0.02857142857142857,1.4479351196940446,30.321406913280775
T01407,WATER_INFRASTRUCTURE,KA-SOUTH,OPEN,3,0.96494,0.01189,0.03197,0.0132,0.94598,0.97684,0.10991999999999999,0.024564999999999997,36,2.1403034683981517,0.027777777777777776,1.4453874974506198,31.279324366593684
T02360,BUILDING_CONSTRUCTION,KA-SOUTH,OPEN,5,0.98882,0.01276,0.04578,0.01723,0.95631,1.00158,0.10953,0.024610000000000007,53,1.7472078795868726,0.03773584905660377,1.4279549829147813,21.8435998252512
T01072,BUILDING_CONSTRUCTION,KA-SOUTH,OPEN,3,0.97156,0.00572,0.03268,0.01412,0.96584,0.99759,0.10953,0.024610000000000007,53,2.1062419693529595,0.018867924528301886,1.4167399292541745,30.599755201958384
T01981,BUILDING_CONSTRUCTION,KA-SOUTH,OPEN,6,1.01705,0.0017,0.05126,0.01806,1.01342,1.06556,0.10953,0.024610000000000007,53,1.5970165198984638,0.09433962264150944,1.4094634521166445,19.508388607101054
T02443,FURNITURE,KA-SOUTH,OPEN,5,0.96106,0.01396,0.05756,0.01982,0.94639,1.00171,0.120115,0.025825000000000008,32,1.6337955260041974,0.125,1.4070364208033581,17.373175816539263
T01200,FURNITURE,KA-NORTH,OPEN,4,0.99149,0.00453,0.04968,0.02031,0.94798,0.99724,0.1018,0.020879999999999996,33,1.683642642908053,0.18181818181818182,1.3990956185446763,20.128824476650564
T02030,FURNITURE,KA-NORTH,OPEN,6,1.00089,0.02679,0.0567,0.02265,0.97161,1.02836,0.1018,0.020879999999999996,33,1.4568741979116115,0.21212121212121213,1.3908295083606865,17.636684303350968
T00033,BUILDING_CONSTRUCTION,KA-SOUTH,OPEN,5,1.03131,0.00777,0.04839,0.02222,0.98918,1.03908,0.10953,0.024610000000000007,53,1.675675133457904,0.05660377358490566,1.385823125634248,20.665426741062202
T01949,ROAD_CONSTRUCTION,KA-SOUTH,LIMITED,3,1.01204,0.00889,0.02417,0.01001,0.99646,1.02092,0.06523,0.014189999999999994,9,1.9516977155820303,0.1111111111111111,1.3752058844620945,41.37360364087712
T00040,CIVIL_MAINTENANCE,KA-CENTRAL,OPEN,7,0.97189,0.005,0.0445,0.01479,0.96689,1.01014,0.0943,0.022679999999999992,73,1.48102468350681,0.1232876712328767,1.37512487549116,22.471910112359552
T01870,ELECTRICAL_EQUIPMENT,KA-CENTRAL,OPEN,3,1.04607,0.01369,0.03367,0.01389,1.02454,1.05976,0.10079,0.02248,42,2.013870986479941,0.047619047619047616,1.3743266893993258,29.700029700029702
T01024,VEHICLE_SUPPLIES,KA-NORTH,OPEN,3,1.01061,0.01194,0.0644,0.02762,0.99866,1.06375,0.12007000000000001,0.019319999999999997,26,1.9435248747444134,0.11538461538461539,1.372606326752686,15.527950310559007
T02240,WATER_INFRASTRUCTURE,KA-CENTRAL,OPEN,3,1.01825,0.01331,0.02921,0.01196,1.00182,1.03156,0.11693,0.029219999999999996,59,2.024857269722346,0.03389830508474576,1.3725037165380614,34.23485107839781
T01978,VEHICLE_SUPPLIES,KA-CENTRAL,LIMITED,4,0.99969,0.01593,0.06469,0.02299,0.97077,1.03544,0.09132,0.011679999999999996,7,1.5378158326080256,0.2857142857142857,1.3676475887417334,15.45833977430824
T00923,LAB_EQUIPMENT,KA-CENTRAL,OPEN,4,1.03128,0.00496,0.01852,0.0068,1.02368,1.04279,0.08785,0.026139999999999997,29,1.7889228903792025,0.034482758620689655,1.3675542367499192,53.99568034557236
T01707,BUILDING_CONSTRUCTION,KA-CENTRAL,OPEN,4,0.99933,0.00582,0.03895,0.01438,0.98847,1.0274,0.11566,0.02932,70,1.764672106393234,0.05714285714285714,1.3663612226520683,25.673940949935815
T00672,CIVIL_MAINTENANCE,KA-SOUTH,OPEN,3,1.00746,0.00131,0.01113,0.00496,1.00615,1.01736,0.09694,0.028469999999999995,61,2.03294879068095,0.01639344262295082,1.3662281555359337,89.84725965858041
T00809,WATER_INFRASTRUCTURE,AP-SOUTH,OPEN,5,0.97241,0.00632,0.07034,0.0231,0.94856,1.01696,0.11100499999999999,0.018865,12,1.4539181942282395,0.25,1.3631345553825918,14.216661927779358
T01000,IT_SERVICES,KA-NORTH,OPEN,3,1.02237,0.00474,0.01647,0.00692,1.01763,1.03447,0.09833,0.02729000000000001,51,2.023225121683916,0.0196078431372549,1.361888643214114,60.71645415907712
T00664,CIVIL_MAINTENANCE,KA-CENTRAL,OPEN,6,0.95289,0.01469,0.04212,0.0172,0.93726,0.9774,0.0943,0.022679999999999992,73,1.551804578019786,0.0821917808219178,1.3616636323680864,23.741690408357076
T02127,CIVIL_MAINTENANCE,KA-NORTH,OPEN,3,0.9809,0.00562,0.03204,0.01386,0.97529,1.00671,0.103015,0.023669999999999997,62,2.0224749325665967,0.016129032258064516,1.3590693098831077,31.210986267166042
T01579,FURNITURE,KA-SOUTH,OPEN,4,1.01627,0.01328,0.05434,0.01948,0.99345,1.04867,0.120115,0.025825000000000008,32,1.7178946642622666,0.09375,1.3587334981966999,18.40264998159735
T01940,CIVIL_MAINTENANCE,KA-CENTRAL,OPEN,6,0.98759,0.00991,0.04319,0.0146,0.97318,1.01583,0.0943,0.022679999999999992,73,1.5199833649404226,0.1095890410958904,1.3579770050302609,23.1535077564251
T01507,CIVIL_MAINTENANCE,KA-CENTRAL,OPEN,5,0.94823,0.00302,0.03968,0.01435,0.94317,0.9808,0.0943,0.022679999999999992,73,1.6243688396213243,0.0684931506849315,1.3542895922450047,25.201612903225808
T01845,CIVIL_MAINTENANCE,KA-NORTH,OPEN,6,0.97234,0.01595,0.04949,0.01771,0.94639,0.99452,0.103015,0.023669999999999997,62,1.5252267807767115,0.0967741935483871,1.3516674786042489,20.20610224287735
T01660,IT_SERVICES,KA-CENTRAL,OPEN,4,0.99394,0.01275,0.02995,0.01384,0.98093,1.01069,0.1033,0.027770000000000003,53,1.781559136031986,0.018867924528301886,1.3503202954202158,33.3889816360601
T01380,BUILDING_CONSTRUCTION,KA-CENTRAL,OPEN,3,1.02459,0.01219,0.02875,0.01178,1.0124,1.04186,0.11566,0.02932,70,1.9993175957063745,0.014285714285714285,1.3424022066613925,34.78260869565217
T00506,VEHICLE_SUPPLIES,KA-SOUTH,OPEN,3,0.99389,0.00632,0.0286,0.01233,0.97178,1.0002,0.11184,0.029350000000000015,21,1.9129339290913714,0.09523809523809523,1.338781349552978,34.96503496503497
T00510,CIVIL_MAINTENANCE,KA-BENGALURU,LIMITED,5,0.98199,0.03077,0.07375,0.02767,0.95123,1.02365,0.12251,0.024590000000000015,3,1.3374611399788028,0.3333333333333333,1.3366355786497088,13.559322033898306
T02354,BUILDING_CONSTRUCTION,KA-SOUTH,OPEN,6,1.01504,0.00808,0.05546,0.01804,0.97408,1.03038,0.10953,0.024610000000000007,53,1.4819063537139168,0.11320754716981132,1.3292615840697735,18.031013342949873
T00697,BUILDING_CONSTRUCTION,KA-CENTRAL,OPEN,7,0.98711,0.00931,0.05262,0.01558,0.95626,1.0082,0.11566,0.02932,70,1.450201141794153,0.1,1.32874383582356,19.004180919802355
T00771,LAB_EQUIPMENT,KA-BENGALURU,OPEN,8,0.9982,0.00538,0.04908,0.01634,0.95598,1.00496,0.10547999999999999,0.028195000000000005,6,1.3492207424890923,0.16666666666666666,1.3264014830112891,20.37489812550937
T00869,VEHICLE_SUPPLIES,KA-NORTH,LIMITED,3,0.9984,0.00489,0.01193,0.00489,0.99351,1.00542,0.08781,0.028120000000000006,6,1.8200696596402575,0.16666666666666666,1.3244908842046164,83.82229673093043
T01697,ROAD_CONSTRUCTION,AP-SOUTH,OPEN,4,0.9794,0.01419,0.09606,0.03756,0.96233,1.05641,0.12472,0.013115000000000002,14,1.4739538823178964,0.2857142857142857,1.3197511260241366,10.410160316468874
T00744,ELECTRICAL_EQUIPMENT,KA-CENTRAL,LIMITED,4,0.98418,0.01313,0.06693,0.02697,0.97069,1.03656,0.08738,0.00827,11,1.667876182744422,0.09090909090909091,1.3190889552401346,14.940983116689077
T00548,WATER_INFRASTRUCTURE,KA-SOUTH,OPEN,3,1.00115,0.00907,0.0402,0.01709,0.99207,1.03232,0.10991999999999999,0.024564999999999997,36,1.914329157366506,0.05555555555555555,1.3132564752813745,24.875621890547265
