vendor_id,total_tenders,early_tenders,late_tenders,early_wins,late_wins,early_win_rate,late_win_rate,win_rate_shift,early_participation_share,late_participation_share,participation_shift,standardized_win_shift,sample_weight,behavioral_shift
V0375,17,9,8,0,3,0.0,0.375,0.375,0.5294,0.4706,-0.0588,2.0244,0.6325,0.2744
V0206,12,6,6,3,0,0.5,0.0,-0.5,0.5,0.5,0.0,2.0,0.5477,0.2739
V0318,12,6,6,3,0,0.5,0.0,-0.5,0.5,0.5,0.0,2.0,0.5477,0.2739
V0249,37,19,18,6,1,0.3158,0.0556,-0.2602,0.5135,0.4865,-0.027,2.0201,0.9487,0.2725
V0273,22,11,11,4,0,0.3636,0.0,-0.3636,0.5,0.5,0.0,2.2111,0.7416,0.2697
V0420,22,11,11,4,0,0.3636,0.0,-0.3636,0.5,0.5,0.0,2.2111,0.7416,0.2697
V0107,19,10,9,1,4,0.1,0.4444,0.3444,0.5263,0.4737,-0.0526,1.7024,0.6708,0.2664
V0439,19,10,9,1,4,0.1,0.4444,0.3444,0.5263,0.4737,-0.0526,1.7024,0.6708,0.2664
V0209,36,18,18,0,5,0.0,0.2778,0.2778,0.5,0.5,0.0,2.4097,0.9487,0.2635
V0459,21,11,10,2,5,0.1818,0.5,0.3182,0.5238,0.4762,-0.0476,1.5448,0.7071,0.2587
V0135,24,12,12,4,0,0.3333,0.0,-0.3333,0.5,0.5,0.0,2.1909,0.7746,0.2582
V0378,24,12,12,6,2,0.5,0.1667,-0.3333,0.5,0.5,0.0,1.7321,0.7746,0.2582
V0034,53,27,26,4,10,0.1481,0.3846,0.2365,0.5094,0.4906,-0.0189,1.952,1.0,0.2553
V0029,33,17,16,1,5,0.0588,0.3125,0.2537,0.5152,0.4848,-0.0303,1.8883,0.8944,0.254
V0140,14,7,7,0,3,0.0,0.4286,0.4286,0.5,0.5,0.0,1.954,0.5916,0.2535
V0205,14,7,7,0,3,0.0,0.4286,0.4286,0.5,0.5,0.0,1.954,0.5916,0.2535
V0365,21,11,10,1,4,0.0909,0.4,0.3091,0.5238,0.4762,-0.0476,1.6609,0.7071,0.2522
V0362,26,13,13,1,5,0.0769,0.3846,0.3077,0.5,0.5,0.0,1.8619,0.8062,0.2481
V0351,17,9,8,3,0,0.3333,0.0,-0.3333,0.5294,0.4706,-0.0588,1.7995,0.6325,0.248
V0288,29,15,14,5,1,0.3333,0.0714,-0.2619,0.5172,0.4828,-0.0345,1.7399,0.8367,0.248
V0436,28,14,14,5,1,0.3571,0.0714,-0.2857,0.5,0.5,0.0,1.8423,0.8367,0.239
V0224,42,21,21,1,6,0.0476,0.2857,0.2381,0.5,0.5,0.0,2.0702,1.0,0.2381
V0031,13,7,6,1,3,0.1429,0.5,0.3571,0.5385,0.4615,-0.0769,1.3909,0.5477,0.2377
V0314,13,7,6,1,3,0.1429,0.5,0.3571,0.5385,0.4615,-0.0769,1.3909,0.5477,0.2377
V0321,16,8,8,0,3,0.0,0.375,0.375,0.5,0.5,0.0,1.9215,0.6325,0.2372
V0230,41,21,20,4,8,0.1905,0.4,0.2095,0.5122,0.4878,-0.0244,1.4739,1.0,0.2339
V0079,30,15,15,6,2,0.4,0.1333,-0.2667,0.5,0.5,0.0,1.6514,0.866,0.2309
V0063,30,15,15,4,8,0.2667,0.5333,0.2667,0.5,0.5,0.0,1.4907,0.866,0.2309
V0163,13,7,6,0,2,0.0,0.3333,0.3333,0.5385,0.4615,-0.0769,1.6606,0.5477,0.2247
V0033,25,13,12,0,3,0.0,0.25,0.25,0.52,0.48,-0.04,1.9218,0.7746,0.2246
V0303,27,14,13,1,4,0.0714,0.3077,0.2363,0.5185,0.4815,-0.037,1.5791,0.8062,0.2203
V0319,34,17,17,1,5,0.0588,0.2941,0.2353,0.5,0.5,0.0,1.7995,0.922,0.2169
V0161,34,17,17,6,2,0.3529,0.1176,-0.2353,0.5,0.5,0.0,1.6172,0.922,0.2169
V0214,20,10,10,3,0,0.3,0.0,-0.3,0.5,0.5,0.0,1.8787,0.7071,0.2121
V0151,23,12,11,4,1,0.3333,0.0909,-0.2424,0.5217,0.4783,-0.0435,1.408,0.7416,0.212
V0383,36,18,18,6,2,0.3333,0.1111,-0.2222,0.5,0.5,0.0,1.6036,0.9487,0.2108
V0360,25,13,12,3,0,0.2308,0.0,-0.2308,0.52,0.48,-0.04,1.7739,0.7746,0.2097
V0021,15,8,7,0,2,0.0,0.2857,0.2857,0.5333,0.4667,-0.0667,1.624,0.5916,0.2085
V0469,31,16,15,2,5,0.125,0.3333,0.2083,0.5161,0.4839,-0.0323,1.3864,0.866,0.2084
V0373,22,12,10,0,2,0.0,0.2,0.2,0.5455,0.4545,-0.0909,1.6248,0.7071,0.2057
V0291,38,19,19,6,2,0.3158,0.1053,-0.2105,0.5,0.5,0.0,1.5916,0.9747,0.2052
V0370,37,20,17,4,1,0.2,0.0588,-0.1412,0.5405,0.4595,-0.0811,1.2518,0.922,0.2049
V0464,33,17,16,3,6,0.1765,0.375,0.1985,0.5152,0.4848,-0.0303,1.2798,0.8944,0.2047
V0049,17,9,8,1,3,0.1111,0.375,0.2639,0.5294,0.4706,-0.0588,1.2803,0.6325,0.2041
V0281,40,20,20,1,5,0.05,0.25,0.2,0.5,0.5,0.0,1.7712,1.0,0.2
V0003,40,20,20,2,6,0.1,0.3,0.2,0.5,0.5,0.0,1.5811,1.0,0.2
V0330,10,5,5,2,0,0.4,0.0,-0.4,0.5,0.5,0.0,1.5811,0.5,0.2
V0474,10,5,5,0,2,0.0,0.4,0.4,0.5,0.5,0.0,1.5811,0.5,0.2
V0130,27,14,13,4,1,0.2857,0.0769,-0.2088,0.5185,0.4815,-0.037,1.3955,0.8062,0.1982
V0054,33,17,16,1,4,0.0588,0.25,0.1912,0.5152,0.4848,-0.0303,1.5308,0.8944,0.1981
V0363,45,23,22,5,1,0.2174,0.0455,-0.1719,0.5111,0.4889,-0.0222,1.6961,1.0,0.1942
V0483,55,28,27,8,3,0.2857,0.1111,-0.1746,0.5091,0.4909,-0.0182,1.6183,1.0,0.1928
V0338,45,23,22,6,2,0.2609,0.0909,-0.17,0.5111,0.4889,-0.0222,1.4907,1.0,0.1922
V0533,37,19,18,3,6,0.1579,0.3333,0.1754,0.5135,0.4865,-0.027,1.2432,0.9487,0.1921
V0463,19,10,9,1,3,0.1,0.3333,0.2333,0.5263,0.4737,-0.0526,1.2457,0.6708,0.1918
V0498,19,10,9,1,3,0.1,0.3333,0.2333,0.5263,0.4737,-0.0526,1.2457,0.6708,0.1918
V0069,15,8,7,2,0,0.25,0.0,-0.25,0.5333,0.4667,-0.0667,1.421,0.5916,0.1873
V0221,15,8,7,2,0,0.25,0.0,-0.25,0.5333,0.4667,-0.0667,1.421,0.5916,0.1873
V0527,15,8,7,2,0,0.25,0.0,-0.25,0.5333,0.4667,-0.0667,1.421,0.5916,0.1873
V0065,26,13,13,2,5,0.1538,0.3846,0.2308,0.5,0.5,0.0,1.3264,0.8062,0.1861
V0468,26,13,13,2,5,0.1538,0.3846,0.2308,0.5,0.5,0.0,1.3264,0.8062,0.1861
V0143,13,7,6,3,1,0.4286,0.1667,-0.2619,0.5385,0.4615,-0.0769,1.02,0.5477,0.1856
V0503,13,7,6,3,1,0.4286,0.1667,-0.2619,0.5385,0.4615,-0.0769,1.02,0.5477,0.1856
V0494,29,15,14,6,3,0.4,0.2143,-0.1857,0.5172,0.4828,-0.0345,1.0802,0.8367,0.1842
V0007,39,20,19,2,5,0.1,0.2632,0.1632,0.5128,0.4872,-0.0256,1.3271,0.9747,0.184
V0425,12,6,6,2,0,0.3333,0.0,-0.3333,0.5,0.5,0.0,1.5492,0.5477,0.1826
V0304,44,22,22,2,6,0.0909,0.2727,0.1818,0.5,0.5,0.0,1.5635,1.0,0.1818
V0041,39,20,19,1,4,0.05,0.2105,0.1605,0.5128,0.4872,-0.0256,1.4988,0.9747,0.1815
V0313,28,14,14,1,4,0.0714,0.2857,0.2143,0.5,0.5,0.0,1.4803,0.8367,0.1793
V0058,17,9,8,2,0,0.2222,0.0,-0.2222,0.5294,0.4706,-0.0588,1.4194,0.6325,0.1777
V0070,17,9,8,2,0,0.2222,0.0,-0.2222,0.5294,0.4706,-0.0588,1.4194,0.6325,0.1777
V0545,17,9,8,2,0,0.2222,0.0,-0.2222,0.5294,0.4706,-0.0588,1.4194,0.6325,0.1777
V0387,35,18,17,4,1,0.2222,0.0588,-0.1634,0.5143,0.4857,-0.0286,1.3807,0.922,0.177
V0263,49,25,24,7,3,0.28,0.125,-0.155,0.5102,0.4898,-0.0204,1.3458,1.0,0.1754
V0052,46,23,23,0,4,0.0,0.1739,0.1739,0.5,0.5,0.0,2.0931,1.0,0.1739
V0275,46,23,23,8,4,0.3478,0.1739,-0.1739,0.5,0.5,0.0,1.3431,1.0,0.1739
V0478,30,15,15,4,1,0.2667,0.0667,-0.2,0.5,0.5,0.0,1.4697,0.866,0.1732
V0431,23,12,11,1,3,0.0833,0.2727,0.1894,0.5217,0.4783,-0.0435,1.197,0.7416,0.1727
V0213,19,10,9,2,0,0.2,0.0,-0.2,0.5263,0.4737,-0.0526,1.4184,0.6708,0.1695
V0050,55,28,27,2,6,0.0714,0.2222,0.1508,0.5091,0.4909,-0.0182,1.5857,1.0,0.169
V0300,14,7,7,2,0,0.2857,0.0,-0.2857,0.5,0.5,0.0,1.5275,0.5916,0.169
V0480,14,7,7,2,0,0.2857,0.0,-0.2857,0.5,0.5,0.0,1.5275,0.5916,0.169
V0229,14,7,7,1,3,0.1429,0.4286,0.2857,0.5,0.5,0.0,1.1832,0.5916,0.169
V0372,14,7,7,1,3,0.1429,0.4286,0.2857,0.5,0.5,0.0,1.1832,0.5916,0.169
V0550,14,7,7,3,1,0.4286,0.1429,-0.2857,0.5,0.5,0.0,1.1832,0.5916,0.169
V0332,51,26,25,7,3,0.2692,0.12,-0.1492,0.5098,0.4902,-0.0196,1.3419,1.0,0.1688
V0298,43,22,21,1,4,0.0455,0.1905,0.145,0.5116,0.4884,-0.0233,1.4829,1.0,0.1683
V0294,32,16,16,0,3,0.0,0.1875,0.1875,0.5,0.5,0.0,1.8194,0.8944,0.1677
V0453,32,16,16,4,7,0.25,0.4375,0.1875,0.5,0.5,0.0,1.1166,0.8944,0.1677
V0472,37,19,18,6,3,0.3158,0.1667,-0.1491,0.5135,0.4865,-0.027,1.0567,0.9487,0.1671
V0042,49,25,24,12,8,0.48,0.3333,-0.1467,0.5102,0.4898,-0.0204,1.0442,1.0,0.1671
V0394,41,21,20,4,1,0.1905,0.05,-0.1405,0.5122,0.4878,-0.0244,1.374,1.0,0.1649
V0044,34,17,17,5,2,0.2941,0.1176,-0.1765,0.5,0.5,0.0,1.2724,0.922,0.1627
V0512,34,17,17,5,2,0.2941,0.1176,-0.1765,0.5,0.5,0.0,1.2724,0.922,0.1627
V0090,21,11,10,2,0,0.1818,0.0,-0.1818,0.5238,0.4762,-0.0476,1.4176,0.7071,0.1622
V0148,21,11,10,2,0,0.1818,0.0,-0.1818,0.5238,0.4762,-0.0476,1.4176,0.7071,0.1622
V0103,11,6,5,1,2,0.1667,0.4,0.2333,0.5455,0.4545,-0.0909,0.8652,0.5,0.1621
V0147,11,6,5,1,2,0.1667,0.4,0.2333,0.5455,0.4545,-0.0909,0.8652,0.5,0.1621
V0443,11,6,5,1,2,0.1667,0.4,0.2333,0.5455,0.4545,-0.0909,0.8652,0.5,0.1621
V0216,19,10,9,3,1,0.3,0.1111,-0.1889,0.5263,0.4737,-0.0526,1.0084,0.6708,0.162
V0307,50,25,25,5,1,0.2,0.04,-0.16,0.5,0.5,0.0,1.7408,1.0,0.16
V0435,13,7,6,2,3,0.2857,0.5,0.2143,0.5385,0.4615,-0.0769,0.7917,0.5477,0.1595
V0259,39,20,19,8,5,0.4,0.2632,-0.1368,0.5128,0.4872,-0.0256,0.9061,0.9747,0.1584
V0292,27,14,13,1,3,0.0714,0.2308,0.1593,0.5185,0.4815,-0.037,1.1645,0.8062,0.1583
V0055,16,8,8,0,2,0.0,0.25,0.25,0.5,0.5,0.0,1.5119,0.6325,0.1581
V0098,16,8,8,2,0,0.25,0.0,-0.25,0.5,0.5,0.0,1.5119,0.6325,0.1581
V0296,16,8,8,0,2,0.0,0.25,0.25,0.5,0.5,0.0,1.5119,0.6325,0.1581
V0280,36,18,18,3,6,0.1667,0.3333,0.1667,0.5,0.5,0.0,1.1547,0.9487,0.1581
V0115,16,8,8,1,3,0.125,0.375,0.25,0.5,0.5,0.0,1.1547,0.6325,0.1581
V0282,16,8,8,1,3,0.125,0.375,0.25,0.5,0.5,0.0,1.1547,0.6325,0.1581
V0104,16,8,8,4,2,0.5,0.25,-0.25,0.5,0.5,0.0,1.0328,0.6325,0.1581
V0019,23,12,11,2,0,0.1667,0.0,-0.1667,0.5217,0.4783,-0.0435,1.417,0.7416,0.1558
V0414,31,16,15,3,5,0.1875,0.3333,0.1458,0.5161,0.4839,-0.0323,0.9273,0.866,0.1542
V0405,25,13,12,2,0,0.1538,0.0,-0.1538,0.52,0.48,-0.04,1.4166,0.7746,0.1502
V0413,40,20,20,4,1,0.2,0.05,-0.15,0.5,0.5,0.0,1.4343,1.0,0.15
V0011,40,20,20,6,3,0.3,0.15,-0.15,0.5,0.5,0.0,1.1359,1.0,0.15
V0030,18,9,9,4,2,0.4444,0.2222,-0.2222,0.5,0.5,0.0,1.0,0.6708,0.1491
V0020,85,43,42,13,7,0.3023,0.1667,-0.1357,0.5059,0.4941,-0.0118,1.4742,1.0,0.1474
V0184,63,32,31,2,6,0.0625,0.1935,0.131,0.5079,0.4921,-0.0159,1.5618,1.0,0.1469
V0316,13,7,6,1,2,0.1429,0.3333,0.1905,0.5385,0.4615,-0.0769,0.8126,0.5477,0.1465
V0448,13,7,6,1,2,0.1429,0.3333,0.1905,0.5385,0.4615,-0.0769,0.8126,0.5477,0.1465
V0152,25,13,12,3,1,0.2308,0.0833,-0.1474,0.52,0.48,-0.04,1.0046,0.7746,0.1452
V0208,25,13,12,3,1,0.2308,0.0833,-0.1474,0.52,0.48,-0.04,1.0046,0.7746,0.1452
V0326,27,14,13,2,0,0.1429,0.0,-0.1429,0.5185,0.4815,-0.037,1.4162,0.8062,0.145
V0162,35,18,17,3,5,0.1667,0.2941,0.1275,0.5143,0.4857,-0.0286,0.8975,0.922,0.1438
V0419,56,28,28,4,8,0.1429,0.2857,0.1429,0.5,0.5,0.0,1.3027,1.0,0.1429
V0212,42,21,21,3,6,0.1429,0.2857,0.1429,0.5,0.5,0.0,1.1282,1.0,0.1429
V0406,20,10,10,2,0,0.2,0.0,-0.2,0.5,0.5,0.0,1.4907,0.7071,0.1414
V0334,20,10,10,1,3,0.1,0.3,0.2,0.5,0.5,0.0,1.118,0.7071,0.1414
V0430,20,10,10,1,3,0.1,0.3,0.2,0.5,0.5,0.0,1.118,0.7071,0.1414
V0328,20,10,10,4,2,0.4,0.2,-0.2,0.5,0.5,0.0,0.9759,0.7071,0.1414
V0447,20,10,10,4,2,0.4,0.2,-0.2,0.5,0.5,0.0,0.9759,0.7071,0.1414
V0541,20,10,10,2,4,0.2,0.4,0.2,0.5,0.5,0.0,0.9759,0.7071,0.1414
V0329,27,14,13,3,1,0.2143,0.0769,-0.1374,0.5185,0.4815,-0.037,1.0039,0.8062,0.1406
V0072,58,29,29,5,9,0.1724,0.3103,0.1379,0.5,0.5,0.0,1.2274,1.0,0.1379
V0076,22,11,11,0,2,0.0,0.1818,0.1818,0.5,0.5,0.0,1.4832,0.7416,0.1348
V0339,22,11,11,0,2,0.0,0.1818,0.1818,0.5,0.5,0.0,1.4832,0.7416,0.1348
V0514,22,11,11,0,2,0.0,0.1818,0.1818,0.5,0.5,0.0,1.4832,0.7416,0.1348
V0087,22,11,11,3,1,0.2727,0.0909,-0.1818,0.5,0.5,0.0,1.1055,0.7416,0.1348
V0191,22,11,11,2,4,0.1818,0.3636,0.1818,0.5,0.5,0.0,0.9574,0.7416,0.1348
V0192,22,11,11,2,4,0.1818,0.3636,0.1818,0.5,0.5,0.0,0.9574,0.7416,0.1348
V0536,22,11,11,4,2,0.3636,0.1818,-0.1818,0.5,0.5,0.0,0.9574,0.7416,0.1348
V0203,15,8,7,1,2,0.125,0.2857,0.1607,0.5333,0.4667,-0.0667,0.7763,0.5916,0.1345
V0374,15,8,7,1,2,0.125,0.2857,0.1607,0.5333,0.4667,-0.0667,0.7763,0.5916,0.1345
V0491,15,8,7,1,2,0.125,0.2857,0.1607,0.5333,0.4667,-0.0667,0.7763,0.5916,0.1345
V0009,17,9,8,2,3,0.2222,0.375,0.1528,0.5294,0.4706,-0.0588,0.69,0.6325,0.1338
V0422,27,14,13,5,3,0.3571,0.2308,-0.1264,0.5185,0.4815,-0.037,0.7185,0.8062,0.1317
V0247,41,21,20,2,4,0.0952,0.2,0.1048,0.5122,0.4878,-0.0244,0.9487,1.0,0.1292
V0136,24,12,12,0,2,0.0,0.1667,0.1667,0.5,0.5,0.0,1.4771,0.7746,0.1291
V0337,24,12,12,0,2,0.0,0.1667,0.1667,0.5,0.5,0.0,1.4771,0.7746,0.1291
V0154,24,12,12,3,1,0.25,0.0833,-0.1667,0.5,0.5,0.0,1.0954,0.7746,0.1291
V0302,24,12,12,3,1,0.25,0.0833,-0.1667,0.5,0.5,0.0,1.0954,0.7746,0.1291
V0400,24,12,12,3,1,0.25,0.0833,-0.1667,0.5,0.5,0.0,1.0954,0.7746,0.1291
V0271,24,12,12,2,4,0.1667,0.3333,0.1667,0.5,0.5,0.0,0.9428,0.7746,0.1291
V0397,24,12,12,4,2,0.3333,0.1667,-0.1667,0.5,0.5,0.0,0.9428,0.7746,0.1291
V0266,24,12,12,5,3,0.4167,0.25,-0.1667,0.5,0.5,0.0,0.866,0.7746,0.1291
V0001,62,31,31,1,5,0.0323,0.1613,0.129,0.5,0.5,0.0,1.7182,1.0,0.129
V0166,31,16,15,5,3,0.3125,0.2,-0.1125,0.5161,0.4839,-0.0323,0.7154,0.866,0.1254
V0364,31,16,15,5,3,0.3125,0.2,-0.1125,0.5161,0.4839,-0.0323,0.7154,0.866,0.1254
V0218,43,22,21,3,5,0.1364,0.2381,0.1017,0.5116,0.4884,-0.0233,0.8569,1.0,0.125
V0097,17,9,8,1,2,0.1111,0.25,0.1389,0.5294,0.4706,-0.0588,0.7498,0.6325,0.125
V0388,19,10,9,2,3,0.2,0.3333,0.1333,0.5263,0.4737,-0.0526,0.659,0.6708,0.1247
V0100,26,13,13,0,2,0.0,0.1538,0.1538,0.5,0.5,0.0,1.472,0.8062,0.124
V0496,26,13,13,2,0,0.1538,0.0,-0.1538,0.5,0.5,0.0,1.472,0.8062,0.124
V0231,26,13,13,1,3,0.0769,0.2308,0.1538,0.5,0.5,0.0,1.0871,0.8062,0.124
V0484,26,13,13,3,1,0.2308,0.0769,-0.1538,0.5,0.5,0.0,1.0871,0.8062,0.124
V0395,26,13,13,2,4,0.1538,0.3077,0.1538,0.5,0.5,0.0,0.9309,0.8062,0.124
V0429,26,13,13,4,6,0.3077,0.4615,0.1538,0.5,0.5,0.0,0.8062,0.8062,0.124
V0501,21,11,10,3,4,0.2727,0.4,0.1273,0.5238,0.4762,-0.0476,0.6179,0.7071,0.1237
V0458,35,18,17,4,2,0.2222,0.1176,-0.1046,0.5143,0.4857,-0.0286,0.8204,0.922,0.1228
V0047,55,28,27,6,3,0.2143,0.1111,-0.1032,0.5091,0.4909,-0.0182,1.034,1.0,0.1214
V0133,37,19,18,4,2,0.2105,0.1111,-0.0994,0.5135,0.4865,-0.027,0.82,0.9487,0.12
V0379,53,27,26,10,7,0.3704,0.2692,-0.1011,0.5094,0.4906,-0.0189,0.7886,1.0,0.12
V0074,28,14,14,0,2,0.0,0.1429,0.1429,0.5,0.5,0.0,1.4676,0.8367,0.1195
V0517,28,14,14,0,2,0.0,0.1429,0.1429,0.5,0.5,0.0,1.4676,0.8367,0.1195
V0380,28,14,14,3,1,0.2143,0.0714,-0.1429,0.5,0.5,0.0,1.0801,0.8367,0.1195
V0385,28,14,14,2,4,0.1429,0.2857,0.1429,0.5,0.5,0.0,0.9211,0.8367,0.1195
V0219,45,23,22,3,5,0.1304,0.2273,0.0968,0.5111,0.4889,-0.0222,0.8493,1.0,0.1191
V0215,51,27,24,5,3,0.1852,0.125,-0.0602,0.5294,0.4706,-0.0588,0.5899,1.0,0.119
V0144,68,34,34,4,8,0.1176,0.2353,0.1176,0.5,0.5,0.0,1.2724,1.0,0.1176
V0217,19,10,9,1,2,0.1,0.2222,0.1222,0.5263,0.4737,-0.0526,0.7295,0.6708,0.1173
V0251,19,10,9,1,2,0.1,0.2222,0.1222,0.5263,0.4737,-0.0526,0.7295,0.6708,0.1173
V0267,17,9,8,0,1,0.0,0.125,0.125,0.5294,0.4706,-0.0588,1.0933,0.6325,0.1163
V0357,17,9,8,0,1,0.0,0.125,0.125,0.5294,0.4706,-0.0588,1.0933,0.6325,0.1163
V0486,17,9,8,0,1,0.0,0.125,0.125,0.5294,0.4706,-0.0588,1.0933,0.6325,0.1163
V0366,30,15,15,6,4,0.4,0.2667,-0.1333,0.5,0.5,0.0,0.7746,0.866,0.1155
V0187,34,18,16,1,2,0.0556,0.125,0.0694,0.5294,0.4706,-0.0588,0.7126,0.8944,0.1147
V0220,37,19,18,6,4,0.3158,0.2222,-0.0936,0.5135,0.4865,-0.027,0.6406,0.9487,0.1144
V0120,44,23,21,5,6,0.2174,0.2857,0.0683,0.5227,0.4773,-0.0455,0.5228,1.0,0.1138
V0393,15,8,7,1,0,0.125,0.0,-0.125,0.5333,0.4667,-0.0667,0.9682,0.5916,0.1134
V0276,41,21,20,5,3,0.2381,0.15,-0.0881,0.5122,0.4878,-0.0244,0.7115,1.0,0.1125
V0080,39,20,19,6,4,0.3,0.2105,-0.0895,0.5128,0.4872,-0.0256,0.6396,0.9747,0.1122
V0423,11,6,5,2,1,0.3333,0.2,-0.1333,0.5455,0.4545,-0.0909,0.4944,0.5,0.1121
V0476,21,11,10,1,2,0.0909,0.2,0.1091,0.5238,0.4762,-0.0476,0.7135,0.7071,0.1108
V0269,39,21,18,2,1,0.0952,0.0556,-0.0397,0.5385,0.4615,-0.0769,0.4636,0.9487,0.1106
V0528,25,13,12,3,4,0.2308,0.3333,0.1026,0.52,0.48,-0.04,0.5706,0.7746,0.1104
V0241,34,17,17,1,3,0.0588,0.1765,0.1176,0.5,0.5,0.0,1.0646,0.922,0.1085
V0158,34,17,17,4,2,0.2353,0.1176,-0.1176,0.5,0.5,0.0,0.8997,0.922,0.1085
V0523,34,17,17,4,6,0.2353,0.3529,0.1176,0.5,0.5,0.0,0.7528,0.922,0.1085
V0008,17,9,8,1,0,0.1111,0.0,-0.1111,0.5294,0.4706,-0.0588,0.9718,0.6325,0.1075
V0354,17,9,8,1,0,0.1111,0.0,-0.1111,0.5294,0.4706,-0.0588,0.9718,0.6325,0.1075
V0441,17,9,8,1,0,0.1111,0.0,-0.1111,0.5294,0.4706,-0.0588,0.9718,0.6325,0.1075
V0106,13,7,6,2,1,0.2857,0.1667,-0.119,0.5385,0.4615,-0.0769,0.5079,0.5477,0.1073
V0137,13,7,6,2,1,0.2857,0.1667,-0.119,0.5385,0.4615,-0.0769,0.5079,0.5477,0.1073
V0081,25,13,12,2,3,0.1538,0.25,0.0962,0.52,0.48,-0.04,0.6005,0.7746,0.1055
V0122,36,18,18,1,3,0.0556,0.1667,0.1111,0.5,0.5,0.0,1.0607,0.9487,0.1054
V0356,23,12,11,1,2,0.0833,0.1818,0.0985,0.5217,0.4783,-0.0435,0.7006,0.7416,0.1053
V0402,29,15,14,4,5,0.2667,0.3571,0.0905,0.5172,0.4828,-0.0345,0.5263,0.8367,0.1045
V0415,29,15,14,4,5,0.2667,0.3571,0.0905,0.5172,0.4828,-0.0345,0.5263,0.8367,0.1045
V0125,21,11,10,0,1,0.0,0.1,0.1,0.5238,0.4762,-0.0476,1.0747,0.7071,0.1044
V0201,38,19,19,1,3,0.0526,0.1579,0.1053,0.5,0.5,0.0,1.0572,0.9747,0.1026
V0245,38,19,19,2,4,0.1053,0.2105,0.1053,0.5,0.5,0.0,0.8898,0.9747,0.1026
V0352,38,19,19,5,7,0.2632,0.3684,0.1053,0.5,0.5,0.0,0.698,0.9747,0.1026
V0473,19,10,9,1,0,0.1,0.0,-0.1,0.5263,0.4737,-0.0526,0.9747,0.6708,0.1024
V0142,29,15,14,3,4,0.2,0.2857,0.0857,0.5172,0.4828,-0.0345,0.539,0.8367,0.1006
V0186,29,15,14,3,4,0.2,0.2857,0.0857,0.5172,0.4828,-0.0345,0.539,0.8367,0.1006
V0320,40,20,20,3,1,0.15,0.05,-0.1,0.5,0.5,0.0,1.0541,1.0,0.1
V0424,40,20,20,1,3,0.05,0.15,0.1,0.5,0.5,0.0,1.0541,1.0,0.1
V0189,10,5,5,0,1,0.0,0.2,0.2,0.5,0.5,0.0,1.0541,0.5,0.1
V0159,40,20,20,3,5,0.15,0.25,0.1,0.5,0.5,0.0,0.7906,1.0,0.1
V0322,40,20,20,5,3,0.25,0.15,-0.1,0.5,0.5,0.0,0.7906,1.0,0.1
V0204,23,12,11,0,1,0.0,0.0909,0.0909,0.5217,0.4783,-0.0435,1.0679,0.7416,0.0997
V0315,17,9,8,2,1,0.2222,0.125,-0.0972,0.5294,0.4706,-0.0588,0.5248,0.6325,0.0987
V0411,17,9,8,2,1,0.2222,0.125,-0.0972,0.5294,0.4706,-0.0588,0.5248,0.6325,0.0987
V0199,27,14,13,1,2,0.0714,0.1538,0.0824,0.5185,0.4815,-0.037,0.6809,0.8062,0.0963
V0345,27,14,13,1,2,0.0714,0.1538,0.0824,0.5185,0.4815,-0.037,0.6809,0.8062,0.0963
