vendor_id,evidence_family,evidence_strength,family_weight,context_adjustment,adjusted_strength,explanation
V0193,cooccurrence,1.0,1.0,0.62,0.62,3 shared tenders; 36.35x expected contextual co-occurrence
V0358,cooccurrence,1.0,1.0,0.55,0.55,4 shared tenders; 23.11x expected contextual co-occurrence
V0202,cooccurrence,1.0,1.0,0.581,0.581,4 shared tenders; 23.05x expected contextual co-occurrence
V0229,cooccurrence,1.0,1.0,0.581,0.581,4 shared tenders; 23.05x expected contextual co-occurrence
V0033,cooccurrence,1.0,1.0,0.643,0.643,6 shared tenders; 22.68x expected contextual co-occurrence
V0058,cooccurrence,1.0,1.0,0.643,0.643,6 shared tenders; 22.68x expected contextual co-occurrence
V0358,cooccurrence,1.0,1.0,0.583,0.583,5 shared tenders; 22.55x expected contextual co-occurrence
V0427,cooccurrence,1.0,1.0,0.583,0.583,5 shared tenders; 22.55x expected contextual co-occurrence
V0060,cooccurrence,1.0,1.0,0.648,0.648,3 shared tenders; 22.51x expected contextual co-occurrence
V0207,cooccurrence,1.0,1.0,0.648,0.648,3 shared tenders; 22.51x expected contextual co-occurrence
V0177,cooccurrence,1.0,1.0,0.615,0.615,3 shared tenders; 22.19x expected contextual co-occurrence
V0507,cooccurrence,1.0,1.0,0.615,0.615,3 shared tenders; 22.19x expected contextual co-occurrence
V0012,cooccurrence,1.0,1.0,0.64,0.64,5 shared tenders; 22.16x expected contextual co-occurrence
V0439,cooccurrence,1.0,1.0,0.64,0.64,5 shared tenders; 22.16x expected contextual co-occurrence
V0233,cooccurrence,1.0,1.0,0.637,0.637,4 shared tenders; 22.13x expected contextual co-occurrence
V0456,cooccurrence,1.0,1.0,0.637,0.637,4 shared tenders; 22.13x expected contextual co-occurrence
V0145,cooccurrence,1.0,1.0,0.627,0.627,3 shared tenders; 21.78x expected contextual co-occurrence
V0236,cooccurrence,1.0,1.0,0.627,0.627,3 shared tenders; 21.78x expected contextual co-occurrence
V0243,cooccurrence,1.0,1.0,0.625,0.625,5 shared tenders; 21.72x expected contextual co-occurrence
V0409,cooccurrence,1.0,1.0,0.625,0.625,5 shared tenders; 21.72x expected contextual co-occurrence
V0112,cooccurrence,1.0,1.0,0.604,0.604,3 shared tenders; 21.57x expected contextual co-occurrence
V0253,cooccurrence,1.0,1.0,0.604,0.604,3 shared tenders; 21.57x expected contextual co-occurrence
V0262,cooccurrence,1.0,1.0,0.628,0.628,5 shared tenders; 21.56x expected contextual co-occurrence
V0543,cooccurrence,1.0,1.0,0.628,0.628,5 shared tenders; 21.56x expected contextual co-occurrence
V0018,cooccurrence,1.0,1.0,0.654,0.654,3 shared tenders; 21.52x expected contextual co-occurrence
V0107,cooccurrence,1.0,1.0,0.654,0.654,3 shared tenders; 21.52x expected contextual co-occurrence
V0112,cooccurrence,1.0,1.0,0.612,0.612,4 shared tenders; 21.48x expected contextual co-occurrence
V0217,cooccurrence,1.0,1.0,0.612,0.612,4 shared tenders; 21.48x expected contextual co-occurrence
V0115,cooccurrence,1.0,1.0,0.615,0.615,4 shared tenders; 21.37x expected contextual co-occurrence
V0145,cooccurrence,1.0,1.0,0.615,0.615,4 shared tenders; 21.37x expected contextual co-occurrence
V0147,cooccurrence,1.0,1.0,0.656,0.656,3 shared tenders; 21.31x expected contextual co-occurrence
V0240,cooccurrence,1.0,1.0,0.656,0.656,3 shared tenders; 21.31x expected contextual co-occurrence
V0089,cooccurrence,1.0,1.0,0.636,0.636,3 shared tenders; 21.31x expected contextual co-occurrence
V0480,cooccurrence,1.0,1.0,0.636,0.636,3 shared tenders; 21.31x expected contextual co-occurrence
V0081,cooccurrence,1.0,1.0,0.636,0.636,3 shared tenders; 21.21x expected contextual co-occurrence
V0399,cooccurrence,1.0,1.0,0.636,0.636,3 shared tenders; 21.21x expected contextual co-occurrence
V0092,cooccurrence,1.0,1.0,0.642,0.642,5 shared tenders; 21.12x expected contextual co-occurrence
V0473,cooccurrence,1.0,1.0,0.642,0.642,5 shared tenders; 21.12x expected contextual co-occurrence
V0076,cooccurrence,1.0,1.0,0.619,0.619,6 shared tenders; 21.09x expected contextual co-occurrence
V0541,cooccurrence,1.0,1.0,0.619,0.619,6 shared tenders; 21.09x expected contextual co-occurrence
V0471,cooccurrence,1.0,1.0,0.55,0.55,3 shared tenders; 21.05x expected contextual co-occurrence
V0543,cooccurrence,1.0,1.0,0.55,0.55,3 shared tenders; 21.05x expected contextual co-occurrence
V0032,cooccurrence,1.0,1.0,0.627,0.627,3 shared tenders; 21.00x expected contextual co-occurrence
V0160,cooccurrence,1.0,1.0,0.627,0.627,3 shared tenders; 21.00x expected contextual co-occurrence
V0046,cooccurrence,1.0,1.0,0.615,0.615,3 shared tenders; 20.98x expected contextual co-occurrence
V0235,cooccurrence,1.0,1.0,0.615,0.615,3 shared tenders; 20.98x expected contextual co-occurrence
V0104,cooccurrence,1.0,1.0,0.603,0.603,4 shared tenders; 20.95x expected contextual co-occurrence
V0264,cooccurrence,1.0,1.0,0.603,0.603,4 shared tenders; 20.95x expected contextual co-occurrence
V0051,cooccurrence,1.0,1.0,0.668,0.668,28 shared tenders; 20.85x expected contextual co-occurrence
V0053,cooccurrence,1.0,1.0,0.668,0.668,28 shared tenders; 20.85x expected contextual co-occurrence
V0032,cooccurrence,1.0,1.0,0.584,0.584,3 shared tenders; 20.85x expected contextual co-occurrence
V0221,cooccurrence,1.0,1.0,0.584,0.584,3 shared tenders; 20.85x expected contextual co-occurrence
V0147,cooccurrence,1.0,1.0,0.55,0.55,3 shared tenders; 20.83x expected contextual co-occurrence
V0264,cooccurrence,1.0,1.0,0.55,0.55,3 shared tenders; 20.83x expected contextual co-occurrence
V0009,cooccurrence,1.0,1.0,0.66,0.66,3 shared tenders; 20.80x expected contextual co-occurrence
V0110,cooccurrence,1.0,1.0,0.66,0.66,3 shared tenders; 20.80x expected contextual co-occurrence
V0217,cooccurrence,1.0,1.0,0.631,0.631,3 shared tenders; 20.76x expected contextual co-occurrence
V0236,cooccurrence,1.0,1.0,0.631,0.631,3 shared tenders; 20.76x expected contextual co-occurrence
V0112,cooccurrence,1.0,1.0,0.664,0.664,3 shared tenders; 20.74x expected contextual co-occurrence
V0115,cooccurrence,1.0,1.0,0.664,0.664,3 shared tenders; 20.74x expected contextual co-occurrence
V0001,cooccurrence,1.0,1.0,0.671,0.671,36 shared tenders; 20.73x expected contextual co-occurrence
V0024,cooccurrence,1.0,1.0,0.671,0.671,36 shared tenders; 20.73x expected contextual co-occurrence
V0341,cooccurrence,1.0,1.0,0.656,0.656,3 shared tenders; 20.68x expected contextual co-occurrence
V0543,cooccurrence,1.0,1.0,0.656,0.656,3 shared tenders; 20.68x expected contextual co-occurrence
V0232,cooccurrence,1.0,1.0,0.654,0.654,5 shared tenders; 20.64x expected contextual co-occurrence
V0331,cooccurrence,1.0,1.0,0.654,0.654,5 shared tenders; 20.64x expected contextual co-occurrence
V0536,cooccurrence,1.0,1.0,0.631,0.631,6 shared tenders; 20.47x expected contextual co-occurrence
V0540,cooccurrence,1.0,1.0,0.631,0.631,6 shared tenders; 20.47x expected contextual co-occurrence
V0168,cooccurrence,1.0,1.0,0.589,0.589,3 shared tenders; 20.46x expected contextual co-occurrence
V0202,cooccurrence,1.0,1.0,0.589,0.589,3 shared tenders; 20.46x expected contextual co-occurrence
V0112,cooccurrence,1.0,1.0,0.613,0.613,3 shared tenders; 20.43x expected contextual co-occurrence
V0221,cooccurrence,1.0,1.0,0.613,0.613,3 shared tenders; 20.43x expected contextual co-occurrence
V0069,cooccurrence,1.0,1.0,0.608,0.608,3 shared tenders; 20.25x expected contextual co-occurrence
V0393,cooccurrence,1.0,1.0,0.608,0.608,3 shared tenders; 20.25x expected contextual co-occurrence
V0094,cooccurrence,1.0,1.0,0.55,0.55,3 shared tenders; 20.22x expected contextual co-occurrence
V0099,cooccurrence,1.0,1.0,0.55,0.55,3 shared tenders; 20.22x expected contextual co-occurrence
V0104,cooccurrence,1.0,1.0,0.64,0.64,4 shared tenders; 20.00x expected contextual co-occurrence
V0447,cooccurrence,1.0,1.0,0.64,0.64,4 shared tenders; 20.00x expected contextual co-occurrence
V0164,cooccurrence,1.0,1.0,0.672,0.672,6 shared tenders; 19.99x expected contextual co-occurrence
V0234,cooccurrence,1.0,1.0,0.672,0.672,6 shared tenders; 19.99x expected contextual co-occurrence
V0057,cooccurrence,1.0,1.0,0.595,0.595,3 shared tenders; 19.83x expected contextual co-occurrence
V0393,cooccurrence,1.0,1.0,0.595,0.595,3 shared tenders; 19.83x expected contextual co-occurrence
V0143,cooccurrence,1.0,1.0,0.651,0.651,3 shared tenders; 19.77x expected contextual co-occurrence
V0251,cooccurrence,1.0,1.0,0.651,0.651,3 shared tenders; 19.77x expected contextual co-occurrence
V0072,cooccurrence,1.0,1.0,0.675,0.675,19 shared tenders; 19.75x expected contextual co-occurrence
V0074,cooccurrence,1.0,1.0,0.675,0.675,19 shared tenders; 19.75x expected contextual co-occurrence
V0154,cooccurrence,1.0,1.0,0.644,0.644,5 shared tenders; 19.75x expected contextual co-occurrence
V0306,cooccurrence,1.0,1.0,0.644,0.644,5 shared tenders; 19.75x expected contextual co-occurrence
V0358,cooccurrence,1.0,1.0,0.604,0.604,4 shared tenders; 19.74x expected contextual co-occurrence
V0487,cooccurrence,1.0,1.0,0.604,0.604,4 shared tenders; 19.74x expected contextual co-occurrence
V0051,cooccurrence,1.0,1.0,0.661,0.661,28 shared tenders; 19.72x expected contextual co-occurrence
V0052,cooccurrence,1.0,1.0,0.661,0.661,28 shared tenders; 19.72x expected contextual co-occurrence
V0239,cooccurrence,1.0,1.0,0.61,0.61,4 shared tenders; 19.55x expected contextual co-occurrence
V0397,cooccurrence,1.0,1.0,0.61,0.61,4 shared tenders; 19.55x expected contextual co-occurrence
V0191,cooccurrence,1.0,1.0,0.55,0.55,5 shared tenders; 19.53x expected contextual co-occurrence
V0445,cooccurrence,1.0,1.0,0.55,0.55,5 shared tenders; 19.53x expected contextual co-occurrence
V0356,cooccurrence,1.0,1.0,0.628,0.628,4 shared tenders; 19.51x expected contextual co-occurrence
V0550,cooccurrence,1.0,1.0,0.628,0.628,4 shared tenders; 19.51x expected contextual co-occurrence
V0092,cooccurrence,1.0,1.0,0.591,0.591,5 shared tenders; 19.45x expected contextual co-occurrence
V0388,cooccurrence,1.0,1.0,0.591,0.591,5 shared tenders; 19.45x expected contextual co-occurrence
V0265,cooccurrence,1.0,1.0,0.64,0.64,4 shared tenders; 19.39x expected contextual co-occurrence
V0538,cooccurrence,1.0,1.0,0.64,0.64,4 shared tenders; 19.39x expected contextual co-occurrence
V0104,cooccurrence,1.0,1.0,0.615,0.615,3 shared tenders; 19.21x expected contextual co-occurrence
V0350,cooccurrence,1.0,1.0,0.615,0.615,3 shared tenders; 19.21x expected contextual co-occurrence
V0361,cooccurrence,1.0,1.0,0.646,0.646,4 shared tenders; 19.12x expected contextual co-occurrence
V0468,cooccurrence,1.0,1.0,0.646,0.646,4 shared tenders; 19.12x expected contextual co-occurrence
V0060,cooccurrence,1.0,1.0,0.55,0.55,5 shared tenders; 19.10x expected contextual co-occurrence
V0412,cooccurrence,1.0,1.0,0.55,0.55,5 shared tenders; 19.10x expected contextual co-occurrence
V0009,cooccurrence,1.0,1.0,0.649,0.649,3 shared tenders; 19.09x expected contextual co-occurrence
V0250,cooccurrence,1.0,1.0,0.649,0.649,3 shared tenders; 19.09x expected contextual co-occurrence
V0284,cooccurrence,1.0,1.0,0.61,0.61,3 shared tenders; 19.06x expected contextual co-occurrence
V0318,cooccurrence,1.0,1.0,0.61,0.61,3 shared tenders; 19.06x expected contextual co-occurrence
V0350,cooccurrence,1.0,1.0,0.629,0.629,4 shared tenders; 19.05x expected contextual co-occurrence
V0538,cooccurrence,1.0,1.0,0.629,0.629,4 shared tenders; 19.05x expected contextual co-occurrence
V0002,cooccurrence,1.0,1.0,0.67,0.67,5 shared tenders; 19.03x expected contextual co-occurrence
V0546,cooccurrence,1.0,1.0,0.67,0.67,5 shared tenders; 19.03x expected contextual co-occurrence
V0229,cooccurrence,1.0,1.0,0.662,0.662,4 shared tenders; 18.93x expected contextual co-occurrence
V0528,cooccurrence,1.0,1.0,0.662,0.662,4 shared tenders; 18.93x expected contextual co-occurrence
V0164,cooccurrence,1.0,1.0,0.652,0.652,5 shared tenders; 18.87x expected contextual co-occurrence
V0409,cooccurrence,1.0,1.0,0.652,0.652,5 shared tenders; 18.87x expected contextual co-occurrence
V0234,cooccurrence,1.0,1.0,0.664,0.664,5 shared tenders; 18.81x expected contextual co-occurrence
V0540,cooccurrence,1.0,1.0,0.664,0.664,5 shared tenders; 18.81x expected contextual co-occurrence
V0103,cooccurrence,1.0,1.0,0.55,0.55,3 shared tenders; 18.75x expected contextual co-occurrence
V0412,cooccurrence,1.0,1.0,0.55,0.55,3 shared tenders; 18.75x expected contextual co-occurrence
V0328,cooccurrence,1.0,1.0,0.637,0.637,4 shared tenders; 18.73x expected contextual co-occurrence
V0375,cooccurrence,1.0,1.0,0.637,0.637,4 shared tenders; 18.73x expected contextual co-occurrence
V0236,cooccurrence,1.0,1.0,0.65,0.65,4 shared tenders; 18.68x expected contextual co-occurrence
V0530,cooccurrence,1.0,1.0,0.65,0.65,4 shared tenders; 18.68x expected contextual co-occurrence
V0204,cooccurrence,1.0,1.0,0.68,0.68,4 shared tenders; 18.49x expected contextual co-occurrence
V0490,cooccurrence,1.0,1.0,0.68,0.68,4 shared tenders; 18.49x expected contextual co-occurrence
V0299,cooccurrence,1.0,1.0,0.649,0.649,4 shared tenders; 18.45x expected contextual co-occurrence
V0542,cooccurrence,1.0,1.0,0.649,0.649,4 shared tenders; 18.45x expected contextual co-occurrence
V0160,cooccurrence,1.0,1.0,0.55,0.55,3 shared tenders; 18.41x expected contextual co-occurrence
V0253,cooccurrence,1.0,1.0,0.55,0.55,3 shared tenders; 18.41x expected contextual co-occurrence
V0115,cooccurrence,1.0,1.0,0.55,0.55,3 shared tenders; 18.41x expected contextual co-occurrence
V0492,cooccurrence,1.0,1.0,0.55,0.55,3 shared tenders; 18.41x expected contextual co-occurrence
V0115,cooccurrence,1.0,1.0,0.55,0.55,3 shared tenders; 18.41x expected contextual co-occurrence
V0180,cooccurrence,1.0,1.0,0.55,0.55,3 shared tenders; 18.41x expected contextual co-occurrence
V0085,cooccurrence,1.0,1.0,0.645,0.645,4 shared tenders; 18.33x expected contextual co-occurrence
V0514,cooccurrence,1.0,1.0,0.645,0.645,4 shared tenders; 18.33x expected contextual co-occurrence
V0008,cooccurrence,1.0,1.0,0.662,0.662,3 shared tenders; 18.27x expected contextual co-occurrence
V0233,cooccurrence,1.0,1.0,0.662,0.662,3 shared tenders; 18.27x expected contextual co-occurrence
V0046,cooccurrence,1.0,1.0,0.584,0.584,5 shared tenders; 18.26x expected contextual co-occurrence
V0284,cooccurrence,1.0,1.0,0.584,0.584,5 shared tenders; 18.26x expected contextual co-occurrence
V0030,cooccurrence,1.0,1.0,0.613,0.613,3 shared tenders; 18.23x expected contextual co-occurrence
V0479,cooccurrence,1.0,1.0,0.613,0.613,3 shared tenders; 18.23x expected contextual co-occurrence
V0350,cooccurrence,1.0,1.0,0.653,0.653,3 shared tenders; 18.14x expected contextual co-occurrence
V0505,cooccurrence,1.0,1.0,0.653,0.653,3 shared tenders; 18.14x expected contextual co-occurrence
V0104,cooccurrence,1.0,1.0,0.656,0.656,3 shared tenders; 18.10x expected contextual co-occurrence
V0354,cooccurrence,1.0,1.0,0.656,0.656,3 shared tenders; 18.10x expected contextual co-occurrence
V0055,cooccurrence,1.0,1.0,0.55,0.55,4 shared tenders; 18.09x expected contextual co-occurrence
V0548,cooccurrence,1.0,1.0,0.55,0.55,4 shared tenders; 18.09x expected contextual co-occurrence
V0099,cooccurrence,1.0,1.0,0.55,0.55,3 shared tenders; 18.09x expected contextual co-occurrence
V0389,cooccurrence,1.0,1.0,0.55,0.55,3 shared tenders; 18.09x expected contextual co-occurrence
V0086,cooccurrence,1.0,1.0,0.648,0.648,4 shared tenders; 18.00x expected contextual co-occurrence
V0456,cooccurrence,1.0,1.0,0.648,0.648,4 shared tenders; 18.00x expected contextual co-occurrence
V0033,cooccurrence,1.0,1.0,0.63,0.63,4 shared tenders; 18.00x expected contextual co-occurrence
V0229,cooccurrence,1.0,1.0,0.63,0.63,4 shared tenders; 18.00x expected contextual co-occurrence
V0008,cooccurrence,1.0,1.0,0.61,0.61,4 shared tenders; 17.94x expected contextual co-occurrence
V0214,cooccurrence,1.0,1.0,0.61,0.61,4 shared tenders; 17.94x expected contextual co-occurrence
V0221,cooccurrence,1.0,1.0,0.605,0.605,3 shared tenders; 17.79x expected contextual co-occurrence
V0441,cooccurrence,1.0,1.0,0.605,0.605,3 shared tenders; 17.79x expected contextual co-occurrence
V0265,cooccurrence,1.0,1.0,0.64,0.64,4 shared tenders; 17.78x expected contextual co-occurrence
V0475,cooccurrence,1.0,1.0,0.64,0.64,4 shared tenders; 17.78x expected contextual co-occurrence
V0447,cooccurrence,1.0,1.0,0.64,0.64,4 shared tenders; 17.78x expected contextual co-occurrence
V0505,cooccurrence,1.0,1.0,0.64,0.64,4 shared tenders; 17.78x expected contextual co-occurrence
V0042,cooccurrence,1.0,1.0,0.681,0.681,26 shared tenders; 17.73x expected contextual co-occurrence
V0043,cooccurrence,1.0,1.0,0.681,0.681,26 shared tenders; 17.73x expected contextual co-occurrence
V0136,cooccurrence,1.0,1.0,0.565,0.565,6 shared tenders; 17.64x expected contextual co-occurrence
V0406,cooccurrence,1.0,1.0,0.565,0.565,6 shared tenders; 17.64x expected contextual co-occurrence
V0202,cooccurrence,1.0,1.0,0.55,0.55,3 shared tenders; 17.63x expected contextual co-occurrence
V0448,cooccurrence,1.0,1.0,0.55,0.55,3 shared tenders; 17.63x expected contextual co-occurrence
V0264,cooccurrence,1.0,1.0,0.602,0.602,4 shared tenders; 17.61x expected contextual co-occurrence
V0498,cooccurrence,1.0,1.0,0.602,0.602,4 shared tenders; 17.61x expected contextual co-occurrence
V0200,cooccurrence,1.0,1.0,0.633,0.633,7 shared tenders; 17.59x expected contextual co-occurrence
V0408,cooccurrence,1.0,1.0,0.633,0.633,7 shared tenders; 17.59x expected contextual co-occurrence
V0191,cooccurrence,1.0,1.0,0.617,0.617,3 shared tenders; 17.54x expected contextual co-occurrence
V0520,cooccurrence,1.0,1.0,0.617,0.617,3 shared tenders; 17.54x expected contextual co-occurrence
V0002,cooccurrence,1.0,1.0,0.617,0.617,5 shared tenders; 17.54x expected contextual co-occurrence
V0092,cooccurrence,1.0,1.0,0.617,0.617,5 shared tenders; 17.54x expected contextual co-occurrence
V0056,cooccurrence,1.0,1.0,0.625,0.625,4 shared tenders; 17.52x expected contextual co-occurrence
V0501,cooccurrence,1.0,1.0,0.625,0.625,4 shared tenders; 17.52x expected contextual co-occurrence
V0163,cooccurrence,1.0,1.0,0.607,0.607,3 shared tenders; 17.50x expected contextual co-occurrence
V0430,cooccurrence,1.0,1.0,0.607,0.607,3 shared tenders; 17.50x expected contextual co-occurrence
V0024,cooccurrence,1.0,1.0,0.671,0.671,36 shared tenders; 17.38x expected contextual co-occurrence
V0091,cooccurrence,1.0,1.0,0.671,0.671,36 shared tenders; 17.38x expected contextual co-occurrence
V0232,cooccurrence,1.0,1.0,0.55,0.55,5 shared tenders; 17.36x expected contextual co-occurrence
V0264,cooccurrence,1.0,1.0,0.55,0.55,5 shared tenders; 17.36x expected contextual co-occurrence
V0229,cooccurrence,1.0,1.0,0.55,0.55,3 shared tenders; 17.33x expected contextual co-occurrence
V0341,cooccurrence,1.0,1.0,0.55,0.55,3 shared tenders; 17.33x expected contextual co-occurrence
V0343,cooccurrence,1.0,1.0,0.627,0.627,3 shared tenders; 17.29x expected contextual co-occurrence
V0354,cooccurrence,1.0,1.0,0.627,0.627,3 shared tenders; 17.29x expected contextual co-occurrence
