vendor_id,regime_signal,risk_relevance,risk_adjusted_regime_signal,risk_class,win_change_relevance,participation_change_relevance,network_change_relevance,bid_position_relevance,interaction_relevance,mahalanobis_distance,cusum_score,persistence_score,z_participation_intensity,z_win_rate,z_bid_position,z_market_breadth,z_network_exposure,risk_explanation
V0067,0.5113,0.23459597413978264,0.2932946888312814,BEHAVIORAL_ONLY,0.3865933850230641,0.0,0.08789638502933934,0.0038186950024904536,0.0737348341231284,12.6762,0.9049,0.1667,-0.5567,1.5756,-0.0115,-2.5,0.2891,win rate increased (1.6 robust deviations)
V0119,0.5955,0.009479016363245631,0.29187330212881657,BEHAVIORAL_ONLY,0.0,0.07899180302704693,0.0,0.0,0.0,9.0172,0.8641,0.2286,0.2573,-0.3571,0.228,-2.0,-1.2639,behavioral deviation detected; procurement relevance is weak
V0140,0.4917,0.2437163459101439,0.2873837549881379,BEHAVIORAL_ONLY,0.3686868686868687,0.0783410138248848,0.0,0.32484133771436285,0.07647789793830909,8.7459,0.7005,0.24,0.255,1.46,-1.4434,-1.4286,-0.7708,behavioral deviation detected; procurement relevance is weak
V0433,0.4962,0.2073525599244398,0.2843855650904806,BEHAVIORAL_ONLY,0.2742684626103112,0.22330097087378642,0.0,0.14871882182684942,0.11136423946285906,4.106,0.728,0.2727,0.8625,0.9448,-0.5241,-0.9524,-0.9636,behavioral deviation detected; procurement relevance is weak
V0318,0.5584,0.013273863333943474,0.2840651903090944,BEHAVIORAL_ONLY,0.0,0.05586152635719905,0.06035643812447146,0.0,0.008709825605609353,4.2034,2.3103,0.4333,0.1775,-2.7473,5.1786,0.0,0.1927,behavioral deviation detected; procurement relevance is weak
V0481,0.5182,0.13338849215404924,0.2819744573369793,BEHAVIORAL_ONLY,0.1748085555848957,0.12673924433835942,0.0,0.1727789113770474,0.06698065846450549,3.6116,1.1415,0.28,0.4354,0.5296,-0.6266,-2.3684,-0.9555,behavioral deviation detected; procurement relevance is weak
V0509,0.5208,0.10897938559100884,0.27766412374037097,BEHAVIORAL_ONLY,0.14480210720760783,0.0,0.19758204723567016,0.0,0.06765831423985454,4.4299,0.8606,0.2667,-0.3899,0.4233,0.0176,-0.9524,0.7387,behavioral deviation detected; procurement relevance is weak
V0198,0.5071,0.1597951852825023,0.27752512682887576,BEHAVIORAL_ONLY,0.21784563401432908,0.17776681466864,0.0,0.01874202727897164,0.08855483725217961,4.0685,1.6602,0.2,0.6486,0.6963,-0.0573,-1.4716,-3.9244,behavioral deviation detected; procurement relevance is weak
V0294,0.5061,0.16109104459379375,0.27723755835689196,BEHAVIORAL_ONLY,0.2380836279409972,0.0,0.16655090984859008,0.0178103719224725,0.07965228921117212,6.0311,0.6235,0.2,-0.2478,0.7812,-0.0544,-1.1111,0.5995,behavioral deviation detected; procurement relevance is weak
V0021,0.4969,0.1640814094714519,0.2767711425020067,BEHAVIORAL_ONLY,0.25530964225075214,0.0,0.0,0.4732221246707638,0.0,4.0297,1.4813,0.2857,-0.1536,0.8571,-2.695,0.0,-1.0377,bid positioning shifted toward stronger positions (2.7 robust deviations)
V0063,0.4654,0.23695868175367904,0.2762590160745845,BEHAVIORAL_ONLY,0.3786967543118446,0.09597709808648486,0.0,0.0,0.08579107555893169,2.7213,1.0131,0.36,0.3185,1.5238,0.5119,-0.6667,-1.0792,win rate increased (1.5 robust deviations)
V0206,0.5184,0.042544536973554224,0.27380156473505696,BEHAVIORAL_ONLY,0.0,0.09608605260779174,0.3217426691686826,0.0,0.026373985635623046,3.912,1.6802,0.52,0.3189,-2.1944,2.9835,0.0,1.4231,behavioral deviation detected; procurement relevance is weak
V0205,0.4792,0.22026802485190003,0.2723971238729649,BEHAVIORAL_ONLY,0.3686868686868687,0.0,0.0,0.3498049414824448,0.0,6.7163,0.6158,0.1714,-0.0391,1.46,-1.614,0.0,-0.3854,bid positioning shifted toward stronger positions (1.6 robust deviations)
V0375,0.4659,0.2091493542282018,0.26708534546707446,BEHAVIORAL_ONLY,0.35606841129198435,0.0,0.0,0.26623456035220744,0.0,5.6335,0.7895,0.2667,-0.0998,1.3824,-1.0885,0.0,-0.3248,behavioral deviation detected; procurement relevance is weak
V0385,0.4861,0.15512106847183976,0.26613580871867704,BEHAVIORAL_ONLY,0.21391063736125523,0.16945820990559507,0.0,0.0,0.08567616367238996,2.4301,2.0403,0.2222,0.6121,0.6803,0.0573,-0.6667,-3.1926,behavioral deviation detected; procurement relevance is weak
V0055,0.471,0.18009689552959915,0.2630395741439512,BEHAVIORAL_ONLY,0.2631672020984998,0.051713238083196354,0.0,0.3730014420966832,0.05249636850303262,4.4803,1.0781,0.2333,0.1636,0.8929,-1.7847,0.0,-0.7066,bid positioning shifted toward stronger positions (1.8 robust deviations)
V0528,0.4327,0.28811042814357324,0.26271590714164184,PROCUREMENT_RELEVANT,0.3274326760108687,0.16278290960846148,0.3177476576002911,0.1932664640869121,0.26702685686105576,2.6477,1.0427,0.2889,0.5833,1.2171,-0.7187,-1.4286,1.3972,winning increased alongside network exposure
V0262,0.4447,0.24255058896107445,0.2623450949434012,BEHAVIORAL_ONLY,0.42457303319062745,0.0,0.0,0.18070841412458694,0.0,3.3052,0.7768,0.3,-0.0084,1.8446,-0.6617,-0.2767,-0.9883,win rate increased (1.8 robust deviations)
V0313,0.4874,0.13743413780998504,0.26161369524997313,BEHAVIORAL_ONLY,0.18457875338399815,0.14980445502465567,0.0,0.05947267768128664,0.0748282748088153,5.8099,0.4216,0.1818,0.5286,0.5659,-0.1897,-1.25,-0.5269,behavioral deviation detected; procurement relevance is weak
V0216,0.5213,0.05047800412246443,0.2616100302506811,BEHAVIORAL_ONLY,0.0,0.0447685155702732,0.4380233407639135,0.11725761365308225,0.02100517155132225,5.3378,1.1697,0.175,0.1406,-0.2687,-0.3985,-1.1111,2.3383,network exposure increased (2.3 robust deviations)
V0479,0.5023,0.0484129978521124,0.25963606090043,BEHAVIORAL_ONLY,0.03920061491160646,0.16369313113291706,0.0,0.0,0.03604741957389402,5.8471,0.9307,0.36,0.5872,0.102,1.4512,-1.25,-1.1804,behavioral deviation detected; procurement relevance is weak
V0231,0.4849,0.15394107600321874,0.2592471655919346,BEHAVIORAL_ONLY,0.20455630150497947,0.12041516404257191,0.0,0.2572051104288402,0.07062517484464687,12.878,0.3384,0.0889,0.4107,0.6429,-1.0388,-2.8571,0.0,behavioral deviation detected; procurement relevance is weak
V0464,0.4621,0.1598475141327951,0.258080253211057,BEHAVIORAL_ONLY,0.2848356552335727,0.0,0.0,0.06375807508660239,0.0,2.4877,1.0882,0.32,-0.4945,0.9957,-0.2043,0.0,-1.7649,behavioral deviation detected; procurement relevance is weak
V0308,0.4658,0.18801550613985157,0.2579109391361226,BEHAVIORAL_ONLY,0.30274717612606333,0.0,0.0,0.43009118541033436,0.0,2.5695,1.6076,0.15,-0.0102,1.0855,-2.264,-0.2024,-0.0135,bid positioning shifted toward stronger positions (2.3 robust deviations)
V0201,0.4751,0.12690569042285685,0.25671019603873013,BEHAVIORAL_ONLY,0.1804353527406242,0.12013139371187236,0.0,0.0,0.06625239585044423,2.9941,1.0439,0.2667,0.4096,0.5504,0.415,-0.5263,-1.2307,behavioral deviation detected; procurement relevance is weak
V0049,0.438,0.25613348819283965,0.25641784126007167,PROCUREMENT_RELEVANT,0.3889024688340259,0.0041824337781318464,0.13783193470513852,0.15673487744546885,0.114359698160325,6.2676,0.3931,0.2,0.0126,1.591,-0.5576,0.0,0.4796,win rate increased (1.6 robust deviations)
V0015,0.5113,0.021917509563201272,0.25534203804756145,BEHAVIORAL_ONLY,0.0,0.11564425316157179,0.06739617010693857,0.0,0.013242527876287862,7.0232,1.2742,0.28,0.3923,-1.226,2.9966,-1.4286,0.2168,behavioral deviation detected; procurement relevance is weak
V0321,0.4377,0.23833337524801007,0.25459388653964976,BEHAVIORAL_ONLY,0.3488396322246243,0.12884397595609373,0.0,0.23859800512677343,0.09540200076698403,4.9975,0.7153,0.2333,0.4437,1.3393,-0.9401,0.0,-0.0843,behavioral deviation detected; procurement relevance is weak
V0337,0.483,0.09368514309411877,0.2545525246701702,BEHAVIORAL_ONLY,0.1073978863181948,0.10203837289353168,0.0,0.2590031121869288,0.04710772631270692,4.0332,0.9389,0.2667,0.3409,0.3008,-1.0486,-0.7692,-1.1198,behavioral deviation detected; procurement relevance is weak
V0034,0.4309,0.2469311547730803,0.25331902611017015,BEHAVIORAL_ONLY,0.3707525799144224,0.12015719858052029,0.0,0.19204976973418436,0.09497941751888161,2.486,0.9146,0.2615,0.4097,1.473,-0.7131,-1.0345,-0.2863,behavioral deviation detected; procurement relevance is weak
V0152,0.5014,0.05199119313247846,0.2520433025839248,BEHAVIORAL_ONLY,0.0,0.21958325745948334,0.2352791231200612,0.0,0.034094361938677806,5.9331,0.7961,0.1778,0.8441,-0.026,0.3073,-1.25,0.923,behavioral deviation detected; procurement relevance is weak
V0497,0.4641,0.15943099567870478,0.25103824591766016,BEHAVIORAL_ONLY,0.2056683506497633,0.19493344783168742,0.0,0.09801563439567047,0.09010303680874471,9.4754,0.6,0.1333,0.7264,0.6473,-0.326,-2.0,-0.2248,behavioral deviation detected; procurement relevance is weak
V0052,0.4252,0.2219470748893892,0.2504216639365855,BEHAVIORAL_ONLY,0.3208736281647289,0.0,0.27258619853547356,0.0,0.11829841757975196,2.3909,1.0636,0.375,-0.2555,1.1812,0.3472,1.0138,1.1242,winning increased alongside network exposure
V0136,0.4645,0.1442322007713694,0.25039723443218564,BEHAVIORAL_ONLY,0.23225747013481557,0.04933929080711094,0.0,0.018709930655501767,0.04817190383796217,5.3352,0.4523,0.1778,0.1557,0.7563,-0.0572,-0.9091,-0.8278,behavioral deviation detected; procurement relevance is weak
V0217,0.4518,0.15503435575646304,0.2500083596828239,BEHAVIORAL_ONLY,0.20526432908414663,0.16648144032007112,0.0,0.11047856253335706,0.08318636897552996,3.6678,0.8715,0.2857,0.5992,0.6457,-0.3726,0.0,-1.2263,behavioral deviation detected; procurement relevance is weak
V0413,0.4913,0.05420548526917453,0.24974472144890233,LOW_RELEVANCE,0.0,0.3001936131003755,0.05502882162094056,0.19848246012450238,0.01927911480614553,3.9268,0.8403,0.2333,1.2869,-0.1843,-0.7429,-0.8,0.1747,behavioral deviation detected; procurement relevance is weak
V0228,0.4585,0.13718903014285921,0.24962907111599386,LOW_RELEVANCE,0.23076923076923078,0.0,0.0,0.20531906439564515,0.0,3.3892,0.9618,0.2667,-0.1162,0.75,-0.7751,0.0,-0.6193,behavioral deviation detected; procurement relevance is weak
V0186,0.4697,0.11972632269051244,0.24960403969202258,LOW_RELEVANCE,0.11448002266931141,0.25084280184792107,0.0,0.22819655261126834,0.07625673185038602,4.6893,0.4838,0.2,1.0045,0.3232,-0.887,-0.5263,-0.0237,behavioral deviation detected; procurement relevance is weak
V0514,0.4551,0.15524043333733908,0.24945596692278135,LOW_RELEVANCE,0.26666862221700743,0.0,0.0,0.17145382235969953,0.0,3.9331,0.9364,0.2286,-0.4624,0.9091,-0.6208,0.0,-0.3372,behavioral deviation detected; procurement relevance is weak
V0376,0.4893,0.05972030789534939,0.24839277407466503,LOW_RELEVANCE,0.03348024433619423,0.23451812916230766,0.0,0.10378203979207744,0.03987448010680888,5.75,0.5306,0.2,0.9191,0.0866,-0.3474,-1.25,-0.6745,behavioral deviation detected; procurement relevance is weak
V0218,0.4651,0.12943879660217045,0.24829489626998963,LOW_RELEVANCE,0.11243653921255368,0.25713153724247223,0.03744344980267591,0.20620220675786521,0.11718664622030957,3.8276,0.7474,0.1846,1.0384,0.3167,-0.7793,-0.7692,0.1167,behavioral deviation detected; procurement relevance is weak
V0211,0.4579,0.13279908543602953,0.24570384568357856,LOW_RELEVANCE,0.17404519624686138,0.08742471253878445,0.0,0.3096306523990335,0.05550864687824981,4.6209,0.79,0.2,0.2874,0.5268,-1.3455,-1.0,-0.3777,behavioral deviation detected; procurement relevance is weak
V0364,0.4819,0.07197917106385425,0.24544318688857572,LOW_RELEVANCE,0.07421122796622721,0.12897044306370128,0.0,0.13763366678164884,0.044024295878513454,5.3246,0.5064,0.1636,0.4442,0.2004,-0.4788,-1.1765,-0.6348,behavioral deviation detected; procurement relevance is weak
V0265,0.4982,0.021139640258135382,0.2452993804355348,LOW_RELEVANCE,0.0,0.17616366881779486,0.0,0.0,0.0,10.1079,0.7727,0.2,0.6415,-0.2476,0.4033,-2.2222,-1.8736,behavioral deviation detected; procurement relevance is weak
V0365,0.4342,0.19763537883868848,0.2450586879730518,LOW_RELEVANCE,0.3155373032169747,0.06843870326667495,0.0,0.05303030303030303,0.06612851262918104,3.6357,0.7095,0.2222,0.2204,1.1525,-0.168,0.0,-0.932,behavioral deviation detected; procurement relevance is weak
V0382,0.4195,0.24872208561844367,0.2443562103071071,LOW_RELEVANCE,0.2797464707577067,0.16065133456437805,0.21247440541817608,0.2891837460016586,0.22063113410221297,6.3534,0.3492,0.2,0.5742,0.971,-1.2205,-1.0,0.8094,behavioral deviation detected; procurement relevance is weak
V0346,0.4672,0.11029257263874569,0.24423995204687646,LOW_RELEVANCE,0.17933230476315531,0.0,0.05054277304807419,0.0,0.03808191587582166,4.8336,0.5363,0.1455,-0.0854,0.5463,1.0254,-1.0526,0.1597,behavioral deviation detected; procurement relevance is weak
V0076,0.4445,0.16771205579480347,0.24361643047026157,LOW_RELEVANCE,0.24510070356614427,0.05267146646456992,0.0,0.3272034088360619,0.05112961207936306,3.7622,0.87,0.175,0.1668,0.8117,-1.459,0.0,-0.6145,behavioral deviation detected; procurement relevance is weak
V0339,0.4543,0.13620088983735673,0.24253457797966546,LOW_RELEVANCE,0.20252639637627995,0.10001799964000718,0.0,0.0,0.06404605936800938,4.7713,0.5407,0.1556,0.3334,0.6349,0.5556,-0.8333,-0.4122,behavioral deviation detected; procurement relevance is weak
V0179,0.4279,0.19939560255419062,0.2400696469590941,LOW_RELEVANCE,0.23291706299285078,0.17718047174986287,0.0866467758631188,0.19465249255053554,0.16682597300781424,3.4414,0.6986,0.18,0.646,0.7591,-0.7251,0.0,0.2846,behavioral deviation detected; procurement relevance is weak
V0424,0.4461,0.11841720281738735,0.2388499119743741,LOW_RELEVANCE,0.13320851535954512,0.24169657752388657,0.0,0.0,0.08074465033385572,2.2898,1.2587,0.25,0.9562,0.3842,0.4154,0.0,-1.4956,behavioral deviation detected; procurement relevance is weak
V0151,0.4712,0.04846656738636533,0.23800165354843117,LOW_RELEVANCE,0.0,0.14077044250322213,0.315630988228853,0.0,0.03161817613835215,3.8996,0.9793,0.2222,0.4915,-0.9434,0.8232,-0.7692,1.3836,behavioral deviation detected; procurement relevance is weak
V0487,0.4538,0.06517097324036225,0.23529421517864588,LOW_RELEVANCE,0.10637689448098368,0.0,0.0,0.13327362551642447,0.0,5.7073,0.4292,0.3,-0.7846,0.2976,-0.4613,-1.25,-0.176,behavioral deviation detected; procurement relevance is weak
V0349,0.4202,0.16452345377779923,0.23361287735319797,LOW_RELEVANCE,0.24484987615537968,0.12015719858052029,0.0,0.0,0.0771857903133899,2.128,1.0302,0.2727,0.4097,0.8106,0.2898,0.0,-1.1897,behavioral deviation detected; procurement relevance is weak
V0485,0.4575,0.07078719252867983,0.232924855095678,LOW_RELEVANCE,0.07547797788543323,0.0,0.16657406378486497,0.13956289795215968,0.044851173456471854,4.1453,0.6083,0.1667,-0.125,0.2041,-0.4866,-0.9091,0.5996,behavioral deviation detected; procurement relevance is weak
V0244,0.4208,0.17135432091603836,0.23283071618484372,LOW_RELEVANCE,0.23713038967379696,0.15302089215132694,0.0,0.10852252466421015,0.08571986652040141,3.3614,0.4864,0.2154,0.542,0.7771,-0.3652,-0.6897,-0.0465,behavioral deviation detected; procurement relevance is weak
V0174,0.4708,0.020184715329061593,0.23050117566290376,LOW_RELEVANCE,0.0,0.011857707509881422,0.21556322560401633,0.0,0.007583661897772584,5.6709,0.717,0.1714,0.036,-0.4762,0.5958,-1.25,0.8244,behavioral deviation detected; procurement relevance is weak
V0291,0.4662,0.022338451521892465,0.22911077125412382,LOW_RELEVANCE,0.0,0.18615376268243722,0.0,0.0,0.0,4.7231,0.4801,0.1833,0.6862,-0.9045,0.5975,-1.0,-0.1491,behavioral deviation detected; procurement relevance is weak
V0212,0.4143,0.1688270772722842,0.22886909040486622,LOW_RELEVANCE,0.2846719505565252,0.0,0.0,0.2451500893239061,0.0,2.5223,0.8387,0.2167,-0.2092,0.9949,-0.9743,-0.4545,-0.2657,behavioral deviation detected; procurement relevance is weak
V0541,0.4077,0.1876193046276316,0.2287274233465413,LOW_RELEVANCE,0.3269256656705167,0.0,0.004083258639577731,0.09121202023567901,0.014614634029486135,4.7569,0.3631,0.2286,-0.4647,1.2143,-0.3011,-1.0,0.0123,behavioral deviation detected; procurement relevance is weak
V0447,0.4608,0.02909667058830143,0.2283366673396074,LOW_RELEVANCE,0.0,0.1619643555505894,0.07848256796191061,0.0,0.016911712426389267,8.1753,0.3797,0.2,0.5798,-0.084,0.7445,-1.8182,0.2555,behavioral deviation detected; procurement relevance is weak
V0482,0.419,0.16212780436474714,0.2281307786263385,LOW_RELEVANCE,0.13224574800416522,0.22853395736364338,0.25911291119233426,0.06968090054888827,0.18877745077993952,5.5037,0.5661,0.16,0.8887,0.381,-0.2247,-1.1111,1.0492,behavioral deviation detected; procurement relevance is weak
V0033,0.4172,0.16528256373133823,0.22766838980204138,LOW_RELEVANCE,0.2709882483305631,0.048947501902105,0.0,0.0,0.05182663460637965,4.0852,0.4196,0.16,0.1544,0.9293,0.0272,-0.7692,-0.6226,behavioral deviation detected; procurement relevance is weak
V0293,0.4,0.21807581495237727,0.22749377870349455,LOW_RELEVANCE,0.34573813823244615,0.0,0.09671203179573647,0.11108477288215947,0.0731431886838249,3.0478,0.5141,0.1833,-0.1752,1.3211,-0.3749,0.0,0.3212,behavioral deviation detected; procurement relevance is weak
V0469,0.3953,0.22100518989360873,0.227461458268943,LOW_RELEVANCE,0.24868519909842224,0.1838955386289445,0.2138776793669095,0.028088249586937505,0.21823119462651744,2.3696,0.7019,0.24,0.676,0.8275,-0.0867,-1.7647,0.8162,behavioral deviation detected; procurement relevance is weak
V0100,0.4185,0.12889100377468943,0.2273076598827062,LOW_RELEVANCE,0.17020711630377058,0.16738364186395047,0.0,0.0,0.0759552639197076,2.5376,0.9575,0.2889,0.6031,0.5128,0.3048,0.0,-0.9893,behavioral deviation detected; procurement relevance is weak
V0309,0.4118,0.1671639511870472,0.22712336061973423,LOW_RELEVANCE,0.18166939443535188,0.36678134960001685,0.0,0.0,0.1161601114780081,2.0072,1.2007,0.2143,1.7377,0.555,0.5302,-0.8571,-0.3212,participation increased (1.7 robust deviations)
V0008,0.431,0.08608942097535408,0.2271036036623621,LOW_RELEVANCE,0.0,0.09123954925481643,0.6474031240083213,0.32114409847936276,0.0364561011007113,1.7494,2.4467,0.3,0.3012,-0.2521,-1.4192,0.0,5.5083,network exposure increased (5.5 robust deviations)
V0491,0.4041,0.22386866006861214,0.22690014433353145,LOW_RELEVANCE,0.30278606687676046,0.10812498141927045,0.10439740872316924,0.04628687690742625,0.1684759448642828,7.1147,0.218,0.0857,0.3637,1.0857,-0.1456,-1.1111,0.3497,behavioral deviation detected; procurement relevance is weak
V0221,0.4274,0.12464630470746879,0.22666411602745795,LOW_RELEVANCE,0.1860389398971153,0.011629822422824761,0.07774601125149867,0.0,0.07354814086598245,5.6559,0.6037,0.1667,0.0353,0.5714,0.2895,-1.25,0.2529,behavioral deviation detected; procurement relevance is weak
V0296,0.4195,0.1447419611541749,0.22597579530350842,LOW_RELEVANCE,0.2631672020984998,0.0,0.0,0.0,0.0,6.854,0.2191,0.1714,-0.0601,0.8929,0.0127,-1.25,-1.0009,behavioral deviation detected; procurement relevance is weak
V0358,0.417,0.11321342584700769,0.22374455172624333,LOW_RELEVANCE,0.10288154447913302,0.2134654711341828,0.0,0.3535040082751487,0.06668759716812586,3.2274,0.8563,0.2857,0.8142,0.2867,-1.6404,0.0,-0.0409,bid positioning shifted toward stronger positions (1.6 robust deviations)
V0468,0.3785,0.2800177666430246,0.22362952881443554,LOW_RELEVANCE,0.375,0.12116240918678228,0.14128692466223952,0.12803371602964686,0.20761818883074587,2.9528,0.432,0.16,0.4136,1.5,-0.4405,0.0,0.4936,win rate increased (1.5 robust deviations)
V0065,0.3813,0.24555959552647452,0.2233047386403023,LOW_RELEVANCE,0.33962014950999814,0.18402872218897895,0.0,0.2837018289479967,0.11249987592949104,2.1998,0.7795,0.2444,0.6766,1.2857,-1.1882,0.0,-0.0964,behavioral deviation detected; procurement relevance is weak
V0472,0.429,0.08061073160199592,0.22307345100650233,LOW_RELEVANCE,0.08155767817781044,0.20174551647065084,0.0,0.0,0.05772273313861034,2.4996,0.9253,0.2462,0.7582,0.222,0.683,-0.4545,-0.7235,behavioral deviation detected; procurement relevance is weak
