vendor_a,vendor_b,observed_shared_tenders,vendor_a_tenders,vendor_b_tenders,expected_shared_tenders,enrichment_ratio,p_value,surprise_score
V0041,V0460,11,39,42,0.655,16.789,8.89185925342249e-12,11.051
V0144,V0307,14,68,50,1.36,10.294,1.3369684022919024e-11,10.874
V0178,V0383,11,49,36,0.706,15.59,2.1038989897664266e-11,10.677
V0047,V0177,8,55,13,0.286,27.972,3.847839330379388e-11,10.415
V0050,V0144,14,55,68,1.496,9.358,5.595983127412902e-11,10.252
V0041,V0481,12,39,64,0.998,12.019,6.252327977039582e-11,10.204
V0050,V0113,12,55,46,1.012,11.858,8.132982224082768e-11,10.09
V0113,V0295,12,46,55,1.012,11.858,8.132982224082768e-11,10.09
V0025,V0460,12,61,42,1.025,11.71,9.148172228260979e-11,10.039
V0025,V0481,14,61,64,1.562,8.965,1.066680434185256e-10,9.972
V0119,V0184,14,64,63,1.613,8.681,1.7046731531554385e-10,9.768
V0144,V0277,15,68,71,1.931,7.767,1.8999203869732293e-10,9.721
V0041,V0050,11,39,55,0.858,12.821,2.1689335563474557e-10,9.664
V0050,V0407,11,55,40,0.88,12.5,2.942811837131031e-10,9.531
V0295,V0407,11,55,40,0.88,12.5,2.942811837131031e-10,9.531
V0020,V0460,13,85,42,1.428,9.104,3.678722052693108e-10,9.434
V0263,V0275,11,49,46,0.902,12.201,4.052975587229321e-10,9.392
V0144,V0184,14,68,63,1.714,8.17,4.070951048531308e-10,9.39
V0309,V0364,10,56,31,0.694,14.401,4.283752564822357e-10,9.368
V0184,V0355,14,63,69,1.739,8.052,5.011764408656122e-10,9.3
V0144,V0481,14,68,64,1.741,8.042,5.103722448205458e-10,9.292
V0050,V0460,11,55,42,0.924,11.905,5.272491200118278e-10,9.278
V0295,V0460,11,55,42,0.924,11.905,5.272491200118278e-10,9.278
V0113,V0119,12,46,64,1.178,10.19,5.422119291209896e-10,9.266
V0277,V0460,12,71,42,1.193,10.06,6.000146358035902e-10,9.222
V0026,V0355,12,44,69,1.214,9.881,7.721241371743401e-10,9.112
V0066,V0219,11,53,45,0.954,11.53,7.776587281751996e-10,9.109
V0026,V0295,11,44,55,0.968,11.364,9.140483043914157e-10,9.039
V0050,V0355,13,55,69,1.518,8.564,9.908176525019453e-10,9.004
V0080,V0321,7,39,16,0.25,28.045,1.3235224127389199e-09,8.878
V0379,V0388,8,53,19,0.403,19.861,1.498014927438859e-09,8.824
V0007,V0244,10,39,50,0.78,12.821,1.6490067569806025e-09,8.783
V0200,V0408,7,30,21,0.252,27.778,1.7594925316300785e-09,8.755
V0307,V0407,10,50,40,0.8,12.5,2.166342360188847e-09,8.664
V0090,V0264,6,21,18,0.151,39.683,2.8087385811996102e-09,8.551
V0024,V0053,10,47,44,0.827,12.089,3.1286903193880944e-09,8.505
V0429,V0496,7,26,26,0.27,25.888,3.172149454333424e-09,8.499
V0050,V0307,11,55,50,1.1,10.0,4.0326547545516924e-09,8.394
V0026,V0184,11,44,63,1.109,9.921,4.260071412057243e-09,8.371
V0259,V0513,10,39,55,0.858,11.655,4.449147686764479e-09,8.352
V0026,V0119,11,44,64,1.126,9.766,5.080796312075367e-09,8.294
V0050,V0119,12,55,64,1.408,8.523,5.121781725528961e-09,8.291
V0277,V0407,11,71,40,1.136,9.683,5.289509262768404e-09,8.277
V0141,V0395,7,28,26,0.291,24.038,5.6336010208647785e-09,8.249
V0023,V0061,9,44,37,0.651,13.821,5.953294552869733e-09,8.225
V0033,V0058,6,25,17,0.17,35.294,6.050176666240931e-09,8.218
V0355,V0460,11,69,42,1.159,9.489,6.82698240474895e-09,8.166
V0309,V0413,10,56,40,0.896,11.161,7.023635519943552e-09,8.153
V0076,V0541,6,22,20,0.176,34.091,7.941831959160277e-09,8.1
V0224,V0426,9,42,40,0.672,13.393,8.101819931651956e-09,8.091
V0309,V0504,10,56,41,0.918,10.889,9.132286697375769e-09,8.039
V0219,V0327,10,45,51,0.918,10.893,9.295469289392193e-09,8.032
V0026,V0041,9,44,39,0.686,13.112,9.884598990098092e-09,8.005
V0119,V0277,13,64,71,1.818,7.152,1.0697248760733503e-08,7.971
V0536,V0540,6,22,21,0.185,32.468,1.1057223673115654e-08,7.956
V0136,V0406,6,24,20,0.192,31.25,1.4188343582584696e-08,7.848
V0132,V0379,11,58,53,1.23,8.946,1.421420257541233e-08,7.847
V0153,V0387,8,36,35,0.504,15.873,1.4501476137716891e-08,7.839
V0016,V0122,9,50,36,0.72,12.5,1.5196954846077662e-08,7.818
V0062,V0501,7,40,21,0.336,20.833,1.5332892650208624e-08,7.814
V0025,V0407,10,61,40,0.976,10.246,1.68225281756553e-08,7.774
V0113,V0407,9,46,40,0.736,12.228,1.9128820719949928e-08,7.718
V0014,V0322,9,46,40,0.736,12.228,1.9128820719949928e-08,7.718
V0178,V0456,7,49,18,0.353,19.841,1.933144550036502e-08,7.714
V0113,V0355,11,46,69,1.27,8.664,1.9504815161784734e-08,7.71
V0164,V0234,6,24,21,0.202,29.762,1.9740420364547587e-08,7.705
V0050,V0223,10,55,45,0.99,10.101,2.0199351722944384e-08,7.695
V0119,V0307,11,64,50,1.28,8.594,2.196492746975751e-08,7.658
V0010,V0460,12,96,42,1.613,7.44,2.1994754663328032e-08,7.658
V0184,V0407,10,63,40,1.008,9.921,2.3315386955565408e-08,7.632
V0230,V0275,9,41,46,0.754,11.93,2.4178898417602468e-08,7.617
V0195,V0219,9,42,45,0.756,11.905,2.471628367338067e-08,7.607
V0053,V0091,11,44,74,1.302,8.446,2.5221918655791836e-08,7.598
V0407,V0481,10,40,64,1.024,9.766,2.7325999303219434e-08,7.563
V0182,V0483,9,35,55,0.77,11.688,2.799419610418562e-08,7.553
V0122,V0352,8,36,38,0.547,14.62,2.9232056429681548e-08,7.534
V0329,V0406,6,27,20,0.216,27.778,3.075332135545646e-08,7.512
V0115,V0441,5,16,17,0.109,45.956,3.190396742384591e-08,7.496
V0383,V0513,9,36,55,0.792,11.364,3.670223286258079e-08,7.435
V0367,V0513,8,26,55,0.572,13.986,3.747925636692137e-08,7.426
V0151,V0276,7,23,41,0.377,18.558,3.7866683635447974e-08,7.422
V0244,V0379,10,50,53,1.06,9.434,4.109024407869633e-08,7.386
V0119,V0460,10,64,42,1.075,9.301,4.5572204910009686e-08,7.341
V0061,V0080,8,37,39,0.577,13.86,4.593224350347287e-08,7.338
V0062,V0215,9,40,51,0.816,11.029,4.9903025813047807e-08,7.302
V0062,V0417,8,40,37,0.592,13.514,5.681721321644039e-08,7.246
V0263,V0419,10,49,56,1.098,9.111,5.839809851264713e-08,7.234
V0244,V0309,10,50,56,1.12,8.929,7.17612500043618e-08,7.144
V0063,V0241,7,30,34,0.408,17.157,7.322596871759046e-08,7.135
V0141,V0420,6,28,22,0.246,24.351,7.384852870931056e-08,7.132
V0041,V0295,9,39,55,0.858,10.49,7.854426699118066e-08,7.105
V0086,V0233,5,20,16,0.128,39.062,7.90546938872332e-08,7.102
V0184,V0223,10,63,45,1.134,8.818,7.953164878116357e-08,7.099
V0022,V0395,6,24,26,0.25,24.038,8.118596561623605e-08,7.091
V0127,V0244,9,43,50,0.86,10.465,8.194688299304277e-08,7.086
V0146,V0315,5,19,17,0.129,38.7,8.391126441608586e-08,7.076
V0358,V0427,5,17,19,0.129,38.7,8.391126441608586e-08,7.076
V0001,V0052,10,62,46,1.141,8.766,8.495879443544658e-08,7.071
V0024,V0052,9,47,46,0.865,10.407,8.6693425285087e-08,7.062
V0041,V0407,8,39,40,0.624,12.821,8.847306559839794e-08,7.053
V0119,V0223,10,64,45,1.152,8.681,9.303892601240547e-08,7.031
V0034,V0063,8,53,30,0.636,12.579,9.70462675515993e-08,7.013
V0026,V0307,9,44,50,0.88,10.227,1.014822008241229e-07,6.994
V0502,V0513,10,53,55,1.166,8.576,1.0801528021229598e-07,6.967
V0159,V0320,8,40,40,0.64,12.5,1.0932071842505037e-07,6.961
V0195,V0379,9,42,53,0.89,10.108,1.1219225847957094e-07,6.95
V0244,V0278,7,50,22,0.44,15.909,1.1289974968233259e-07,6.947
V0005,V0169,7,31,35,0.434,16.129,1.1611158322136503e-07,6.935
V0013,V0512,7,32,34,0.435,16.085,1.1877248199890327e-07,6.925
V0016,V0123,9,50,45,0.9,10.0,1.249601106224691e-07,6.903
V0230,V0303,7,41,27,0.443,15.808,1.3071538570356768e-07,6.884
V0141,V0529,6,28,24,0.269,22.321,1.3120380576121167e-07,6.882
V0145,V0335,6,18,38,0.274,21.93,1.331428253614113e-07,6.876
V0191,V0445,5,22,16,0.141,35.511,1.332882416605576e-07,6.875
V0413,V0504,8,40,41,0.656,12.195,1.34261886724194e-07,6.872
V0153,V0216,6,36,19,0.274,21.93,1.3701400411578927e-07,6.863
V0061,V0338,8,37,45,0.666,12.012,1.5112201198384019e-07,6.821
V0262,V0543,5,26,14,0.146,34.341,1.5249298921289464e-07,6.817
V0243,V0409,5,20,18,0.144,34.722,1.5351538829316812e-07,6.814
V0060,V0412,5,18,20,0.144,34.722,1.5351538829316812e-07,6.814
V0012,V0439,5,19,19,0.144,34.626,1.5620440990078356e-07,6.806
V0025,V0307,10,61,50,1.22,8.197,1.6870857004333916e-07,6.773
V0453,V0488,7,32,36,0.461,15.191,1.8106323460831173e-07,6.742
V0176,V0188,6,17,43,0.292,20.52,1.944443480360479e-07,6.711
V0195,V0242,8,42,41,0.689,11.614,2.0120499281478212e-07,6.696
V0132,V0276,9,58,41,0.951,9.462,2.0297267443538527e-07,6.693
V0092,V0473,5,20,19,0.152,32.895,2.0729582044547645e-07,6.683
V0092,V0388,5,20,19,0.152,32.895,2.0729582044547645e-07,6.683
V0219,V0379,9,45,53,0.954,9.434,2.1243698928594297e-07,6.673
V0026,V0050,9,44,55,0.968,9.298,2.4151592174466217e-07,6.617
V0232,V0331,5,22,18,0.158,31.566,2.5848333152214074e-07,6.588
V0232,V0264,5,22,18,0.158,31.566,2.5848333152214074e-07,6.588
V0046,V0284,5,20,20,0.16,31.25,2.750058397404988e-07,6.561
V0007,V0014,8,39,46,0.718,11.148,2.8066968674574444e-07,6.552
V0066,V0093,8,53,34,0.721,11.099,2.821120133163547e-07,6.55
V0244,V0301,8,50,36,0.72,11.111,2.842184018555205e-07,6.546
V0454,V0539,6,43,18,0.31,19.38,2.8795446668818275e-07,6.541
V0223,V0407,8,45,40,0.72,11.111,2.891981932465856e-07,6.539
V0165,V0168,4,14,12,0.067,59.524,2.9742113991511685e-07,6.527
V0028,V0483,9,45,55,0.99,9.091,2.968450642500918e-07,6.527
V0154,V0306,5,24,17,0.163,30.637,3.006023618216626e-07,6.522
V0214,V0259,6,20,39,0.312,19.231,3.197789325970421e-07,6.495
V0065,V0263,7,26,49,0.51,13.736,3.547487034813374e-07,6.45
V0219,V0242,8,45,41,0.738,10.84,3.5453648440725466e-07,6.45
V0215,V0321,6,51,16,0.326,18.382,3.661234344848769e-07,6.436
V0006,V0043,6,16,51,0.326,18.382,3.661234344848769e-07,6.436
V0033,V0096,5,25,17,0.17,29.412,3.742404081105179e-07,6.427
V0270,V0347,5,27,16,0.173,28.935,4.011262349175731e-07,6.397
V0112,V0419,6,15,56,0.336,17.857,4.1249633344454275e-07,6.385
V0164,V0409,5,24,18,0.173,28.935,4.135722819624388e-07,6.383
V0327,V0370,8,51,37,0.755,10.599,4.1919229903077113e-07,6.378
V0035,V0513,7,24,55,0.528,13.258,4.380543095244407e-07,6.358
V0309,V0319,8,56,34,0.762,10.504,4.395363997740915e-07,6.357
V0309,V0523,8,56,34,0.762,10.504,4.395363997740915e-07,6.357
V0002,V0546,5,22,20,0.176,28.409,4.624225055244152e-07,6.335
V0002,V0092,5,22,20,0.176,28.409,4.624225055244152e-07,6.335
V0234,V0540,5,21,21,0.176,28.345,4.688339441870758e-07,6.329
V0126,V0438,7,30,44,0.528,13.258,4.80723054472569e-07,6.318
V0337,V0458,6,24,35,0.336,17.857,5.411246199081453e-07,6.267
V0061,V0502,8,37,53,0.784,10.199,5.713558925047247e-07,6.243
V0093,V0132,8,34,58,0.789,10.142,5.820281088757648e-07,6.235
V0204,V0243,5,23,20,0.184,27.174,5.879029443854167e-07,6.231
V0007,V0278,6,39,22,0.343,17.483,6.016692388055153e-07,6.221
V0319,V0322,7,34,40,0.544,12.868,6.093651943693172e-07,6.215
V0025,V0026,9,61,44,1.074,8.383,6.097603308574364e-07,6.215
V0367,V0502,7,26,53,0.551,12.7,6.195828887794006e-07,6.208
V0043,V0376,7,51,27,0.551,12.709,6.269435008944613e-07,6.203
V0188,V0248,8,43,46,0.791,10.111,6.26178221803106e-07,6.203
V0437,V0496,6,33,26,0.343,17.483,6.276800308696364e-07,6.202
V0231,V0465,5,26,18,0.187,26.709,6.344826581672291e-07,6.198
V0231,V0539,5,26,18,0.187,26.709,6.344826581672291e-07,6.198
V0395,V0505,5,26,18,0.187,26.709,6.344826581672291e-07,6.198
V0007,V0327,8,39,51,0.796,10.055,6.475754289608932e-07,6.189
V0080,V0215,8,39,51,0.796,10.055,6.475754289608932e-07,6.189
V0244,V0281,8,50,40,0.8,10.0,6.798028624639634e-07,6.168
V0063,V0349,6,30,29,0.348,17.241,6.914192546419296e-07,6.16
V0401,V0478,5,16,30,0.192,26.042,7.002568500939994e-07,6.155
V0425,V0441,4,12,17,0.082,49.02,7.01715949371608e-07,6.154
V0002,V0322,6,22,40,0.352,17.045,7.039237223613849e-07,6.152
V0035,V0214,5,24,20,0.192,26.042,7.38880470912478e-07,6.131
V0132,V0310,8,58,35,0.812,9.852,7.409819991180008e-07,6.13
V0359,V0387,7,40,35,0.56,12.5,7.528451063739634e-07,6.123
V0003,V0169,7,40,35,0.56,12.5,7.528451063739634e-07,6.123
V0090,V0431,5,21,23,0.193,25.88,7.669718791370065e-07,6.115
V0079,V0129,7,30,47,0.564,12.411,7.698471393491133e-07,6.114
V0295,V0307,9,55,50,1.1,8.182,7.713478394225245e-07,6.113
V0041,V0277,9,39,71,1.108,8.126,7.709466771230896e-07,6.113
V0089,V0163,4,16,13,0.083,48.077,7.74103033906084e-07,6.111
V0145,V0303,5,18,27,0.194,25.72,7.752867408286631e-07,6.111
V0191,V0339,5,22,22,0.194,25.826,7.765195595676075e-07,6.11
V0197,V0488,6,25,36,0.36,16.667,8.403134475718079e-07,6.076
V0251,V0496,5,19,26,0.198,25.304,8.550330383645508e-07,6.068
V0093,V0195,7,34,42,0.571,12.255,8.650433080006118e-07,6.063
V0113,V0223,8,46,45,0.828,9.662,9.055837525171204e-07,6.043
V0387,V0496,6,35,26,0.364,16.484,9.072032863062171e-07,6.042
V0332,V0483,9,51,55,1.122,8.021,9.209533097835221e-07,6.036
V0066,V0379,9,53,53,1.124,8.01,9.336342905062179e-07,6.03
V0164,V0540,5,24,21,0.202,24.802,9.636117367087059e-07,6.016
V0276,V0327,8,41,51,0.836,9.565,9.749405854768937e-07,6.011
V0144,V0460,9,68,42,1.142,7.878,1.0398816489073344e-06,5.983
V0353,V0376,5,19,27,0.205,24.366,1.044430495012284e-06,5.981
V0120,V0547,8,44,48,0.845,9.47,1.0636271694680931e-06,5.973
V0309,V0327,9,56,51,1.142,7.878,1.080502534942565e-06,5.966
V0127,V0278,6,43,22,0.378,15.856,1.0995418019101207e-06,5.959
V0242,V0280,7,41,36,0.59,11.856,1.1024567589004865e-06,5.958
V0030,V0494,5,18,29,0.209,23.946,1.1305274476507773e-06,5.947
V0114,V0547,7,31,48,0.595,11.761,1.1380170612924029e-06,5.944
V0132,V0370,8,58,37,0.858,9.32,1.1723899823503568e-06,5.931
V0090,V0528,5,21,25,0.21,23.81,1.198054733296613e-06,5.922
V0177,V0485,5,13,42,0.218,22.894,1.2228042158619292e-06,5.913
V0061,V0367,6,37,26,0.385,15.593,1.2814417057926703e-06,5.892
V0143,V0418,4,13,18,0.094,42.735,1.2939960625091548e-06,5.888
V0140,V0315,4,14,17,0.095,42.017,1.4072091488880331e-06,5.852
V0300,V0358,4,14,17,0.095,42.017,1.4072091488880331e-06,5.852
V0132,V0352,8,58,38,0.882,9.074,1.4584491234689804e-06,5.836
V0178,V0384,8,49,45,0.882,9.07,1.5035575924572508e-06,5.823
V0179,V0512,6,29,34,0.394,15.213,1.516913074236242e-06,5.819
V0161,V0530,6,34,29,0.394,15.213,1.516913074236242e-06,5.819
V0172,V0421,8,48,46,0.883,9.058,1.5212978884120308e-06,5.818
V0255,V0478,6,33,30,0.396,15.152,1.5593744596926727e-06,5.807
V0378,V0431,5,24,23,0.221,22.645,1.5732112300542657e-06,5.803
V0204,V0529,5,23,24,0.221,22.645,1.5732112300542657e-06,5.803
V0431,V0529,5,23,24,0.221,22.645,1.5732112300542657e-06,5.803
V0003,V0360,6,40,25,0.4,15.0,1.6128350986220592e-06,5.792
V0088,V0346,7,38,41,0.623,11.232,1.6270011545580812e-06,5.789
V0014,V0278,6,46,22,0.405,14.822,1.6614159200844846e-06,5.78
V0223,V0307,8,45,50,0.9,8.889,1.766147588997209e-06,5.753
V0202,V0229,4,18,14,0.101,39.683,1.8034549512141078e-06,5.744
V0179,V0317,6,29,35,0.406,14.778,1.8162125823943582e-06,5.741
V0112,V0441,4,15,17,0.102,39.216,1.9109134047374816e-06,5.719
V0368,V0516,7,50,32,0.64,10.938,1.913252024579922e-06,5.718
V0127,V0379,8,43,53,0.912,8.776,1.946534342422507e-06,5.711
V0085,V0233,4,16,16,0.102,39.062,1.9477567270377485e-06,5.71
V0160,V0282,4,16,16,0.102,39.062,1.9477567270377485e-06,5.71
V0152,V0549,5,25,23,0.23,21.739,1.9546536004974264e-06,5.709
V0135,V0154,5,24,24,0.23,21.701,1.9745674161100915e-06,5.705
V0220,V0313,6,37,28,0.414,14.479,2.0523526530451525e-06,5.688
V0107,V0309,6,19,56,0.426,14.098,2.0863808819996776e-06,5.681
V0014,V0244,8,46,50,0.92,8.696,2.1057497230152814e-06,5.677
V0003,V0112,5,40,15,0.24,20.833,2.167390732341259e-06,5.664
V0141,V0408,5,28,21,0.235,21.259,2.1806857605279312e-06,5.661
V0094,V0387,5,17,35,0.238,21.008,2.1961557406043154e-06,5.658
V0082,V0327,7,32,51,0.653,10.723,2.197998087159151e-06,5.658
V0044,V0547,7,34,48,0.653,10.723,2.228819702776448e-06,5.652
V0066,V0364,7,53,31,0.657,10.651,2.282876435849776e-06,5.642
V0322,V0504,7,40,41,0.656,10.671,2.346223414302525e-06,5.63
V0088,V0544,5,38,16,0.243,20.559,2.394432718762375e-06,5.621
V0115,V0335,5,16,38,0.243,20.559,2.394432718762375e-06,5.621
V0275,V0488,7,46,36,0.662,10.568,2.492966044733306e-06,5.603
V0078,V0421,7,36,46,0.662,10.568,2.492966044733306e-06,5.603
V0056,V0507,4,17,16,0.109,36.765,2.5372498838420272e-06,5.596
V0302,V0338,6,24,45,0.432,13.889,2.550834738032729e-06,5.593
V0459,V0494,5,21,29,0.244,20.525,2.6208530927891203e-06,5.582
V0345,V0426,6,27,40,0.432,13.889,2.6329887949418336e-06,5.58
V0289,V0359,6,27,40,0.432,13.889,2.6329887949418336e-06,5.58
V0292,V0322,6,27,40,0.432,13.889,2.6329887949418336e-06,5.58
V0001,V0051,9,62,51,1.265,7.116,2.637294005918555e-06,5.579
V0195,V0322,7,42,40,0.672,10.417,2.782678775498543e-06,5.556
V0346,V0525,7,41,41,0.672,10.41,2.795333058746992e-06,5.554
V0339,V0526,5,22,28,0.246,20.292,2.800343769886349e-06,5.553
V0024,V0051,8,47,51,0.959,8.344,2.922924752004832e-06,5.534
V0145,V0458,5,18,35,0.252,19.841,3.010343875911607e-06,5.521
V0395,V0529,5,26,24,0.25,20.032,3.0170973301468596e-06,5.52
V0164,V0395,5,24,26,0.25,20.032,3.0170973301468596e-06,5.52
V0395,V0475,5,26,24,0.25,20.032,3.0170973301468596e-06,5.52
V0112,V0217,4,15,19,0.114,35.088,3.0900989164871186e-06,5.51
V0320,V0445,5,40,16,0.256,19.531,3.115714818830927e-06,5.506
V0063,V0365,5,30,21,0.252,19.841,3.12814104455497e-06,5.505
V0200,V0240,5,30,21,0.252,19.841,3.12814104455497e-06,5.505
V0200,V0234,5,30,21,0.252,19.841,3.12814104455497e-06,5.505
V0233,V0456,4,16,18,0.115,34.722,3.249603575743451e-06,5.488
V0115,V0145,4,16,18,0.115,34.722,3.249603575743451e-06,5.488
V0104,V0264,4,16,18,0.115,34.722,3.249603575743451e-06,5.488
V0039,V0207,5,56,12,0.269,18.601,3.3096423241584047e-06,5.48
V0224,V0525,7,42,41,0.689,10.163,3.314158671933434e-06,5.48
V0195,V0276,7,42,41,0.689,10.163,3.314158671933434e-06,5.48
V0335,V0441,5,38,17,0.258,19.35,3.3547171048260986e-06,5.474
