vendor_id,legal_name,name,vendor_type,region,headquarters_region,primary_category,secondary_category,specialization,registration_date
V0070,Jupiter Solutions 070,Jupiter Solutions 070,PROPRIETORSHIP,KA-BENGALURU,KA-BENGALURU,LAB_EQUIPMENT,IT_SERVICES,0.98,2017-08-24
V0071,Kaveri Solutions 071,Kaveri Solutions 071,PROPRIETORSHIP,KA-BENGALURU,KA-BENGALURU,ELECTRICAL_EQUIPMENT,CIVIL_MAINTENANCE,0.774,2012-11-06
V0072,Lotus Solutions 072,Lotus Solutions 072,PROPRIETORSHIP,KA-NORTH,KA-NORTH,LAB_EQUIPMENT,MEDICAL_SUPPLIES,0.99,2013-06-24
V0073,Metro Solutions 073,Metro Solutions 073,COMPANY,AP-SOUTH,AP-SOUTH,FURNITURE,BUILDING_CONSTRUCTION,0.847,2021-03-11
V0074,National Solutions 074,National Solutions 074,COMPANY,KA-BENGALURU,KA-BENGALURU,ROAD_CONSTRUCTION,WATER_INFRASTRUCTURE,0.567,2022-09-18
V0075,Omega Solutions 075,Omega Solutions 075,COMPANY,KA-SOUTH,KA-SOUTH,ROAD_CONSTRUCTION,WATER_INFRASTRUCTURE,0.595,2022-07-14
V0076,Prime Solutions 076,Prime Solutions 076,COMPANY,KA-SOUTH,KA-SOUTH,BUILDING_CONSTRUCTION,ELECTRICAL_EQUIPMENT,0.711,2020-04-11
V0077,Quantum Solutions 077,Quantum Solutions 077,PROPRIETORSHIP,KA-SOUTH,KA-SOUTH,MEDICAL_SUPPLIES,LAB_EQUIPMENT,0.827,2024-03-29
V0078,Raven Solutions 078,Raven Solutions 078,PARTNERSHIP,KA-SOUTH,KA-SOUTH,ROAD_CONSTRUCTION,WATER_INFRASTRUCTURE,0.712,2019-04-29
V0079,Summit Solutions 079,Summit Solutions 079,PARTNERSHIP,KA-SOUTH,KA-SOUTH,ELECTRICAL_EQUIPMENT,IT_SERVICES,0.825,2015-02-02
V0080,Vertex Solutions 080,Vertex Solutions 080,PARTNERSHIP,KA-BENGALURU,KA-BENGALURU,ELECTRICAL_EQUIPMENT,CIVIL_MAINTENANCE,0.884,2012-09-18
V0081,Apex Industries 081,Apex Industries 081,PROPRIETORSHIP,KA-NORTH,KA-NORTH,ROAD_CONSTRUCTION,CIVIL_MAINTENANCE,0.661,2018-05-06
V0082,Bharat Industries 082,Bharat Industries 082,COMPANY,KA-BENGALURU,KA-BENGALURU,FURNITURE,BUILDING_CONSTRUCTION,0.632,2016-03-21
V0083,Crest Industries 083,Crest Industries 083,COMPANY,KA-SOUTH,KA-SOUTH,MEDICAL_SUPPLIES,LAB_EQUIPMENT,0.962,2021-06-21
V0084,Delta Industries 084,Delta Industries 084,PROPRIETORSHIP,KA-BENGALURU,KA-BENGALURU,BUILDING_CONSTRUCTION,CIVIL_MAINTENANCE,0.613,2012-03-18
V0085,Eastern Industries 085,Eastern Industries 085,COMPANY,KA-SOUTH,KA-SOUTH,LAB_EQUIPMENT,IT_SERVICES,0.909,2019-10-23
V0086,Frontier Industries 086,Frontier Industries 086,PROPRIETORSHIP,KA-NORTH,KA-NORTH,IT_SERVICES,LAB_EQUIPMENT,0.858,2014-01-02
V0087,Galaxy Industries 087,Galaxy Industries 087,COMPANY,KA-SOUTH,KA-SOUTH,IT_SERVICES,LAB_EQUIPMENT,0.8,2024-12-18
V0088,Horizon Industries 088,Horizon Industries 088,COMPANY,KA-BENGALURU,KA-BENGALURU,WATER_INFRASTRUCTURE,CIVIL_MAINTENANCE,0.884,2024-05-27
V0089,Indus Industries 089,Indus Industries 089,COMPANY,TN-NORTH,TN-NORTH,ROAD_CONSTRUCTION,CIVIL_MAINTENANCE,0.66,2017-07-29
V0090,Jupiter Industries 090,Jupiter Industries 090,PARTNERSHIP,AP-SOUTH,AP-SOUTH,MEDICAL_SUPPLIES,LAB_EQUIPMENT,0.846,2018-07-03
V0091,Kaveri Industries 091,Kaveri Industries 091,COMPANY,KA-SOUTH,KA-SOUTH,ROAD_CONSTRUCTION,WATER_INFRASTRUCTURE,0.7,2019-01-01
V0092,Lotus Industries 092,Lotus Industries 092,PROPRIETORSHIP,KA-SOUTH,KA-SOUTH,FURNITURE,BUILDING_CONSTRUCTION,0.566,2014-07-29
V0093,Metro Industries 093,Metro Industries 093,PARTNERSHIP,TN-NORTH,TN-NORTH,FURNITURE,BUILDING_CONSTRUCTION,0.813,2022-12-07
V0094,National Industries 094,National Industries 094,COMPANY,KA-NORTH,KA-NORTH,ROAD_CONSTRUCTION,CIVIL_MAINTENANCE,0.643,2012-09-05
V0095,Omega Industries 095,Omega Industries 095,COMPANY,TN-NORTH,TN-NORTH,ROAD_CONSTRUCTION,CIVIL_MAINTENANCE,0.617,2016-02-29
V0096,Prime Industries 096,Prime Industries 096,COMPANY,AP-SOUTH,AP-SOUTH,MEDICAL_SUPPLIES,LAB_EQUIPMENT,0.722,2017-11-03
V0097,Quantum Industries 097,Quantum Industries 097,PARTNERSHIP,TN-NORTH,TN-NORTH,BUILDING_CONSTRUCTION,CIVIL_MAINTENANCE,0.691,2018-05-08
V0098,Raven Industries 098,Raven Industries 098,COMPANY,KA-BENGALURU,KA-BENGALURU,IT_SERVICES,ELECTRICAL_EQUIPMENT,0.758,2014-01-24
V0099,Summit Industries 099,Summit Industries 099,COMPANY,KA-NORTH,KA-NORTH,ROAD_CONSTRUCTION,CIVIL_MAINTENANCE,0.633,2023-05-18
V0100,Vertex Industries 100,Vertex Industries 100,COMPANY,KA-BENGALURU,KA-BENGALURU,ROAD_CONSTRUCTION,WATER_INFRASTRUCTURE,0.691,2023-10-20
V0101,Apex Systems 101,Apex Systems 101,COMPANY,KA-CENTRAL,KA-CENTRAL,IT_SERVICES,LAB_EQUIPMENT,0.752,2021-11-08
V0102,Bharat Systems 102,Bharat Systems 102,COMPANY,KA-SOUTH,KA-SOUTH,ELECTRICAL_EQUIPMENT,CIVIL_MAINTENANCE,0.637,2019-04-30
V0103,Crest Systems 103,Crest Systems 103,COMPANY,KA-SOUTH,KA-SOUTH,BUILDING_CONSTRUCTION,ELECTRICAL_EQUIPMENT,0.649,2021-04-01
V0104,Delta Systems 104,Delta Systems 104,COMPANY,KA-SOUTH,KA-SOUTH,MEDICAL_SUPPLIES,LAB_EQUIPMENT,0.688,2024-06-06
V0105,Eastern Systems 105,Eastern Systems 105,COMPANY,KA-CENTRAL,KA-CENTRAL,ELECTRICAL_EQUIPMENT,IT_SERVICES,0.689,2021-02-17
V0106,Frontier Systems 106,Frontier Systems 106,COMPANY,TN-NORTH,TN-NORTH,MEDICAL_SUPPLIES,LAB_EQUIPMENT,0.738,2012-12-26
V0107,Galaxy Systems 107,Galaxy Systems 107,COMPANY,KA-NORTH,KA-NORTH,BUILDING_CONSTRUCTION,CIVIL_MAINTENANCE,0.653,2014-06-06
V0108,Horizon Systems 108,Horizon Systems 108,COMPANY,KA-BENGALURU,KA-BENGALURU,IT_SERVICES,ELECTRICAL_EQUIPMENT,0.698,2017-10-24
V0109,Indus Systems 109,Indus Systems 109,PARTNERSHIP,KA-BENGALURU,KA-BENGALURU,WATER_INFRASTRUCTURE,CIVIL_MAINTENANCE,0.646,2016-06-22
V0110,Jupiter Systems 110,Jupiter Systems 110,COMPANY,KA-BENGALURU,KA-BENGALURU,CIVIL_MAINTENANCE,ROAD_CONSTRUCTION,0.691,2018-11-24
V0111,Kaveri Systems 111,Kaveri Systems 111,PARTNERSHIP,KA-BENGALURU,KA-BENGALURU,ELECTRICAL_EQUIPMENT,CIVIL_MAINTENANCE,0.677,2024-01-21
V0112,Lotus Systems 112,Lotus Systems 112,COMPANY,KA-SOUTH,KA-SOUTH,VEHICLE_SUPPLIES,CIVIL_MAINTENANCE,0.746,2020-03-21
V0113,Metro Systems 113,Metro Systems 113,COMPANY,KA-NORTH,KA-NORTH,LAB_EQUIPMENT,IT_SERVICES,0.99,2016-07-02
V0114,National Systems 114,National Systems 114,PARTNERSHIP,KA-BENGALURU,KA-BENGALURU,WATER_INFRASTRUCTURE,ROAD_CONSTRUCTION,0.709,2021-02-14
V0115,Omega Systems 115,Omega Systems 115,PROPRIETORSHIP,KA-NORTH,KA-NORTH,VEHICLE_SUPPLIES,CIVIL_MAINTENANCE,0.757,2016-09-11
V0116,Prime Systems 116,Prime Systems 116,COMPANY,KA-SOUTH,KA-SOUTH,ROAD_CONSTRUCTION,CIVIL_MAINTENANCE,0.572,2018-09-13
V0117,Quantum Systems 117,Quantum Systems 117,COMPANY,KA-NORTH,KA-NORTH,BUILDING_CONSTRUCTION,CIVIL_MAINTENANCE,0.693,2024-04-04
V0118,Raven Systems 118,Raven Systems 118,COMPANY,AP-SOUTH,AP-SOUTH,CIVIL_MAINTENANCE,ROAD_CONSTRUCTION,0.632,2013-08-04
V0119,Summit Systems 119,Summit Systems 119,COMPANY,KA-SOUTH,KA-SOUTH,LAB_EQUIPMENT,MEDICAL_SUPPLIES,0.99,2024-11-03
V0120,Vertex Systems 120,Vertex Systems 120,PARTNERSHIP,KA-CENTRAL,KA-CENTRAL,ROAD_CONSTRUCTION,WATER_INFRASTRUCTURE,0.737,2022-06-24
V0121,Apex Projects 121,Apex Projects 121,PROPRIETORSHIP,KA-NORTH,KA-NORTH,ROAD_CONSTRUCTION,CIVIL_MAINTENANCE,0.782,2022-01-06
V0122,Bharat Projects 122,Bharat Projects 122,COMPANY,TN-NORTH,TN-NORTH,FURNITURE,BUILDING_CONSTRUCTION,0.687,2013-01-08
V0123,Crest Projects 123,Crest Projects 123,COMPANY,KA-NORTH,KA-NORTH,FURNITURE,BUILDING_CONSTRUCTION,0.735,2015-01-12
V0124,Delta Projects 124,Delta Projects 124,COMPANY,TN-NORTH,TN-NORTH,IT_SERVICES,ELECTRICAL_EQUIPMENT,0.602,2017-08-30
V0125,Eastern Projects 125,Eastern Projects 125,COMPANY,TN-NORTH,TN-NORTH,CIVIL_MAINTENANCE,ROAD_CONSTRUCTION,0.761,2016-07-10
V0126,Frontier Projects 126,Frontier Projects 126,COMPANY,AP-SOUTH,AP-SOUTH,WATER_INFRASTRUCTURE,CIVIL_MAINTENANCE,0.77,2014-12-02
V0127,Galaxy Projects 127,Galaxy Projects 127,COMPANY,KA-NORTH,KA-NORTH,FURNITURE,BUILDING_CONSTRUCTION,0.752,2021-06-04
V0128,Horizon Projects 128,Horizon Projects 128,COMPANY,TN-NORTH,TN-NORTH,CIVIL_MAINTENANCE,ROAD_CONSTRUCTION,0.616,2024-03-04
V0129,Indus Projects 129,Indus Projects 129,PARTNERSHIP,KA-SOUTH,KA-SOUTH,ELECTRICAL_EQUIPMENT,IT_SERVICES,0.885,2019-11-03
V0130,Jupiter Projects 130,Jupiter Projects 130,COMPANY,AP-SOUTH,AP-SOUTH,CIVIL_MAINTENANCE,ROAD_CONSTRUCTION,0.77,2020-08-01
V0131,Kaveri Projects 131,Kaveri Projects 131,COMPANY,KA-NORTH,KA-NORTH,CIVIL_MAINTENANCE,BUILDING_CONSTRUCTION,0.588,2017-10-10
V0132,Lotus Projects 132,Lotus Projects 132,PARTNERSHIP,KA-CENTRAL,KA-CENTRAL,FURNITURE,BUILDING_CONSTRUCTION,0.744,2018-06-30
V0133,Metro Projects 133,Metro Projects 133,COMPANY,KA-NORTH,KA-NORTH,WATER_INFRASTRUCTURE,ROAD_CONSTRUCTION,0.71,2020-09-05
V0134,National Projects 134,National Projects 134,COMPANY,KA-BENGALURU,KA-BENGALURU,IT_SERVICES,LAB_EQUIPMENT,0.816,2016-04-09
V0135,Omega Projects 135,Omega Projects 135,PROPRIETORSHIP,KA-NORTH,KA-NORTH,CIVIL_MAINTENANCE,BUILDING_CONSTRUCTION,0.662,2012-12-11
V0136,Prime Projects 136,Prime Projects 136,COMPANY,KA-NORTH,KA-NORTH,MEDICAL_SUPPLIES,LAB_EQUIPMENT,0.786,2013-09-08
V0137,Quantum Projects 137,Quantum Projects 137,COMPANY,KA-BENGALURU,KA-BENGALURU,CIVIL_MAINTENANCE,ROAD_CONSTRUCTION,0.719,2019-12-01
V0138,Raven Projects 138,Raven Projects 138,COMPANY,KA-SOUTH,KA-SOUTH,BUILDING_CONSTRUCTION,ELECTRICAL_EQUIPMENT,0.685,2023-02-17
V0139,Summit Projects 139,Summit Projects 139,COMPANY,KA-SOUTH,KA-SOUTH,ELECTRICAL_EQUIPMENT,IT_SERVICES,0.711,2016-05-08
V0140,Vertex Projects 140,Vertex Projects 140,PARTNERSHIP,KA-BENGALURU,KA-BENGALURU,IT_SERVICES,LAB_EQUIPMENT,0.795,2018-08-16
V0141,Apex Services 141,Apex Services 141,PARTNERSHIP,KA-NORTH,KA-NORTH,LAB_EQUIPMENT,MEDICAL_SUPPLIES,0.853,2024-07-05
V0142,Bharat Services 142,Bharat Services 142,PROPRIETORSHIP,KA-BENGALURU,KA-BENGALURU,VEHICLE_SUPPLIES,CIVIL_MAINTENANCE,0.804,2024-06-12
V0143,Crest Services 143,Crest Services 143,COMPANY,KA-BENGALURU,KA-BENGALURU,WATER_INFRASTRUCTURE,CIVIL_MAINTENANCE,0.709,2021-01-13
V0144,Delta Services 144,Delta Services 144,COMPANY,KA-CENTRAL,KA-CENTRAL,LAB_EQUIPMENT,IT_SERVICES,0.99,2017-05-07
V0145,Eastern Services 145,Eastern Services 145,COMPANY,KA-NORTH,KA-NORTH,VEHICLE_SUPPLIES,CIVIL_MAINTENANCE,0.595,2016-04-19
V0146,Frontier Services 146,Frontier Services 146,PROPRIETORSHIP,KA-BENGALURU,KA-BENGALURU,IT_SERVICES,LAB_EQUIPMENT,0.928,2023-03-16
V0147,Galaxy Services 147,Galaxy Services 147,PARTNERSHIP,AP-SOUTH,AP-SOUTH,MEDICAL_SUPPLIES,LAB_EQUIPMENT,0.889,2017-09-28
V0148,Horizon Services 148,Horizon Services 148,COMPANY,KA-BENGALURU,KA-BENGALURU,MEDICAL_SUPPLIES,LAB_EQUIPMENT,0.953,2012-06-19
V0149,Indus Services 149,Indus Services 149,COMPANY,AP-SOUTH,AP-SOUTH,MEDICAL_SUPPLIES,LAB_EQUIPMENT,0.846,2018-04-21
V0150,Jupiter Services 150,Jupiter Services 150,COMPANY,AP-SOUTH,AP-SOUTH,BUILDING_CONSTRUCTION,CIVIL_MAINTENANCE,0.766,2013-12-11
V0151,Kaveri Services 151,Kaveri Services 151,COMPANY,KA-BENGALURU,KA-BENGALURU,FURNITURE,BUILDING_CONSTRUCTION,0.552,2022-04-07
V0152,Lotus Services 152,Lotus Services 152,COMPANY,KA-CENTRAL,KA-CENTRAL,IT_SERVICES,LAB_EQUIPMENT,0.783,2018-01-28
V0153,Metro Services 153,Metro Services 153,PROPRIETORSHIP,KA-NORTH,KA-NORTH,WATER_INFRASTRUCTURE,ROAD_CONSTRUCTION,0.764,2013-07-22
V0154,National Services 154,National Services 154,PROPRIETORSHIP,KA-NORTH,KA-NORTH,BUILDING_CONSTRUCTION,CIVIL_MAINTENANCE,0.628,2014-03-17
