vendor_id,investigation_priority,evidence_family_count,evidence_families,weighted_evidence_strength,strongest_family_strength,convergence_strength,evidence_diversity,persistence_strength,context_factor,minimum_family_context,core_evidence_families,supporting_evidence_families,core_evidence_strength,supporting_evidence_strength,evidence_count,risk_components,explanations
V0035,14.181037519102983,2,"cooccurrence,temporal",0.208465,0.229692,0.223224,0.68,0.57537,0.35,0.188241,,,0.229692,0.0,5,"{'cooccurrence': 0.2297, 'temporal': 0.1835}",[cooccurrence] conditional co-bidding 2.42x expected; persistence=0.80 | [temporal] vendor behavioral regime shift; procurement relevance=0.29; persistence=0.31
V0038,16.94459548425219,1,economic,0.19703,0.19703,0.19703,0.35,0.0,1.0,1.0,,,0.19703,0.0,1,{'economic': 0.197},[economic] unusually compressed bid dispersion; compression=1.44; bids=7
V0039,18.984504151594138,2,"cooccurrence,economic",0.226606,0.249994,0.243273,0.68,0.410256,0.596322,0.192644,,,0.249994,0.0,13,"{'cooccurrence': 0.25, 'economic': 0.202}",[cooccurrence] conditional co-bidding 3.86x expected; persistence=0.73 | [economic] unusually compressed bid dispersion; compression=1.24; bids=10
V0040,17.78100218869896,3,"cooccurrence,economic,temporal",0.177577,0.239374,0.220964,0.86,0.368262,0.451914,0.160259,,,0.239374,0.0,5,"{'cooccurrence': 0.2394, 'economic': 0.1857, 'temporal': 0.0958}",[cooccurrence] conditional co-bidding 3.20x expected; persistence=0.77 | [economic] unusually compressed bid dispersion; compression=1.35; bids=6 | [temporal] vendor behavioral regime shift; procurement relevance=0.16; persistence=0.31
V0041,21.92830303086892,3,"cooccurrence,economic,temporal",0.201825,0.295722,0.26795,0.86,0.403832,0.458848,0.125483,network,,0.295722,0.0,18,"{'cooccurrence': 0.2957, 'economic': 0.1959, 'temporal': 0.098}",[cooccurrence] conditional co-bidding 1.32x expected; persistence=1.00 | [economic] unusually compressed bid dispersion; compression=1.70; bids=5 | [temporal] vendor behavioral regime shift; procurement relevance=0.13; persistence=0.15
V0042,35.28601610736447,2,"cooccurrence,economic",0.346169,0.456899,0.425079,0.68,0.512821,0.64431,0.28862,network,,0.456899,0.0,11,"{'cooccurrence': 0.4569, 'economic': 0.2296}",[cooccurrence] conditional co-bidding 4.22x expected; persistence=1.00 | [economic] unusually compressed bid dispersion; compression=1.29; bids=8
V0043,29.486566113425294,3,"cooccurrence,economic,temporal",0.261164,0.456038,0.424304,0.86,0.377391,0.421527,0.01468,network,,0.456038,0.0,16,"{'cooccurrence': 0.456, 'economic': 0.2294, 'temporal': 0.0674}",[cooccurrence] conditional co-bidding 4.22x expected; persistence=1.00 | [economic] unusually compressed bid dispersion; compression=1.29; bids=8 | [temporal] vendor behavioral regime shift; procurement relevance=0.01; persistence=0.07
V0044,16.24747628034543,2,"cooccurrence,economic",0.203424,0.21163,0.209272,0.68,0.376051,0.601691,0.203381,,,0.21163,0.0,2,"{'cooccurrence': 0.2116, 'economic': 0.1948}",[cooccurrence] conditional co-bidding 3.14x expected; persistence=0.73 | [economic] unusually compressed bid dispersion; compression=1.42; bids=7
V0045,16.95242576559886,1,geographic,0.32213,0.32213,0.0,0.35,0.0,1.0,1.0,,geographic,0.0,0.32213,1,{'geographic': 0.3221},[geographic] winning geography differs from participation geography by 0.44
V0046,17.472165813611035,2,"cooccurrence,geographic",0.322857,0.503415,0.214523,0.68,0.458312,0.5952,0.1904,,geographic,0.214523,0.503415,3,"{'cooccurrence': 0.2145, 'geographic': 0.5034}",[geographic] winning geography differs from participation geography by 0.60 | [cooccurrence] conditional co-bidding 2.30x expected; persistence=0.73
V0047,21.377185467393296,2,"cooccurrence,economic",0.237645,0.284981,0.271378,0.68,0.444462,0.592189,0.184378,network,,0.284981,0.0,16,"{'cooccurrence': 0.285, 'economic': 0.1878}",[cooccurrence] conditional co-bidding 6.86x expected; persistence=0.73 | [economic] unusually compressed bid dispersion; compression=0.88; bids=8
V0049,11.15566216616645,2,"cooccurrence,temporal",0.159384,0.181388,0.174683,0.68,0.45227,0.35,0.187687,,,0.181388,0.0,2,"{'cooccurrence': 0.1814, 'temporal': 0.1335}",[cooccurrence] conditional co-bidding 2.14x expected; persistence=0.67 | [temporal] vendor behavioral regime shift; procurement relevance=0.26; persistence=0.20
V0050,26.81270949228553,2,"cooccurrence,economic",0.258039,0.347839,0.322033,0.68,0.512821,0.644499,0.288997,network,,0.347839,0.0,18,"{'cooccurrence': 0.3478, 'economic': 0.1635}",[cooccurrence] conditional co-bidding 1.26x expected; persistence=1.00 | [economic] unusually compressed bid dispersion; compression=1.56; bids=10
V0051,28.358452939736594,2,"cooccurrence,economic",0.28256,0.365695,0.341805,0.68,0.393179,0.647297,0.294595,network,,0.365695,0.0,10,"{'cooccurrence': 0.3657, 'economic': 0.195}",[cooccurrence] conditional co-bidding 5.39x expected; persistence=0.77 | [economic] unusually compressed bid dispersion; compression=1.45; bids=5
V0052,28.528657273791435,3,"cooccurrence,economic,temporal",0.240196,0.372439,0.333706,0.86,0.411446,0.503472,0.221947,network,,0.372439,0.0,16,"{'cooccurrence': 0.3724, 'economic': 0.1971, 'temporal': 0.1327}",[cooccurrence] conditional co-bidding 5.39x expected; persistence=0.77 | [economic] unusually compressed bid dispersion; compression=1.68; bids=4 | [temporal] vendor behavioral regime shift; procurement relevance=0.22; persistence=0.38
V0053,26.656863799526754,3,"cooccurrence,economic,temporal",0.222548,0.362809,0.321528,0.86,0.3735,0.458605,0.105415,network,,0.362809,0.0,13,"{'cooccurrence': 0.3628, 'economic': 0.195, 'temporal': 0.0883}",[cooccurrence] conditional co-bidding 5.05x expected; persistence=0.77 | [economic] unusually compressed bid dispersion; compression=1.45; bids=5 | [temporal] vendor behavioral regime shift; procurement relevance=0.11; persistence=0.25
V0054,17.879609758667886,3,"cooccurrence,economic,temporal",0.181731,0.265973,0.254541,0.86,0.322393,0.453037,0.160356,network,,0.265973,0.0,8,"{'cooccurrence': 0.266, 'economic': 0.1843, 'temporal': 0.0797}",[cooccurrence] conditional co-bidding 5.25x expected; persistence=0.73 | [economic] unusually compressed bid dispersion; compression=2.09; bids=4 | [temporal] vendor behavioral regime shift; procurement relevance=0.16; persistence=0.16
V0055,18.52504665132034,3,"cooccurrence,economic,temporal",0.18566,0.245118,0.227642,0.86,0.332716,0.469422,0.180097,,,0.245118,0.0,3,"{'cooccurrence': 0.2451, 'economic': 0.1719, 'temporal': 0.1311}",[cooccurrence] conditional co-bidding 5.40x expected; persistence=0.73 | [economic] unusually compressed bid dispersion; compression=1.53; bids=5 | [temporal] vendor behavioral regime shift; procurement relevance=0.18; persistence=0.23
V0056,13.253075533613085,1,cooccurrence,0.239853,0.239853,0.239853,0.35,0.7333,0.35,0.202224,,,0.239853,0.0,3,{'cooccurrence': 0.2399},[cooccurrence] conditional co-bidding 3.34x expected; persistence=0.73
V0057,15.983863237516616,2,"cooccurrence,economic",0.205311,0.20834,0.207513,0.68,0.393179,0.596667,0.193333,,,0.20834,0.0,2,"{'cooccurrence': 0.2024, 'economic': 0.2083}",[economic] unusually compressed bid dispersion; compression=2.43; bids=5 | [cooccurrence] conditional co-bidding 2.47x expected; persistence=0.77
V0058,14.05254295469747,2,"cooccurrence,temporal",0.174083,0.254322,0.254322,0.68,0.442324,0.35,0.035963,network,,0.254322,0.0,3,"{'cooccurrence': 0.2543, 'temporal': 0.0797}",[cooccurrence] conditional co-bidding 4.38x expected; persistence=0.73 | [temporal] vendor behavioral regime shift; procurement relevance=0.04; persistence=0.10
V0059,15.23626765684914,2,"cooccurrence,economic",0.197921,0.198029,0.198,0.68,0.358974,0.598259,0.196518,,,0.198029,0.0,3,"{'cooccurrence': 0.1978, 'economic': 0.198}",[economic] unusually compressed bid dispersion; compression=1.12; bids=5 | [cooccurrence] conditional co-bidding 2.67x expected; persistence=0.70
V0060,16.20202326693034,3,"cooccurrence,economic,temporal",0.178992,0.219845,0.207376,0.86,0.343218,0.432243,0.117014,,,0.219845,0.0,8,"{'cooccurrence': 0.2143, 'economic': 0.2198, 'temporal': 0.0918}",[economic] unusually compressed bid dispersion; compression=1.24; bids=10 | [cooccurrence] conditional co-bidding 2.06x expected; persistence=0.77 | [temporal] vendor behavioral regime shift; procurement relevance=0.12; persistence=0.23
V0061,19.594359937197183,2,"cooccurrence,economic",0.226897,0.259131,0.249868,0.68,0.444462,0.595798,0.191596,network,,0.259131,0.0,13,"{'cooccurrence': 0.2591, 'economic': 0.193}",[cooccurrence] conditional co-bidding 1.93x expected; persistence=0.83 | [economic] unusually compressed bid dispersion; compression=1.35; bids=6
V0062,12.588556616347777,2,"cooccurrence,temporal",0.158705,0.227827,0.227827,0.68,0.568741,0.35,0.114746,,,0.227827,0.0,16,"{'cooccurrence': 0.2278, 'temporal': 0.0774}",[cooccurrence] conditional co-bidding 1.66x expected; persistence=0.87 | [temporal] vendor behavioral regime shift; procurement relevance=0.11; persistence=0.22
V0063,17.931934086818096,3,"cooccurrence,economic,temporal",0.184356,0.235937,0.220867,0.86,0.406893,0.47221,0.179671,,,0.235937,0.0,14,"{'cooccurrence': 0.2359, 'economic': 0.1641, 'temporal': 0.1463}",[cooccurrence] conditional co-bidding 2.55x expected; persistence=0.83 | [economic] unusually compressed bid dispersion; compression=1.42; bids=5 | [temporal] vendor behavioral regime shift; procurement relevance=0.24; persistence=0.36
V0064,13.893899979202832,1,cooccurrence,0.251451,0.251451,0.251451,0.35,0.8333,0.35,0.196659,network,,0.251451,0.0,5,{'cooccurrence': 0.2515},[cooccurrence] conditional co-bidding 4.20x expected; persistence=0.73
V0065,16.343650812508987,2,"cooccurrence,temporal",0.200425,0.270755,0.249325,0.68,0.544724,0.35,0.224529,network,,0.270755,0.0,4,"{'cooccurrence': 0.2708, 'temporal': 0.1177}",[cooccurrence] conditional co-bidding 5.62x expected; persistence=0.70 | [temporal] vendor behavioral regime shift; procurement relevance=0.25; persistence=0.24
V0066,21.74155602549698,2,"cooccurrence,economic",0.22837,0.286649,0.269901,0.68,0.478615,0.613142,0.226284,network,,0.286649,0.0,14,"{'cooccurrence': 0.2866, 'economic': 0.167}",[cooccurrence] conditional co-bidding 1.85x expected; persistence=0.93 | [economic] unusually compressed bid dispersion; compression=0.73; bids=9
V0067,14.670417782959689,2,"economic,temporal",0.170468,0.190524,0.184578,0.68,0.078719,0.617298,0.234596,,,0.190524,0.0,2,"{'economic': 0.1905, 'temporal': 0.1481}",[economic] unusually compressed bid dispersion; compression=1.26; bids=8 | [temporal] vendor behavioral regime shift; procurement relevance=0.23; persistence=0.17
V0069,15.092016366945538,3,"cooccurrence,economic,temporal",0.160233,0.210645,0.195538,0.86,0.312498,0.407581,0.020086,,,0.210645,0.0,3,"{'cooccurrence': 0.2106, 'economic': 0.1749, 'temporal': 0.0845}",[cooccurrence] conditional co-bidding 3.09x expected; persistence=0.73 | [economic] unusually compressed bid dispersion; compression=1.07; bids=9 | [temporal] vendor behavioral regime shift; procurement relevance=0.02; persistence=0.17
V0071,35.94342683694596,2,"cooccurrence,economic",0.336348,0.429503,0.402734,0.68,0.512821,0.753902,0.507804,network,,0.429503,0.0,5,"{'cooccurrence': 0.4295, 'economic': 0.2383}",[cooccurrence] conditional co-bidding 8.02x expected; persistence=1.00 | [economic] unusually compressed bid dispersion; compression=1.52; bids=10
V0072,31.831607757069996,3,"cooccurrence,economic,temporal",0.262832,0.41252,0.368388,0.86,0.409175,0.514186,0.19811,network,,0.41252,0.0,12,"{'cooccurrence': 0.4125, 'economic': 0.2404, 'temporal': 0.1118}",[cooccurrence] conditional co-bidding 6.24x expected; persistence=1.00 | [economic] unusually compressed bid dispersion; compression=1.52; bids=10 | [temporal] vendor behavioral regime shift; procurement relevance=0.20; persistence=0.17
V0073,32.15466088815486,3,"cooccurrence,economic,temporal",0.27559,0.417622,0.375923,0.86,0.450552,0.507492,0.155694,network,,0.417622,0.0,10,"{'cooccurrence': 0.4176, 'economic': 0.2383, 'temporal': 0.1502}",[cooccurrence] conditional co-bidding 6.59x expected; persistence=1.00 | [economic] unusually compressed bid dispersion; compression=1.52; bids=10 | [temporal] vendor behavioral regime shift; procurement relevance=0.16; persistence=0.31
V0074,30.67731800665094,3,"cooccurrence,economic,temporal",0.256402,0.429552,0.402776,0.86,0.417857,0.537214,0.097734,network,,0.429552,0.0,6,"{'cooccurrence': 0.4296, 'economic': 0.2383, 'temporal': 0.0729}",[cooccurrence] conditional co-bidding 8.02x expected; persistence=1.00 | [economic] unusually compressed bid dispersion; compression=1.52; bids=10 | [temporal] vendor behavioral regime shift; procurement relevance=0.10; persistence=0.20
V0076,19.026010682211734,3,"cooccurrence,geographic,temporal",0.232001,0.393469,0.215188,0.86,0.346429,0.453366,0.167712,,geographic,0.23077,0.393469,6,"{'cooccurrence': 0.2308, 'geographic': 0.3935, 'temporal': 0.1195}",[geographic] winning geography differs from participation geography by 0.50 | [cooccurrence] conditional co-bidding 3.16x expected; persistence=0.70 | [temporal] vendor behavioral regime shift; procurement relevance=0.17; persistence=0.17
V0077,18.926691366383327,2,"cooccurrence,economic",0.233396,0.246507,0.242739,0.68,0.358974,0.604191,0.208382,,,0.246507,0.0,4,"{'cooccurrence': 0.2465, 'economic': 0.2196}",[cooccurrence] conditional co-bidding 4.30x expected; persistence=0.70 | [economic] unusually compressed bid dispersion; compression=1.85; bids=5
V0078,17.181069915968482,2,"cooccurrence,economic",0.222688,0.223832,0.223503,0.68,0.393179,0.595904,0.191808,,,0.223832,0.0,4,"{'cooccurrence': 0.2238, 'economic': 0.2215}",[cooccurrence] conditional co-bidding 3.00x expected; persistence=0.70 | [economic] unusually compressed bid dispersion; compression=0.97; bids=9
V0079,11.96646520551861,1,cooccurrence,0.216568,0.216568,0.216568,0.35,0.8,0.35,0.180563,,,0.216568,0.0,4,{'cooccurrence': 0.2166},[cooccurrence] conditional co-bidding 2.30x expected; persistence=0.73
V0080,20.26527657201077,2,"cooccurrence,economic",0.219109,0.267887,0.25387,0.68,0.444462,0.606045,0.21209,network,,0.267887,0.0,11,"{'cooccurrence': 0.2679, 'economic': 0.1678}",[cooccurrence] conditional co-bidding 4.69x expected; persistence=0.77 | [economic] unusually compressed bid dispersion; compression=1.12; bids=7
V0081,10.178005707849834,1,cooccurrence,0.184201,0.184201,0.184201,0.35,0.7333,0.35,0.183287,,,0.184201,0.0,1,{'cooccurrence': 0.1842},[cooccurrence] conditional co-bidding 1.91x expected; persistence=0.73
V0082,17.968345658855434,2,"cooccurrence,economic",0.219625,0.23638,0.231565,0.68,0.410256,0.593872,0.187744,,,0.23638,0.0,7,"{'cooccurrence': 0.2364, 'economic': 0.202}",[cooccurrence] conditional co-bidding 2.72x expected; persistence=0.80 | [economic] unusually compressed bid dispersion; compression=1.24; bids=10
V0083,11.777980370630676,1,cooccurrence,0.213157,0.213157,0.213157,0.35,0.7,0.35,0.207832,,,0.213157,0.0,1,{'cooccurrence': 0.2132},[cooccurrence] conditional co-bidding 3.48x expected; persistence=0.70
V0085,14.443952717841013,3,"cooccurrence,geographic,temporal",0.2066,0.393469,0.205832,0.86,0.335292,0.441415,0.121824,,geographic,0.205832,0.393469,3,"{'cooccurrence': 0.2058, 'geographic': 0.3935, 'temporal': 0.0756}",[geographic] winning geography differs from participation geography by 0.50 | [cooccurrence] conditional co-bidding 3.07x expected; persistence=0.70 | [temporal] vendor behavioral regime shift; procurement relevance=0.12; persistence=0.14
V0086,18.30713771136061,2,"cooccurrence,economic",0.212822,0.241412,0.233196,0.68,0.376051,0.598608,0.197216,,,0.241412,0.0,4,"{'cooccurrence': 0.2414, 'economic': 0.1827}",[cooccurrence] conditional co-bidding 3.87x expected; persistence=0.73 | [economic] unusually compressed bid dispersion; compression=1.33; bids=4
V0087,5.509893718218299,1,temporal,0.099718,0.099718,0.099718,0.35,0.225,0.35,0.069385,,,0.099718,0.0,1,{'temporal': 0.0997},[temporal] vendor behavioral regime shift; procurement relevance=0.07; persistence=0.23
V0088,19.09587168779657,2,"cooccurrence,economic",0.236571,0.249363,0.245687,0.68,0.427333,0.600404,0.200809,,,0.249363,0.0,6,"{'cooccurrence': 0.2494, 'economic': 0.2231}",[cooccurrence] conditional co-bidding 3.11x expected; persistence=0.83 | [economic] unusually compressed bid dispersion; compression=1.74; bids=7
V0090,22.82088500108483,3,"cooccurrence,economic,temporal",0.195662,0.314053,0.279311,0.86,0.304179,0.443928,0.105,network,,0.314053,0.0,6,"{'cooccurrence': 0.3141, 'economic': 0.1631, 'temporal': 0.0927}",[cooccurrence] conditional co-bidding 10.69x expected; persistence=0.73 | [economic] unusually compressed bid dispersion; compression=1.07; bids=7 | [temporal] vendor behavioral regime shift; procurement relevance=0.11; persistence=0.10
V0091,25.39809872093524,3,"cooccurrence,economic,temporal",0.23113,0.388217,0.362152,0.86,0.417857,0.433809,0.081251,network,,0.388217,0.0,34,"{'cooccurrence': 0.3882, 'economic': 0.202, 'temporal': 0.0788}",[cooccurrence] conditional co-bidding 4.89x expected; persistence=1.00 | [economic] unusually compressed bid dispersion; compression=1.06; bids=10 | [temporal] vendor behavioral regime shift; procurement relevance=0.08; persistence=0.20
V0092,13.519007225070546,1,cooccurrence,0.244666,0.244666,0.244666,0.35,0.7667,0.35,0.187058,,,0.244666,0.0,5,{'cooccurrence': 0.2447},[cooccurrence] conditional co-bidding 3.43x expected; persistence=0.77
