vendor_id,total_participation,regions_active,dominant_region,dominant_region_tenders,dominant_region_share,dominant_region_win_share
V0489,27,4,KA-CENTRAL,11,0.4074,0.0
V0082,32,5,KA-CENTRAL,13,0.4062,0.3
V0472,37,6,KA-SOUTH,15,0.4054,0.4444
V0474,10,5,KA-NORTH,4,0.4,1.0
V0374,15,5,KA-SOUTH,6,0.4,0.6667
V0112,15,4,KA-CENTRAL,6,0.4,0.6
V0478,30,4,KA-NORTH,12,0.4,0.6
V0057,15,4,KA-SOUTH,6,0.4,0.5
V0092,20,6,KA-CENTRAL,8,0.4,0.5
V0211,20,5,KA-CENTRAL,8,0.4,0.3333
V0189,10,3,KA-SOUTH,4,0.4,0.0
V0221,15,5,KA-NORTH,6,0.4,0.0
V0330,10,5,KA-CENTRAL,4,0.4,0.0
V0457,15,5,KA-CENTRAL,6,0.4,0.0
V0549,23,4,KA-SOUTH,9,0.3913,0.5
V0381,41,6,KA-SOUTH,16,0.3902,0.0
V0122,36,5,KA-CENTRAL,14,0.3889,0.75
V0539,18,4,KA-SOUTH,7,0.3889,0.5
V0487,18,4,KA-CENTRAL,7,0.3889,0.0
V0451,31,6,KA-CENTRAL,12,0.3871,0.4
V0364,31,6,KA-CENTRAL,12,0.3871,0.25
V0053,44,6,KA-NORTH,17,0.3864,0.3333
V0361,13,5,KA-CENTRAL,5,0.3846,1.0
V0324,13,6,KA-BENGALURU,5,0.3846,0.75
V0448,13,4,KA-NORTH,5,0.3846,0.6667
V0041,39,5,KA-CENTRAL,15,0.3846,0.4
V0316,13,5,KA-NORTH,5,0.3846,0.3333
V0246,13,6,KA-CENTRAL,5,0.3846,0.1667
V0106,13,4,KA-CENTRAL,5,0.3846,0.0
V0161,34,5,KA-SOUTH,13,0.3824,0.625
V0523,34,5,KA-BENGALURU,13,0.3824,0.6
V0228,34,6,KA-NORTH,13,0.3824,0.25
V0093,34,6,KA-CENTRAL,13,0.3824,0.2222
V0148,21,5,KA-BENGALURU,8,0.381,1.0
V0234,21,4,KA-CENTRAL,8,0.381,0.0
V0415,29,6,KA-CENTRAL,11,0.3793,0.2222
V0532,29,6,KA-CENTRAL,11,0.3793,0.1667
V0091,74,6,KA-SOUTH,28,0.3784,0.4444
V0098,16,5,KA-NORTH,6,0.375,1.0
V0397,24,5,KA-NORTH,9,0.375,0.6667
V0055,16,3,KA-CENTRAL,6,0.375,0.5
V0282,16,4,KA-CENTRAL,6,0.375,0.5
V0343,16,5,KA-BENGALURU,6,0.375,0.5
V0490,16,5,KA-BENGALURU,6,0.375,0.5
V0537,32,6,KA-CENTRAL,12,0.375,0.4
V0233,16,6,KA-NORTH,6,0.375,0.3333
V0325,8,4,KA-CENTRAL,3,0.375,0.3333
V0193,8,4,KA-SOUTH,3,0.375,0.0
V0311,8,5,KA-SOUTH,3,0.375,0.0
V0321,16,5,KA-BENGALURU,6,0.375,0.0
V0475,24,5,KA-NORTH,9,0.375,0.0
V0497,16,6,KA-NORTH,6,0.375,0.0
V0353,19,5,KA-CENTRAL,7,0.3684,0.25
V0427,19,3,KA-NORTH,7,0.3684,0.25
V0394,41,6,KA-SOUTH,15,0.3659,0.6
V0538,22,4,KA-CENTRAL,8,0.3636,0.4
V0536,22,4,KA-BENGALURU,8,0.3636,0.3333
V0192,22,5,KA-CENTRAL,8,0.3636,0.0
V0232,22,5,KA-SOUTH,8,0.3636,0.0
V0197,25,5,KA-CENTRAL,9,0.36,0.3333
V0119,64,6,KA-SOUTH,23,0.3594,0.2
V0471,14,5,KA-NORTH,5,0.3571,0.8
V0032,14,5,KA-SOUTH,5,0.3571,0.6
V0077,14,3,KA-SOUTH,5,0.3571,0.5
V0181,14,4,KA-BENGALURU,5,0.3571,0.5
V0550,14,5,KA-NORTH,5,0.3571,0.5
V0083,14,3,KA-SOUTH,5,0.3571,0.3333
V0267,17,5,KA-CENTRAL,6,0.3529,1.0
V0354,17,4,KA-BENGALURU,6,0.3529,1.0
V0241,34,4,KA-CENTRAL,12,0.3529,0.5
V0521,17,6,KA-NORTH,6,0.3529,0.4
V0327,51,6,KA-CENTRAL,18,0.3529,0.3636
V0020,85,6,KA-CENTRAL,30,0.3529,0.35
V0357,17,4,KA-NORTH,6,0.3529,0.0
V0334,20,6,KA-SOUTH,7,0.35,0.5
V0407,40,6,KA-CENTRAL,14,0.35,0.5
V0322,40,6,KA-CENTRAL,14,0.35,0.25
V0281,40,6,KA-NORTH,14,0.35,0.1667
V0254,43,6,KA-SOUTH,15,0.3488,0.1818
V0356,23,5,KA-SOUTH,8,0.3478,0.6667
V0065,26,6,KA-CENTRAL,9,0.3462,0.2857
V0150,26,6,KA-CENTRAL,9,0.3462,0.0
V0453,32,6,KA-SOUTH,11,0.3438,0.4545
V0059,32,5,KA-CENTRAL,11,0.3438,0.4
V0433,35,5,KA-NORTH,12,0.3429,0.6
V0310,35,5,KA-CENTRAL,12,0.3429,0.4
V0230,41,6,KA-NORTH,14,0.3415,0.3333
V0024,47,6,KA-CENTRAL,16,0.3404,0.3333
V0125,21,6,KA-NORTH,7,0.3333,1.0
V0029,33,5,AP-SOUTH,11,0.3333,0.6667
V0017,9,5,KA-CENTRAL,3,0.3333,0.5
V0018,12,4,KA-CENTRAL,4,0.3333,0.5
V0164,24,5,KA-BENGALURU,8,0.3333,0.5
V0459,21,5,KA-NORTH,7,0.3333,0.4286
V0130,27,5,KA-SOUTH,9,0.3333,0.4
V0409,18,6,KA-NORTH,6,0.3333,0.4
V0437,33,6,KA-NORTH,11,0.3333,0.3636
V0203,15,5,KA-CENTRAL,5,0.3333,0.3333
V0318,12,6,KA-CENTRAL,4,0.3333,0.3333
V0470,33,5,KA-CENTRAL,11,0.3333,0.3333
V0485,42,6,KA-CENTRAL,14,0.3333,0.3
V0355,69,6,KA-SOUTH,23,0.3333,0.2727
V0051,51,6,KA-NORTH,17,0.3333,0.2
V0520,12,5,KA-SOUTH,4,0.3333,0.2
V0266,24,6,KA-SOUTH,8,0.3333,0.0
V0393,15,5,KA-CENTRAL,5,0.3333,0.0
V0424,40,6,KA-CENTRAL,13,0.325,0.25
V0370,37,5,KA-BENGALURU,12,0.3243,0.2
V0533,37,5,KA-CENTRAL,12,0.3243,0.1111
V0319,34,6,KA-CENTRAL,11,0.3235,0.3333
V0403,34,6,KA-NORTH,11,0.3235,0.2
V0001,62,6,KA-CENTRAL,20,0.3226,0.3333
V0469,31,4,KA-CENTRAL,10,0.3226,0.2857
V0385,28,6,KA-NORTH,9,0.3214,0.3333
V0380,28,5,KA-CENTRAL,9,0.3214,0.25
V0038,25,5,KA-CENTRAL,8,0.32,0.25
V0373,22,5,TN-NORTH,7,0.3182,0.5
V0420,22,6,KA-NORTH,7,0.3182,0.5
V0217,19,5,KA-CENTRAL,6,0.3158,0.6667
V0185,19,5,KA-CENTRAL,6,0.3158,0.25
V0369,19,4,KA-CENTRAL,6,0.3158,0.0
V0473,19,5,KA-SOUTH,6,0.3158,0.0
V0401,16,5,KA-NORTH,5,0.3125,0.6667
V0089,16,6,KA-CENTRAL,5,0.3125,0.0
V0542,16,6,KA-CENTRAL,5,0.3125,0.0
V0544,16,5,KA-CENTRAL,5,0.3125,0.0
V0349,29,5,KA-NORTH,9,0.3103,0.5
V0391,29,6,KA-SOUTH,9,0.3103,0.0
V0295,55,6,KA-CENTRAL,17,0.3091,0.4444
V0484,26,5,KA-NORTH,8,0.3077,0.75
V0314,13,5,KA-CENTRAL,4,0.3077,0.5
V0143,13,5,KA-NORTH,4,0.3077,0.25
V0100,26,6,KA-CENTRAL,8,0.3077,0.0
V0503,13,5,KA-SOUTH,4,0.3077,0.0
V0042,49,6,KA-SOUTH,15,0.3061,0.25
V0019,23,5,KA-SOUTH,7,0.3043,1.0
V0052,46,5,KA-CENTRAL,14,0.3043,0.0
V0255,33,6,KA-SOUTH,10,0.303,0.5
V0531,43,6,KA-CENTRAL,13,0.3023,0.4444
V0010,96,6,KA-SOUTH,29,0.3021,0.1818
V0243,20,6,KA-NORTH,6,0.3,0.6667
V0328,20,5,KA-CENTRAL,6,0.3,0.5
V0307,50,5,KA-CENTRAL,15,0.3,0.1667
V0303,27,6,KA-CENTRAL,8,0.2963,0.4
V0422,27,5,KA-NORTH,8,0.2963,0.25
V0292,27,5,KA-NORTH,8,0.2963,0.0
V0097,17,5,KA-CENTRAL,5,0.2941,0.6667
V0056,17,6,KA-BENGALURU,5,0.2941,0.5
V0058,17,5,KA-CENTRAL,5,0.2941,0.5
V0044,34,6,KA-NORTH,10,0.2941,0.2857
V0512,34,6,KA-CENTRAL,10,0.2941,0.2857
V0070,17,5,AP-SOUTH,5,0.2941,0.0
V0486,17,5,KA-CENTRAL,5,0.2941,0.0
V0293,41,6,KA-NORTH,12,0.2927,0.2857
V0135,24,5,KA-NORTH,7,0.2917,0.0
V0166,31,6,KA-CENTRAL,9,0.2903,0.625
V0371,31,6,KA-CENTRAL,9,0.2903,0.375
V0114,31,5,KA-BENGALURU,9,0.2903,0.1667
V0404,38,6,KA-CENTRAL,11,0.2895,0.5714
V0291,38,6,KA-CENTRAL,11,0.2895,0.5
V0480,14,5,KA-CENTRAL,4,0.2857,1.0
V0140,14,4,KA-BENGALURU,4,0.2857,0.6667
V0074,28,6,KA-CENTRAL,8,0.2857,0.5
V0365,21,5,AP-SOUTH,6,0.2857,0.4
V0436,28,6,KA-SOUTH,8,0.2857,0.3333
V0317,35,6,KA-NORTH,10,0.2857,0.2857
V0162,35,6,KA-SOUTH,10,0.2857,0.25
V0540,21,5,KA-BENGALURU,6,0.2857,0.25
V0460,42,6,KA-NORTH,12,0.2857,0.2
V0090,21,4,KA-SOUTH,6,0.2857,0.0
V0110,14,5,KA-SOUTH,4,0.2857,0.0
V0543,14,5,KA-NORTH,4,0.2857,0.0
V0080,39,6,KA-NORTH,11,0.2821,0.3
V0342,39,6,KA-NORTH,11,0.2821,0.0
V0405,25,6,KA-SOUTH,7,0.28,0.5
V0208,25,5,KA-CENTRAL,7,0.28,0.0
V0511,18,5,KA-NORTH,5,0.2778,0.25
V0030,18,4,KA-NORTH,5,0.2778,0.0
V0179,29,5,KA-NORTH,8,0.2759,0.3333
V0142,29,6,KA-CENTRAL,8,0.2759,0.1429
V0011,40,6,KA-CENTRAL,11,0.275,0.3333
V0073,44,6,KA-SOUTH,12,0.2727,0.5
V0392,33,5,KA-CENTRAL,9,0.2727,0.5
V0147,11,5,KA-NORTH,3,0.2727,0.3333
V0235,11,5,KA-CENTRAL,3,0.2727,0.3333
V0464,33,6,KA-CENTRAL,9,0.2727,0.2222
V0026,44,6,KA-CENTRAL,12,0.2727,0.1667
V0050,55,6,KA-NORTH,15,0.2727,0.125
V0002,22,6,KA-BENGALURU,6,0.2727,0.0
V0362,26,6,KA-NORTH,7,0.2692,0.5
V0410,30,6,KA-NORTH,8,0.2667,0.6667
V0126,30,6,KA-CENTRAL,8,0.2667,0.5714
V0069,15,5,KA-NORTH,4,0.2667,0.5
V0366,30,6,KA-BENGALURU,8,0.2667,0.5
V0350,15,5,KA-CENTRAL,4,0.2667,0.4
V0527,15,6,KA-NORTH,4,0.2667,0.0
V0088,38,6,KA-NORTH,10,0.2632,0.4286
V0146,19,5,KA-NORTH,5,0.2632,0.25
V0439,19,5,KA-SOUTH,5,0.2632,0.2
V0199,27,6,KA-SOUTH,7,0.2593,0.0
V0007,39,6,KA-BENGALURU,10,0.2564,0.2857
V0071,47,6,KA-NORTH,12,0.2553,0.4
V0507,16,6,KA-BENGALURU,4,0.25,0.6667
V0461,16,4,KA-CENTRAL,4,0.25,0.4
V0541,20,5,KA-CENTRAL,5,0.25,0.3333
V0027,32,6,KA-NORTH,8,0.25,0.0
V0402,29,6,KA-NORTH,7,0.2414,0.3333
V0352,38,5,KA-CENTRAL,9,0.2368,0.4167
V0009,17,6,AP-SOUTH,4,0.2353,0.4
V0040,35,6,KA-NORTH,8,0.2286,0.2222
