award_id,tender_id,vendor_id,award_date,award_value
A-T00089,T00089,V0072,2025-12-09,2036128.34
A-T00090,T00090,V0353,2024-11-16,31524490.03
A-T00091,T00091,V0161,2025-04-05,1659254.1
A-T00092,T00092,V0426,2025-11-17,49988214.5
A-T00093,T00093,V0419,2026-09-11,2792040.1
A-T00094,T00094,V0266,2026-06-17,30823140.71
A-T00095,T00095,V0130,2024-07-08,114605638.14
A-T00096,T00096,V0448,2024-06-25,4526117.7
A-T00097,T00097,V0376,2025-12-23,823072.11
A-T00098,T00098,V0126,2024-02-05,1153601.08
A-T00099,T00099,V0078,2024-09-09,3077281.93
A-T00100,T00100,V0087,2025-02-19,77340130.16
A-T00101,T00101,V0509,2024-08-14,15011912.13
A-T00102,T00102,V0163,2026-04-26,62995910.22
A-T00103,T00103,V0205,2026-05-15,38330963.2
A-T00104,T00104,V0178,2026-01-13,12215812.45
A-T00105,T00105,V0397,2026-08-09,5418607.89
A-T00106,T00106,V0386,2024-11-16,44133062.57
A-T00107,T00107,V0182,2026-05-21,12097190.71
A-T00108,T00108,V0404,2026-06-24,16174232.46
A-T00109,T00109,V0215,2025-07-10,22948910.24
A-T00110,T00110,V0035,2026-09-13,11087154.42
A-T00111,T00111,V0025,2026-05-22,5742810.76
A-T00112,T00112,V0016,2026-04-24,2227370.04
A-T00113,T00113,V0546,2026-06-14,14837967.21
A-T00114,T00114,V0064,2025-04-06,1598264.77
A-T00115,T00115,V0379,2025-07-18,2560991.39
A-T00116,T00116,V0512,2026-01-23,8945919.7
A-T00117,T00117,V0296,2025-08-17,181434655.2
A-T00118,T00118,V0396,2026-07-05,3901089.39
A-T00119,T00119,V0488,2024-04-30,8193366.47
A-T00120,T00120,V0437,2024-06-28,27571786.94
A-T00121,T00121,V0220,2025-10-17,22112665.0
A-T00122,T00122,V0044,2026-05-10,56418795.12
A-T00123,T00123,V0460,2025-12-10,3872277.24
A-T00124,T00124,V0280,2026-07-27,28697619.04
A-T00125,T00125,V0249,2025-08-07,9443086.16
A-T00126,T00126,V0526,2025-12-27,34481872.46
A-T00127,T00127,V0455,2025-06-18,45390836.73
A-T00128,T00128,V0135,2025-07-23,18301995.34
A-T00129,T00129,V0513,2026-03-17,38487892.31
A-T00130,T00130,V0009,2026-02-24,16712883.25
A-T00131,T00131,V0458,2024-09-28,6217468.05
A-T00132,T00132,V0263,2025-04-30,1339145.03
A-T00133,T00133,V0119,2026-02-24,5941726.15
A-T00134,T00134,V0512,2024-03-19,10067650.18
A-T00135,T00135,V0280,2025-07-17,3752605.84
A-T00136,T00136,V0089,2025-05-03,100586913.65
A-T00137,T00137,V0042,2024-03-15,4836573.43
A-T00138,T00138,V0231,2026-09-18,16236759.42
A-T00139,T00139,V0350,2026-01-01,14469751.19
A-T00140,T00140,V0154,2025-05-02,43575336.27
A-T00141,T00141,V0088,2026-04-30,4578532.84
A-T00142,T00142,V0459,2026-03-07,12589591.18
A-T00143,T00143,V0282,2026-03-06,2196585.12
A-T00144,T00144,V0119,2025-03-20,12931828.22
A-T00145,T00145,V0230,2025-09-19,3160271.71
A-T00146,T00146,V0494,2024-08-17,13920831.15
A-T00147,T00147,V0112,2025-12-11,6309482.25
A-T00148,T00148,V0096,2025-11-20,19052975.14
A-T00149,T00149,V0427,2025-03-13,19492878.28
A-T00150,T00150,V0219,2025-09-09,10002038.32
A-T00151,T00151,V0495,2026-05-09,13133988.33
A-T00152,T00152,V0026,2024-08-25,20452264.9
A-T00153,T00153,V0335,2025-09-15,8412415.93
A-T00154,T00154,V0042,2024-05-12,12358475.71
A-T00155,T00155,V0321,2025-02-06,2643914.42
A-T00156,T00156,V0478,2025-02-11,121881844.21
A-T00157,T00157,V0414,2025-10-11,7473296.87
A-T00158,T00158,V0422,2026-01-10,4414863.95
A-T00159,T00159,V0338,2024-10-25,11168273.59
A-T00160,T00160,V0042,2026-03-25,85378922.07
A-T00161,T00161,V0123,2025-10-26,23540919.1
A-T00162,T00162,V0034,2026-02-05,11866315.55
A-T00163,T00163,V0016,2025-08-10,63561178.94
A-T00164,T00164,V0431,2026-09-23,6009599.52
A-T00165,T00165,V0415,2026-03-16,9835386.64
A-T00166,T00166,V0371,2025-06-28,30192226.04
A-T00167,T00167,V0437,2026-08-15,2162763.71
A-T00168,T00168,V0254,2026-02-16,2020856.02
A-T00169,T00169,V0097,2026-03-19,34895315.73
A-T00170,T00170,V0321,2025-12-20,4516099.33
A-T00171,T00171,V0461,2025-12-04,112434498.28
A-T00172,T00172,V0453,2024-03-29,10936408.61
A-T00173,T00173,V0455,2025-05-06,3426531.33
A-T00174,T00174,V0020,2026-03-29,9848382.43
A-T00175,T00175,V0129,2026-06-06,8731688.36
A-T00176,T00176,V0362,2025-08-06,40822041.12
A-T00177,T00177,V0216,2025-03-26,25620935.25
A-T00178,T00178,V0015,2024-05-28,3376774.27
A-T00179,T00179,V0426,2024-12-11,14137384.84
A-T00180,T00180,V0427,2024-03-20,61565364.16
A-T00181,T00181,V0531,2025-02-07,26122251.59
A-T00182,T00182,V0253,2024-06-03,45112052.96
A-T00183,T00183,V0541,2026-03-22,15123285.0
A-T00184,T00184,V0172,2025-07-24,69001680.66
A-T00185,T00185,V0489,2024-05-28,48539959.06
A-T00186,T00186,V0412,2026-08-12,54916428.42
A-T00187,T00187,V0314,2025-11-04,15327002.5
A-T00188,T00188,V0484,2026-09-13,13404472.33
A-T00189,T00189,V0448,2025-08-14,12502985.62
A-T00190,T00190,V0229,2025-05-04,1075583.9
A-T00191,T00191,V0256,2024-10-07,93029316.83
A-T00192,T00192,V0419,2025-02-11,4223124.42
A-T00193,T00193,V0142,2024-06-27,7315484.53
A-T00194,T00194,V0464,2024-11-29,24433882.91
A-T00195,T00195,V0259,2024-06-10,11534270.76
A-T00196,T00196,V0443,2026-01-29,12284571.49
A-T00197,T00197,V0470,2026-06-24,5981138.98
A-T00198,T00198,V0140,2026-01-25,3807100.49
A-T00199,T00199,V0334,2026-01-31,23840083.87
A-T00200,T00200,V0223,2025-09-12,7082830.67
A-T00201,T00201,V0162,2026-06-17,14452147.14
A-T00202,T00202,V0404,2025-06-27,2309215.9
A-T00203,T00203,V0483,2024-12-04,3249150.06
A-T00204,T00204,V0275,2024-06-28,6141271.47
A-T00205,T00205,V0513,2025-05-13,3836784.71
A-T00206,T00206,V0220,2026-03-10,26913823.07
A-T00207,T00207,V0429,2026-08-30,26759414.44
A-T00208,T00208,V0379,2024-08-31,748604.25
A-T00209,T00209,V0543,2024-03-01,6462690.96
A-T00210,T00210,V0062,2025-02-08,2283854.99
A-T00211,T00211,V0468,2025-09-29,102297466.06
A-T00212,T00212,V0013,2024-10-07,7171030.7
A-T00213,T00213,V0497,2025-08-17,8283380.42
A-T00214,T00214,V0304,2025-08-24,8165393.69
A-T00215,T00215,V0429,2025-08-25,14348906.88
A-T00216,T00216,V0411,2024-07-27,27709972.18
A-T00217,T00217,V0494,2025-04-27,23372691.37
A-T00218,T00218,V0295,2026-04-10,8844704.94
A-T00219,T00219,V0375,2026-05-02,47604883.98
A-T00220,T00220,V0328,2025-03-07,43702077.59
A-T00221,T00221,V0070,2025-05-20,30960266.42
A-T00222,T00222,V0273,2025-05-06,9813911.97
A-T00223,T00223,V0220,2025-04-14,71088177.1
A-T00224,T00224,V0520,2026-09-30,80612763.27
A-T00225,T00225,V0490,2024-06-03,15151801.83
A-T00226,T00226,V0317,2024-03-22,6700871.09
A-T00227,T00227,V0308,2025-11-15,36564457.65
A-T00228,T00228,V0437,2024-08-30,14137452.44
A-T00229,T00229,V0082,2024-09-09,6786273.85
A-T00230,T00230,V0026,2026-09-16,13118486.16
A-T00231,T00231,V0533,2025-11-23,6169508.88
A-T00232,T00232,V0141,2025-01-10,3203915.23
A-T00233,T00233,V0140,2026-03-14,8030241.85
A-T00234,T00234,V0366,2025-03-15,13383919.31
A-T00235,T00235,V0060,2026-05-06,67551874.52
A-T00236,T00236,V0404,2026-04-26,21348799.4
A-T00237,T00237,V0011,2024-06-02,5388919.96
A-T00238,T00238,V0169,2024-11-10,17356572.3
A-T00239,T00239,V0093,2024-08-26,222803447.41
A-T00240,T00240,V0016,2026-01-19,14700572.62
A-T00241,T00241,V0316,2025-10-24,32653362.96
A-T00242,T00242,V0119,2024-06-10,6531958.02
A-T00243,T00243,V0436,2025-03-08,13853956.49
A-T00244,T00244,V0020,2024-06-15,15802244.21
A-T00245,T00245,V0132,2024-05-24,786018.11
A-T00246,T00246,V0459,2024-02-24,10031152.36
A-T00247,T00247,V0528,2024-02-22,6095961.17
A-T00248,T00248,V0169,2024-10-20,10254116.09
A-T00249,T00249,V0089,2025-12-19,18573688.41
A-T00250,T00250,V0494,2025-02-08,59654683.61
A-T00251,T00251,V0373,2026-05-07,13847053.95
A-T00252,T00252,V0366,2024-04-21,23254675.87
A-T00253,T00253,V0065,2024-10-03,3956287.67
A-T00254,T00254,V0317,2025-11-26,2665436.96
A-T00255,T00255,V0371,2024-05-15,4376275.03
A-T00256,T00256,V0279,2026-01-13,18869805.21
A-T00257,T00257,V0208,2025-08-19,23429867.9
A-T00258,T00258,V0378,2025-01-30,6207440.96
A-T00259,T00259,V0088,2024-10-24,1190056.84
A-T00260,T00260,V0244,2025-12-07,24305174.8
A-T00261,T00261,V0144,2024-07-25,773168.48
A-T00262,T00262,V0439,2026-07-29,3281450.12
A-T00263,T00263,V0515,2025-06-01,61080609.41
A-T00264,T00264,V0278,2024-05-11,3510699.24
A-T00265,T00265,V0385,2026-01-17,29878731.49
A-T00266,T00266,V0096,2026-07-05,19165694.81
A-T00267,T00267,V0021,2026-09-01,10925691.92
A-T00268,T00268,V0140,2025-11-16,4656569.54
A-T00269,T00269,V0281,2026-01-03,14495707.53
A-T00270,T00270,V0229,2025-11-17,9680145.41
A-T00271,T00271,V0144,2025-04-06,7841325.41
A-T00272,T00272,V0201,2026-09-05,94405625.99
A-T00273,T00273,V0153,2024-06-02,5919317.91
A-T00274,T00274,V0022,2026-04-28,4118690.5
A-T00275,T00275,V0119,2025-06-17,4403713.42
A-T00276,T00276,V0332,2026-09-14,5560501.52
A-T00277,T00277,V0018,2025-06-27,11272258.79
A-T00278,T00278,V0533,2026-07-19,822496.77
A-T00279,T00279,V0049,2025-06-09,15781359.86
A-T00280,T00280,V0027,2024-12-23,20200568.13
A-T00281,T00281,V0419,2025-02-25,886123.23
A-T00282,T00282,V0549,2024-07-21,25529854.78
A-T00283,T00283,V0005,2026-08-24,4981563.46
A-T00284,T00284,V0259,2026-01-05,4103696.1
A-T00285,T00285,V0218,2026-04-27,4584053.08
A-T00286,T00286,V0184,2026-03-16,19430846.37
A-T00287,T00287,V0054,2026-02-18,10113034.43
A-T00288,T00288,V0349,2024-10-11,11392434.78
A-T00289,T00289,V0195,2026-05-07,4570618.53
A-T00290,T00290,V0231,2025-08-26,5528880.5
A-T00291,T00291,V0531,2024-09-26,37594750.24
A-T00292,T00292,V0262,2026-08-27,2959132.95
A-T00293,T00293,V0094,2026-08-25,72136405.76
A-T00294,T00294,V0079,2024-10-11,8038168.88
A-T00295,T00295,V0246,2025-09-07,12034540.66
A-T00296,T00296,V0350,2024-04-03,8095310.05
A-T00297,T00297,V0303,2025-12-10,36533115.74
A-T00298,T00298,V0188,2025-09-25,2861456.92
A-T00299,T00299,V0169,2024-07-01,9259862.01
A-T00300,T00300,V0460,2024-06-11,13323521.22
A-T00301,T00301,V0344,2025-07-15,23207604.59
A-T00302,T00302,V0198,2025-04-20,4680376.52
A-T00303,T00303,V0438,2025-05-03,51320676.21
A-T00304,T00304,V0051,2024-03-13,6964071.47
A-T00305,T00305,V0161,2024-08-17,6947397.74
A-T00306,T00306,V0080,2024-09-08,6378317.87
A-T00307,T00307,V0332,2024-08-14,1254051.58
A-T00308,T00308,V0086,2026-01-18,6209471.14
A-T00309,T00309,V0521,2024-03-04,16444775.76
A-T00310,T00310,V0417,2025-02-21,8175355.54
A-T00311,T00311,V0386,2025-10-09,9856752.37
A-T00312,T00312,V0086,2024-07-03,6548654.13
A-T00313,T00313,V0164,2026-08-28,19078560.66
A-T00314,T00314,V0532,2025-08-05,15166232.63
A-T00315,T00315,V0120,2026-08-09,10403076.67
A-T00316,T00316,V0535,2026-05-09,5966803.5
A-T00317,T00317,V0161,2024-04-15,7953585.31
A-T00318,T00318,V0275,2024-07-22,5571052.05
A-T00319,T00319,V0184,2026-02-16,16716582.19
A-T00320,T00320,V0452,2024-09-13,5882829.5
A-T00321,T00321,V0081,2026-06-01,55035722.5
A-T00322,T00322,V0471,2026-08-10,22678018.5
A-T00323,T00323,V0087,2026-02-17,1590530.48
A-T00324,T00324,V0023,2025-04-10,13918951.36
A-T00325,T00325,V0391,2025-10-25,63268804.84
A-T00326,T00326,V0388,2025-01-12,1990261.85
A-T00327,T00327,V0132,2025-10-13,3746056.1
A-T00328,T00328,V0188,2026-02-07,6573001.77
A-T00329,T00329,V0319,2025-05-28,7315815.3
A-T00330,T00330,V0259,2026-02-23,7675417.23
A-T00331,T00331,V0066,2025-04-28,3044759.62
A-T00332,T00332,V0275,2025-02-13,6512599.63
A-T00333,T00333,V0258,2024-08-11,1056575.07
A-T00334,T00334,V0142,2026-05-02,3194608.6
A-T00335,T00335,V0314,2025-04-23,4733973.21
A-T00336,T00336,V0468,2026-04-29,28446633.29
A-T00337,T00337,V0054,2026-01-02,23650007.63
A-T00338,T00338,V0224,2024-02-29,66590391.58
A-T00339,T00339,V0464,2026-03-11,23163466.55
A-T00340,T00340,V0215,2026-07-29,23297552.95
A-T00341,T00341,V0179,2026-03-29,2513249.83
A-T00342,T00342,V0530,2024-09-14,4491217.48
A-T00343,T00343,V0061,2024-03-30,7321929.25
A-T00344,T00344,V0309,2026-06-21,10373674.39
A-T00345,T00345,V0364,2026-06-05,124767250.96
A-T00346,T00346,V0275,2025-05-22,13389495.73
A-T00347,T00347,V0051,2025-11-19,5762846.7
A-T00348,T00348,V0132,2025-06-26,2001365.58
A-T00349,T00349,V0421,2024-10-27,15288029.11
A-T00350,T00350,V0069,2024-07-08,37334702.95
A-T00351,T00351,V0228,2025-07-02,3072436.06
A-T00352,T00352,V0212,2024-07-11,4914852.64
A-T00353,T00353,V0429,2025-09-11,29236668.72
A-T00354,T00354,V0110,2026-03-19,17812251.2
A-T00355,T00355,V0400,2025-05-08,33779646.74
A-T00356,T00356,V0509,2025-05-20,1561423.09
A-T00357,T00357,V0384,2026-06-11,55002097.18
A-T00358,T00358,V0045,2026-07-17,35035297.89
A-T00359,T00359,V0259,2024-03-04,17791575.28
A-T00360,T00360,V0297,2026-09-11,9838417.42
A-T00361,T00361,V0232,2024-05-23,6640681.95
A-T00362,T00362,V0371,2026-09-10,238976033.26
A-T00363,T00363,V0389,2025-03-20,78555463.48
A-T00364,T00364,V0015,2024-05-19,3164402.51
A-T00365,T00365,V0414,2024-07-30,19873023.46
A-T00366,T00366,V0042,2025-10-27,12214639.3
A-T00367,T00367,V0178,2025-07-20,5974234.28
A-T00368,T00368,V0300,2024-08-17,41022841.3
A-T00369,T00369,V0049,2025-07-19,10022416.28
A-T00370,T00370,V0021,2026-06-08,86890921.29
A-T00371,T00371,V0352,2025-07-31,2669483.65
A-T00372,T00372,V0091,2024-10-26,14363344.54
A-T00373,T00373,V0152,2026-01-31,14768522.75
A-T00374,T00374,V0010,2024-08-05,4364278.79
A-T00375,T00375,V0120,2025-04-05,41691507.06
A-T00376,T00376,V0151,2026-03-22,1242785.97
A-T00377,T00377,V0313,2026-03-18,58100441.21
A-T00378,T00378,V0372,2026-01-06,15572349.38
A-T00379,T00379,V0375,2026-03-10,8178922.58
A-T00380,T00380,V0001,2026-05-31,43106762.71
A-T00381,T00381,V0203,2026-05-02,1922058.82
A-T00382,T00382,V0338,2026-06-22,15470392.22
A-T00383,T00383,V0396,2024-05-15,18116741.69
A-T00384,T00384,V0130,2025-01-04,4042311.98
A-T00385,T00385,V0319,2026-06-27,129471432.19
A-T00386,T00386,V0308,2024-09-23,11230138.51
A-T00387,T00387,V0041,2026-03-14,2140645.16
A-T00388,T00388,V0485,2026-09-06,7493540.57
A-T00389,T00389,V0191,2026-02-26,8645769.93
A-T00390,T00390,V0315,2025-01-29,12050831.22
A-T00391,T00391,V0119,2026-01-10,5147058.08
A-T00392,T00392,V0538,2024-05-07,20278533.4
A-T00393,T00393,V0520,2026-03-01,54283983.98
A-T00394,T00394,V0123,2025-04-29,5894318.75
A-T00395,T00395,V0381,2025-04-01,22593893.47
A-T00396,T00396,V0429,2026-01-29,1446646.3
A-T00397,T00397,V0076,2026-06-17,30014682.24
A-T00398,T00398,V0216,2024-05-01,23999703.24
A-T00399,T00399,V0042,2024-06-27,4558098.4
A-T00400,T00400,V0483,2025-06-19,1999680.71
A-T00401,T00401,V0431,2024-08-14,7775778.97
A-T00402,T00402,V0368,2025-03-19,4175366.78
A-T00403,T00403,V0191,2024-12-10,16028392.49
A-T00404,T00404,V0291,2025-10-17,14912604.47
A-T00405,T00405,V0307,2024-06-23,4492163.34
A-T00406,T00406,V0453,2025-09-26,4246819.43
A-T00407,T00407,V0407,2025-01-31,3419722.6
A-T00408,T00408,V0469,2025-11-06,11069067.22
A-T00409,T00409,V0338,2024-11-17,20799093.42
A-T00410,T00410,V0187,2024-10-22,12686213.43
A-T00411,T00411,V0488,2025-03-30,53851407.54
A-T00412,T00412,V0402,2024-03-30,2337446.99
A-T00413,T00413,V0079,2025-04-25,15082007.82
A-T00414,T00414,V0523,2025-09-08,3829292.62
A-T00415,T00415,V0078,2025-11-20,16544899.74
A-T00416,T00416,V0153,2024-09-05,15702179.1
A-T00417,T00417,V0494,2026-02-06,3332272.75
A-T00418,T00418,V0061,2025-03-06,32680712.31
A-T00419,T00419,V0281,2025-08-23,8437420.61
A-T00420,T00420,V0003,2025-02-04,10942037.11
A-T00421,T00421,V0083,2025-01-02,9600699.34
A-T00422,T00422,V0304,2026-05-09,10510592.6
A-T00423,T00423,V0379,2024-10-17,2080448.56
A-T00424,T00424,V0247,2026-06-02,7422916.72
A-T00425,T00425,V0386,2026-09-04,61257601.81
A-T00426,T00426,V0401,2024-09-24,17682892.79
A-T00427,T00427,V0523,2025-09-28,1296663.41
A-T00428,T00428,V0254,2025-11-26,43108938.79
A-T00429,T00429,V0481,2025-11-17,1861176.2
A-T00430,T00430,V0488,2026-05-11,14766455.7
A-T00431,T00431,V0366,2024-06-04,108845427.88
A-T00432,T00432,V0129,2025-04-13,7593996.05
A-T00433,T00433,V0016,2025-07-28,55836269.56
A-T00434,T00434,V0402,2026-01-11,14020096.4
A-T00435,T00435,V0096,2025-04-28,2795510.15
A-T00436,T00436,V0424,2026-09-20,2687357.65
A-T00437,T00437,V0405,2026-05-02,9694500.97
A-T00438,T00438,V0223,2026-01-25,11355595.98
A-T00439,T00439,V0404,2026-05-06,6259025.05
A-T00440,T00440,V0123,2024-03-05,5942667.74
A-T00441,T00441,V0318,2024-06-21,193485089.61
A-T00442,T00442,V0079,2026-05-22,22349853.82
A-T00443,T00443,V0028,2025-08-04,8466190.74
A-T00444,T00444,V0502,2025-02-08,7721022.96
A-T00445,T00445,V0544,2024-05-30,72354272.69
A-T00446,T00446,V0379,2024-11-21,84308386.67
A-T00447,T00447,V0307,2025-08-02,6898828.32
A-T00448,T00448,V0364,2024-03-31,1235990.09
A-T00449,T00449,V0209,2025-09-08,3163815.82
A-T00450,T00450,V0407,2026-05-23,20686051.48
A-T00451,T00451,V0023,2025-03-02,93567194.18
A-T00452,T00452,V0304,2025-04-27,35542425.69
A-T00453,T00453,V0394,2026-05-09,5704089.27
A-T00454,T00454,V0200,2024-04-28,1823003.41
A-T00455,T00455,V0235,2025-12-19,52994321.6
A-T00456,T00456,V0020,2025-01-08,12480325.11
A-T00457,T00457,V0020,2024-08-29,6666754.86
A-T00458,T00458,V0233,2025-01-21,52715044.57
A-T00459,T00459,V0059,2026-03-09,230303242.89
A-T00460,T00460,V0030,2024-06-06,21621937.25
A-T00461,T00461,V0513,2024-12-01,1945997.14
A-T00462,T00462,V0078,2025-11-03,6544721.62
A-T00463,T00463,V0319,2025-09-23,1497374.11
A-T00464,T00464,V0248,2025-04-08,1146186.45
A-T00465,T00465,V0224,2025-08-06,3303179.86
A-T00466,T00466,V0328,2024-02-18,3028537.64
A-T00467,T00467,V0211,2025-01-01,1108706.91
A-T00468,T00468,V0511,2024-11-19,31189689.72
A-T00469,T00469,V0038,2025-07-27,3754762.71
A-T00470,T00470,V0478,2025-05-09,8215564.12
A-T00471,T00471,V0248,2024-07-05,2453648.47
A-T00472,T00472,V0293,2026-04-19,45463685.09
A-T00473,T00473,V0001,2025-11-24,8094810.29
A-T00474,T00474,V0014,2024-04-12,92037617.81
A-T00475,T00475,V0080,2025-05-16,7117707.17
A-T00476,T00476,V0352,2024-09-25,37163918.67
A-T00477,T00477,V0547,2025-06-29,35846839.77
A-T00478,T00478,V0546,2026-02-11,3346909.06
A-T00479,T00479,V0382,2025-09-20,1258745.81
A-T00480,T00480,V0313,2025-02-10,7024964.47
A-T00481,T00481,V0464,2024-10-13,11850743.66
A-T00482,T00482,V0331,2025-01-13,20113390.9
A-T00483,T00483,V0543,2024-11-08,12064800.14
A-T00484,T00484,V0308,2024-11-25,7466524.63
A-T00485,T00485,V0307,2024-12-23,9302746.68
A-T00486,T00486,V0178,2026-09-05,1356104.41
A-T00487,T00487,V0184,2025-04-20,4022441.46
A-T00488,T00488,V0135,2024-02-14,33655525.44
A-T00489,T00489,V0207,2026-01-31,8210990.4
A-T00490,T00490,V0072,2026-01-26,24364065.28
A-T00491,T00491,V0397,2025-04-27,13630103.92
A-T00492,T00492,V0244,2026-08-16,2127090.84
A-T00493,T00493,V0297,2024-09-15,21790711.38
A-T00494,T00494,V0027,2026-06-12,27826758.76
A-T00495,T00495,V0361,2026-06-07,4940082.13
A-T00496,T00496,V0033,2025-10-16,12477167.06
A-T00497,T00497,V0363,2024-11-14,5834513.88
A-T00498,T00498,V0081,2026-05-25,4518643.0
A-T00499,T00499,V0080,2024-06-23,19302564.6
A-T00500,T00500,V0415,2024-07-08,49926305.3
A-T00501,T00501,V0072,2024-09-16,28850167.81
A-T00502,T00502,V0503,2024-11-04,11053900.77
A-T00503,T00503,V0150,2026-07-13,11339110.53
A-T00504,T00504,V0233,2026-07-10,18294963.66
A-T00505,T00505,V0465,2026-01-06,2835857.0
A-T00506,T00506,V0275,2026-01-13,5569434.74
A-T00507,T00507,V0259,2026-09-12,53255245.15
A-T00508,T00508,V0166,2025-04-09,5444521.91
A-T00509,T00509,V0332,2025-04-10,5925320.29
A-T00510,T00510,V0328,2024-07-07,6268305.87
A-T00511,T00511,V0497,2025-12-08,13858887.05
A-T00512,T00512,V0504,2024-12-30,87449080.99
A-T00513,T00513,V0381,2026-02-17,51468561.73
A-T00514,T00514,V0072,2025-08-02,17329436.37
A-T00515,T00515,V0358,2024-05-25,10631026.91
A-T00516,T00516,V0172,2025-03-13,36594696.2
A-T00517,T00517,V0381,2026-02-08,62254405.98
