vendor_id,history_months,recent_months,historical_tenders,recent_tenders,mahalanobis_distance,cusum_score,persistence_score,regime_signal,z_participation_intensity,z_win_rate,z_bid_position,z_market_breadth,z_network_exposure,historical_participation_intensity,historical_win_rate,historical_bid_position,historical_market_breadth,historical_network_exposure,recent_participation_intensity,recent_win_rate,recent_bid_position,recent_market_breadth,recent_network_exposure,explanation
V0014,12,12,22,24,0.4402,0.1042,0.05,0.0883,0.0593,0.0952,-0.1502,-0.4167,-0.1546,0.0237,0.0901,0.5864,0.9545,5.2273,0.0245,0.0841,0.5648,0.9583,5.0417,no single dominant feature; multivariate behavioral shift
V0015,4,5,5,7,7.0232,1.2742,0.28,0.5113,0.3923,-1.226,2.9966,-1.4286,0.2168,0.0168,0.5,0.1786,1.0,4.8,0.017,0.3462,0.5177,0.8571,5.1429,bid positioning increased (3.0 robust deviations)
V0016,13,13,23,27,1.7913,0.3816,0.1692,0.2954,0.0565,-0.3475,-0.3095,-0.3704,0.0167,0.0235,0.2993,0.4667,1.0,5.1304,0.0259,0.263,0.4195,0.963,5.037,no single dominant feature; multivariate behavioral shift
V0017,4,5,4,5,0.9876,0.2374,0.16,0.1629,-0.025,0.2165,0.6183,0.0,-0.5666,0.0132,0.2333,0.3708,1.0,6.5,0.0127,0.2121,0.55,1.0,4.4,no single dominant feature; multivariate behavioral shift
V0018,5,5,6,6,1.4017,0.4925,0.12,0.2243,0.0954,0.2381,-0.0969,0.0,1.4614,0.0157,0.1667,0.5714,1.0,4.1667,0.0145,0.1667,0.459,1.0,6.1667,no single dominant feature; multivariate behavioral shift
V0019,9,9,12,11,1.5577,0.4974,0.1556,0.2787,0.1706,-0.0694,-1.4294,0.0,0.2453,0.0174,0.1546,0.6329,1.0,5.0,0.0149,0.1049,0.4071,1.0,4.9091,no single dominant feature; multivariate behavioral shift
V0020,15,16,35,50,1.3588,0.3777,0.1125,0.2431,0.7432,-0.8267,0.5058,-0.6,-0.2098,0.0302,0.2749,0.3939,0.8857,4.6571,0.0391,0.1655,0.5151,0.94,4.44,no single dominant feature; multivariate behavioral shift
V0021,6,7,7,8,4.0297,1.4813,0.2857,0.4969,-0.1536,0.8571,-2.695,0.0,-1.0377,0.0163,0.0615,0.6213,1.0,6.8571,0.0135,0.2,0.3619,1.0,5.0,bid positioning decreased (2.7 robust deviations)
V0022,9,9,13,11,4.8035,0.2536,0.1111,0.4075,0.1947,0.9244,0.0346,-0.9091,-0.3679,0.0188,0.1053,0.4925,1.0,5.3846,0.0155,0.2353,0.4085,0.9091,4.9091,no single dominant feature; multivariate behavioral shift
V0023,12,13,23,21,0.5399,0.1698,0.0769,0.1174,0.0085,-0.0433,0.1514,0.0,0.5048,0.0253,0.21,0.4373,0.913,4.4783,0.0192,0.1515,0.4852,1.0,5.381,no single dominant feature; multivariate behavioral shift
V0024,12,13,23,24,1.092,0.1853,0.0615,0.1772,-0.2667,-0.2259,0.3639,-0.8333,-0.3181,0.0258,0.1211,0.3229,0.913,6.1304,0.0225,0.0504,0.3588,0.9167,5.2917,no single dominant feature; multivariate behavioral shift
V0025,13,13,32,29,1.7816,0.5793,0.2,0.3274,-0.5844,0.5902,0.2312,-2.4138,-0.4012,0.0327,0.1311,0.5219,0.875,5.0312,0.0271,0.1995,0.5166,0.7586,4.2069,market breadth decreased (2.4 robust deviations)
V0026,12,13,21,23,1.0101,0.3825,0.1077,0.2081,0.5493,0.4433,-0.2919,0.0,-0.217,0.0219,0.2407,0.5167,0.9524,5.6667,0.023,0.2586,0.47,1.0,5.1304,no single dominant feature; multivariate behavioral shift
V0027,11,12,14,18,1.2316,0.4116,0.1833,0.2532,0.4861,0.3385,-0.3393,0.0,0.5433,0.0172,0.2156,0.5548,1.0,4.3571,0.0189,0.2214,0.499,1.0,5.6111,no single dominant feature; multivariate behavioral shift
V0028,12,12,22,23,1.0037,0.3762,0.0833,0.2005,0.3623,0.3678,-0.2443,-0.8696,-0.1564,0.0242,0.1405,0.6147,0.9545,5.1818,0.0248,0.1701,0.5752,0.913,4.7391,no single dominant feature; multivariate behavioral shift
V0029,11,12,17,16,3.3508,2.0662,0.4,0.5997,-0.7314,1.7149,-1.7843,0.0,-0.7264,0.0215,0.0988,0.6278,1.0,6.1176,0.0169,0.3306,0.4147,1.0,4.75,bid positioning decreased (1.8 robust deviations); win rate increased (1.7 robust deviations)
V0030,7,7,10,8,1.2739,0.2434,0.1143,0.1973,0.153,-0.7494,-0.0383,0.0,-0.7869,0.0198,0.375,0.5189,0.9,5.3,0.015,0.2857,0.4716,1.0,4.75,no single dominant feature; multivariate behavioral shift
V0031,6,7,6,7,1.0379,0.0779,0.0857,0.1418,0.0409,0.7861,-0.2438,0.0,-0.1285,0.0128,0.359,0.3365,1.0,4.6667,0.0133,0.4083,0.2372,1.0,4.4286,no single dominant feature; multivariate behavioral shift
V0032,5,6,6,8,1.1786,0.8805,0.1667,0.2535,0.2251,0.6122,1.4333,0.0,-0.4637,0.0173,0.3452,0.2847,0.8333,5.3333,0.0163,0.3673,0.3438,1.0,4.625,no single dominant feature; multivariate behavioral shift
V0033,9,10,12,13,4.0852,0.4196,0.16,0.4172,0.1544,0.9293,0.0272,-0.7692,-0.6226,0.0179,0.04,0.5155,0.8333,5.5833,0.0158,0.1958,0.5058,0.9231,3.8462,no single dominant feature; multivariate behavioral shift
V0034,12,13,24,29,2.486,0.9146,0.2615,0.4309,0.4097,1.473,-0.7131,-1.0345,-0.2863,0.0259,0.1528,0.606,0.9167,4.3333,0.0273,0.3596,0.3964,0.8966,4.4483,no single dominant feature; multivariate behavioral shift
V0035,8,9,10,14,9.1067,0.6942,0.3111,0.5627,0.5738,1.6071,-0.3729,-1.4286,0.4336,0.0169,0.0938,0.6994,1.0,4.8,0.0192,0.375,0.4719,0.8571,5.2857,win rate increased (1.6 robust deviations)
V0038,9,9,13,12,0.7507,0.4692,0.1111,0.1864,0.1765,0.273,0.6856,0.0,0.2248,0.0186,0.1558,0.4186,1.0,4.3077,0.0161,0.1644,0.4851,1.0,4.3333,no single dominant feature; multivariate behavioral shift
V0039,15,15,32,24,0.6884,0.281,0.08,0.1519,-0.3757,0.2772,0.0964,-0.4167,0.121,0.0285,0.157,0.5811,0.9062,4.9688,0.0194,0.1655,0.5714,0.9583,5.6667,no single dominant feature; multivariate behavioral shift
V0040,9,9,19,16,1.4491,0.7568,0.3111,0.3365,-0.3484,0.7699,0.2909,0.0,0.6547,0.0266,0.2217,0.4999,1.0,4.2105,0.0226,0.2974,0.5308,1.0,4.375,no single dominant feature; multivariate behavioral shift
V0041,13,13,17,22,2.6255,0.6696,0.1538,0.3866,0.7622,0.4121,-0.58,-0.4545,-0.438,0.0173,0.0702,0.6021,1.0,6.1176,0.021,0.1291,0.4791,0.9545,5.3636,no single dominant feature; multivariate behavioral shift
V0042,12,12,27,22,0.7987,0.5611,0.0833,0.202,-0.0551,-0.0305,0.0324,-0.9091,-0.1226,0.0308,0.4378,0.2935,0.9259,6.1481,0.0244,0.3732,0.2394,0.9091,6.0455,no single dominant feature; multivariate behavioral shift
V0043,12,12,25,26,2.5563,0.3619,0.0667,0.3222,0.1626,-0.0184,-0.5044,-1.9231,0.0259,0.0274,0.0759,0.5819,0.96,5.68,0.0281,0.0423,0.5116,0.8077,5.7308,market breadth decreased (1.9 robust deviations)
V0044,11,12,16,18,1.0478,0.1637,0.0667,0.1707,0.3216,0.1786,0.3757,-1.1111,0.2848,0.0188,0.1845,0.4204,0.9375,5.625,0.0188,0.1691,0.6309,0.8889,6.5556,no single dominant feature; multivariate behavioral shift
V0046,8,8,11,9,0.6427,0.1103,0.075,0.1129,0.0415,0.0,0.3358,-1.1111,0.1649,0.0178,0.0,0.5619,0.8182,4.9091,0.0141,0.0,0.5669,0.8889,5.5556,no single dominant feature; multivariate behavioral shift
V0047,14,14,22,33,1.5366,0.5769,0.0857,0.2778,0.8136,0.3876,-0.2888,-1.5152,0.0409,0.0213,0.1422,0.5859,0.9545,4.9091,0.0295,0.179,0.5124,0.8485,4.8485,market breadth decreased (1.5 robust deviations)
V0049,6,7,8,9,6.2676,0.3931,0.2,0.438,0.0126,1.591,-0.5576,0.0,0.4796,0.0187,0.1008,0.599,0.75,4.5,0.0151,0.3608,0.3583,1.0,4.6667,win rate increased (1.6 robust deviations)
V0050,12,12,27,28,1.5468,0.3223,0.1667,0.2661,-0.0016,0.7385,0.0627,-0.3571,-0.6923,0.03,0.1207,0.5241,0.963,5.5556,0.0292,0.2053,0.4837,0.9643,4.6786,no single dominant feature; multivariate behavioral shift
V0051,9,9,36,15,1.1575,0.3861,0.1111,0.2177,-0.2054,0.028,0.3793,-0.5396,0.6745,0.0539,0.0826,0.381,0.6944,4.6944,0.0212,0.07,0.4677,0.8667,6.0,no single dominant feature; multivariate behavioral shift
V0052,7,8,32,14,2.3909,1.0636,0.375,0.4252,-0.2555,1.1812,0.3472,1.0138,1.1242,0.0603,0.04,0.4763,0.6562,4.5938,0.0232,0.1761,0.4932,0.9286,6.0,no single dominant feature; multivariate behavioral shift
V0053,8,8,33,11,1.3359,1.2129,0.25,0.3432,-0.3973,0.4418,1.5484,0.1314,0.4889,0.0549,0.0326,0.5371,0.6667,4.6061,0.0167,0.0749,0.6997,0.9091,5.5455,bid positioning increased (1.5 robust deviations)
V0054,9,10,14,19,1.6254,0.5789,0.16,0.2952,0.8071,0.6649,-0.0227,0.0,-0.3727,0.0203,0.0955,0.5602,0.9286,5.7143,0.023,0.1964,0.4925,1.0,4.8947,no single dominant feature; multivariate behavioral shift
V0055,6,6,8,8,4.4803,1.0781,0.2333,0.471,0.1636,0.8929,-1.7847,0.0,-0.7066,0.0181,0.0536,0.825,1.0,5.375,0.0159,0.1964,0.4506,1.0,4.875,bid positioning decreased (1.8 robust deviations)
V0056,5,5,9,8,0.882,0.1856,0.16,0.1528,-0.4036,0.2101,-0.1472,0.0,-0.4216,0.0233,0.1137,0.5348,0.8889,6.5556,0.0186,0.1218,0.5083,1.0,6.375,no single dominant feature; multivariate behavioral shift
V0057,6,7,7,8,1.0293,0.4197,0.1143,0.1907,0.0376,0.5714,0.4751,0.0,0.1686,0.0159,0.1692,0.433,0.8571,7.1429,0.0141,0.2286,0.5062,1.0,6.625,no single dominant feature; multivariate behavioral shift
V0058,6,6,7,10,4.7103,0.2578,0.1,0.3652,0.7689,-0.5672,-0.5474,-1.0,0.0674,0.0149,0.2081,0.525,1.0,4.7143,0.0201,0.0441,0.3964,0.9,5.1,no single dominant feature; multivariate behavioral shift
V0059,9,9,18,14,1.2206,0.9837,0.1333,0.2951,-0.3633,-0.3705,0.3825,-0.7143,-0.2891,0.0252,0.2057,0.4827,0.9444,5.8333,0.0192,0.0969,0.5655,0.9286,5.7857,no single dominant feature; multivariate behavioral shift
V0060,6,7,9,9,1.4981,1.5823,0.2286,0.3545,0.0312,0.3175,0.9614,-1.1111,1.986,0.0203,0.2222,0.3995,0.8889,5.8889,0.0157,0.2222,0.5315,0.8889,7.2222,network exposure increased (2.0 robust deviations)
V0061,10,11,20,17,0.6714,0.7858,0.2182,0.2468,-0.5343,0.4099,-0.0649,0.0,0.2777,0.026,0.2547,0.3882,0.95,5.1,0.0203,0.2879,0.3381,1.0,5.0588,no single dominant feature; multivariate behavioral shift
V0062,10,11,21,19,1.3615,0.6087,0.2182,0.2988,-0.1543,0.6138,0.8223,-0.1893,0.0568,0.0278,0.15,0.301,0.8095,5.1905,0.0227,0.202,0.4372,0.9474,5.1053,no single dominant feature; multivariate behavioral shift
V0063,9,10,15,15,2.7213,1.0131,0.36,0.4654,0.3185,1.5238,0.5119,-0.6667,-1.0792,0.0219,0.3048,0.2078,0.8667,5.5333,0.0173,0.4952,0.2179,0.9333,4.4,win rate increased (1.5 robust deviations)
V0064,9,10,19,21,0.8582,0.2358,0.12,0.1693,-0.0944,0.3175,-0.1358,-0.9524,-0.3212,0.0284,0.11,0.6272,0.8421,5.7368,0.0257,0.1389,0.5698,0.9048,5.2857,no single dominant feature; multivariate behavioral shift
V0065,9,9,12,14,2.1998,0.7795,0.2444,0.3813,0.6766,1.2857,-1.1882,0.0,-0.0964,0.0181,0.2137,0.6278,1.0,6.3333,0.0201,0.3923,0.3096,1.0,5.7143,no single dominant feature; multivariate behavioral shift
V0066,12,13,23,30,1.7848,0.3506,0.1385,0.283,0.456,-0.1745,-0.1146,-1.6667,-0.0169,0.0256,0.2882,0.5327,0.9565,4.6957,0.0279,0.1766,0.5545,0.8333,4.9667,market breadth decreased (1.7 robust deviations)
V0067,5,6,9,8,12.6762,0.9049,0.1667,0.5113,-0.5567,1.5756,-0.0115,-2.5,0.2891,0.023,0.0706,0.5515,1.0,5.5556,0.0167,0.2899,0.4987,0.75,6.0,market breadth decreased (2.5 robust deviations); win rate increased (1.6 robust deviations)
V0069,5,6,6,9,5.1925,0.3279,0.1667,0.3874,0.6031,-0.6095,0.6987,-1.1111,-1.0492,0.017,0.2333,0.4464,1.0,6.8333,0.0194,0.0533,0.657,0.8889,6.4444,no single dominant feature; multivariate behavioral shift
V0070,6,6,9,8,0.8681,0.1438,0.0667,0.1308,-0.2601,-0.5042,0.2823,0.0,-0.1686,0.0187,0.1804,0.5923,0.8889,5.1111,0.016,0.0504,0.7286,1.0,4.5,no single dominant feature; multivariate behavioral shift
V0071,12,12,22,25,0.6451,0.555,0.0833,0.1837,-0.02,-0.0038,-0.2424,-0.4,0.2968,0.0246,0.1299,0.4964,0.9545,5.7273,0.0252,0.0851,0.3921,0.96,6.08,no single dominant feature; multivariate behavioral shift
V0072,13,14,25,33,2.4513,0.828,0.1714,0.3972,0.2728,1.1229,-0.2032,-1.5152,-1.2672,0.0259,0.1435,0.4653,0.92,6.16,0.0294,0.3192,0.3608,0.8485,5.0909,market breadth decreased (1.5 robust deviations)
V0073,12,13,24,20,3.6715,1.3887,0.3077,0.5482,-0.72,0.7998,-0.9756,0.0,0.1079,0.0273,0.0136,0.6189,0.875,6.2917,0.0191,0.1311,0.517,1.0,6.2,no single dominant feature; multivariate behavioral shift
V0074,8,9,14,14,1.3407,0.7546,0.2,0.2904,-0.5996,0.4605,-0.9664,-0.7143,-0.257,0.0233,0.0821,0.6301,0.9286,7.0,0.0192,0.1321,0.5334,0.9286,6.7857,no single dominant feature; multivariate behavioral shift
V0076,8,8,12,10,3.7622,0.87,0.175,0.4445,0.1668,0.8117,-1.459,0.0,-0.6145,0.0197,0.0303,0.754,0.9167,6.3333,0.016,0.1591,0.4589,1.0,4.8,no single dominant feature; multivariate behavioral shift
V0077,5,6,6,8,1.043,0.1531,0.1,0.1504,0.4154,0.102,-0.7131,0.0,0.0,0.0161,0.1548,0.5516,1.0,4.8333,0.0171,0.1327,0.5469,1.0,5.0,no single dominant feature; multivariate behavioral shift
V0078,9,10,17,19,1.3677,0.3406,0.14,0.2384,0.0802,0.2286,0.1858,-1.0526,0.4828,0.0256,0.2319,0.4873,0.9412,4.3529,0.0242,0.2133,0.4778,0.8947,4.8947,no single dominant feature; multivariate behavioral shift
V0079,9,10,13,17,1.233,0.5045,0.14,0.2468,0.6655,-0.4927,0.191,0.0,0.8888,0.019,0.3368,0.4368,1.0,5.0769,0.0203,0.1478,0.4711,1.0,5.6471,no single dominant feature; multivariate behavioral shift
V0080,10,11,23,16,1.4855,0.2524,0.1273,0.241,-0.5769,-0.9394,-0.0385,0.0,0.3755,0.0298,0.3342,0.4724,1.0,5.6957,0.0191,0.2133,0.4708,1.0,6.5625,no single dominant feature; multivariate behavioral shift
V0081,10,11,11,14,1.4762,0.2502,0.1091,0.2353,0.2382,0.6086,-0.0572,0.0,-0.607,0.0145,0.1153,0.5839,0.9091,6.5455,0.0155,0.198,0.5496,1.0,5.0,no single dominant feature; multivariate behavioral shift
V0082,9,10,13,19,1.8597,0.425,0.1,0.2807,0.7398,-1.0554,0.2231,-0.5263,-0.3372,0.0201,0.4046,0.3269,0.9231,5.2308,0.0227,0.1875,0.499,0.9474,5.0,no single dominant feature; multivariate behavioral shift
V0083,6,6,7,7,0.7192,0.1752,0.1333,0.135,-0.1665,-0.0785,-0.2201,0.0,0.5621,0.0159,0.2527,0.2714,1.0,4.7143,0.0134,0.1758,0.2799,1.0,6.0,no single dominant feature; multivariate behavioral shift
V0085,7,7,9,7,2.5112,0.2797,0.1429,0.2976,-0.0325,0.522,-0.8319,0.0,0.265,0.017,0.025,0.63,0.8889,5.5556,0.013,0.1058,0.4612,1.0,5.8571,no single dominant feature; multivariate behavioral shift
V0086,7,7,10,10,1.9735,0.1822,0.0857,0.2373,0.2057,0.6696,-0.2878,-2.0,-0.5801,0.0192,0.2188,0.5315,0.9,5.6,0.0172,0.2812,0.465,0.8,4.9,market breadth decreased (2.0 robust deviations)
V0087,7,8,9,13,3.7672,0.6157,0.225,0.4164,0.6219,0.0684,0.996,-0.7692,0.7783,0.0173,0.2061,0.3824,1.0,3.8889,0.0196,0.1627,0.5894,0.9231,5.3077,no single dominant feature; multivariate behavioral shift
V0088,11,12,20,18,1.4496,0.6207,0.1833,0.2996,-0.4257,-0.2851,1.2064,0.0,-0.0857,0.0237,0.2348,0.3905,0.95,5.3,0.0186,0.1294,0.5957,1.0,5.3889,no single dominant feature; multivariate behavioral shift
V0089,7,8,7,9,1.183,0.4445,0.175,0.2281,-0.0128,0.1905,0.9739,0.0,0.3747,0.0137,0.2692,0.3073,1.0,5.2857,0.014,0.2333,0.6702,1.0,6.6667,no single dominant feature; multivariate behavioral shift
V0090,8,8,8,13,4.4623,0.2756,0.1,0.3847,0.6199,0.2685,-0.5837,-0.7692,0.1384,0.0128,0.0204,0.5737,1.0,5.25,0.0192,0.0677,0.4295,0.9231,6.3077,no single dominant feature; multivariate behavioral shift
V0091,13,14,35,39,1.0893,1.1487,0.2,0.3229,0.3322,0.3056,0.6709,-1.0256,-0.4225,0.0363,0.087,0.3927,0.8857,6.5714,0.0342,0.1015,0.4392,0.8974,5.1538,no single dominant feature; multivariate behavioral shift
V0092,8,8,10,10,1.1177,0.39,0.15,0.2169,0.2903,-0.0328,0.8669,0.0,0.1927,0.0166,0.3812,0.3604,1.0,4.4,0.0161,0.3187,0.5557,1.0,5.0,no single dominant feature; multivariate behavioral shift
V0093,10,11,16,18,0.9365,0.4879,0.2182,0.2417,0.6367,0.4762,-0.2129,0.0,-0.3248,0.0212,0.254,0.4671,0.875,5.625,0.0203,0.2745,0.5036,1.0,5.2222,no single dominant feature; multivariate behavioral shift
V0094,7,8,8,9,1.4243,0.4069,0.15,0.2388,0.133,-0.0106,0.4445,0.0,-1.0867,0.015,0.3403,0.4126,1.0,6.75,0.0143,0.251,0.5204,1.0,3.7778,no single dominant feature; multivariate behavioral shift
V0096,6,7,7,10,1.4089,0.5343,0.2571,0.2675,0.373,0.7983,-0.7786,0.0,-0.2158,0.0159,0.3167,0.5439,1.0,4.8571,0.018,0.3824,0.4833,1.0,4.1,no single dominant feature; multivariate behavioral shift
V0097,8,8,8,9,1.1918,0.1328,0.075,0.1716,0.0261,0.5266,0.2966,0.0,-0.5114,0.0137,0.1471,0.4323,1.0,5.875,0.0136,0.2039,0.4222,1.0,4.8889,no single dominant feature; multivariate behavioral shift
V0098,7,7,9,7,1.2528,0.1384,0.0857,0.1748,-0.0531,-0.4945,0.8503,0.0,-0.1927,0.0169,0.1833,0.4684,1.0,6.5556,0.013,0.0577,0.7536,1.0,6.7143,no single dominant feature; multivariate behavioral shift
V0099,5,6,5,7,1.8591,0.6198,0.2333,0.2948,0.1051,0.1099,1.1587,0.0,-1.1563,0.0139,0.1818,0.3202,1.0,6.2,0.0146,0.1538,0.6605,1.0,4.2857,no single dominant feature; multivariate behavioral shift
V0100,8,9,11,15,2.5376,0.9575,0.2889,0.4185,0.6031,0.5128,0.3048,0.0,-0.9893,0.0179,0.0271,0.5516,1.0,6.0909,0.0196,0.1172,0.5574,1.0,4.5333,no single dominant feature; multivariate behavioral shift
V0103,4,5,4,7,6.7925,0.234,0.12,0.3813,0.5692,0.4595,0.2361,-1.4286,-0.413,0.0116,0.2636,0.5089,1.0,5.0,0.0176,0.2797,0.6429,0.8571,4.4286,no single dominant feature; multivariate behavioral shift
V0104,6,6,7,9,1.6207,0.0894,0.0333,0.1802,0.4737,0.8571,-0.4035,0.0,-0.1499,0.0155,0.1923,0.5,1.0,5.5714,0.018,0.3,0.3194,1.0,5.5556,no single dominant feature; multivariate behavioral shift
V0106,5,6,6,7,1.0941,0.4435,0.1333,0.1965,0.1823,-0.1437,-0.0991,0.0,-1.5417,0.0156,0.2821,0.4167,1.0,5.8333,0.0145,0.1834,0.4633,1.0,3.7143,network exposure decreased (1.5 robust deviations)
V0107,6,7,8,11,1.7911,0.7361,0.1714,0.2984,0.4949,1.0261,-0.5019,0.0,-1.4103,0.0182,0.1842,0.5201,1.0,5.625,0.019,0.3282,0.4136,1.0,4.4545,no single dominant feature; multivariate behavioral shift
V0110,5,5,8,6,0.9198,0.1478,0.12,0.1429,0.282,0.068,-0.546,0.0,-0.4497,0.0222,0.2347,0.6021,1.0,4.625,0.0156,0.1905,0.5139,1.0,3.6667,no single dominant feature; multivariate behavioral shift
V0112,6,6,8,7,1.4033,0.3512,0.2,0.2336,-0.0664,0.4835,1.0031,0.0,0.1445,0.0187,0.2571,0.3687,0.875,4.5,0.0146,0.2769,0.5381,1.0,4.8571,no single dominant feature; multivariate behavioral shift
V0113,12,12,19,27,5.3782,1.3623,0.3167,0.6069,1.3273,0.175,0.332,-1.1111,-1.51,0.0199,0.1061,0.4887,1.0,6.5263,0.0288,0.1107,0.5059,0.8889,4.4815,network exposure decreased (1.5 robust deviations)
V0114,10,11,15,16,0.6765,0.5039,0.1091,0.1875,-0.1185,0.2325,-0.0663,-0.625,-0.3794,0.0198,0.1982,0.5196,0.9333,6.4,0.0185,0.1891,0.6252,0.9375,6.4375,no single dominant feature; multivariate behavioral shift
V0115,6,7,8,8,2.5321,0.677,0.1429,0.3334,0.0376,1.0714,-1.0135,-1.25,-0.3372,0.0169,0.1786,0.7455,0.875,5.75,0.0142,0.3214,0.3833,0.875,5.625,no single dominant feature; multivariate behavioral shift
V0117,7,8,8,12,1.9118,0.8537,0.2,0.3352,0.6249,0.2937,-1.1901,-0.8333,0.2248,0.0155,0.0214,0.6974,0.875,5.25,0.0196,0.0722,0.5435,0.9167,4.6667,no single dominant feature; multivariate behavioral shift
V0119,14,14,29,35,9.0172,0.8641,0.2286,0.5955,0.2573,-0.3571,0.228,-2.0,-1.2639,0.0266,0.2607,0.4689,1.0,5.8276,0.031,0.125,0.5474,0.8,4.5429,market breadth decreased (2.0 robust deviations)
V0120,14,15,23,21,1.4086,0.6653,0.1333,0.2885,0.1414,0.7792,0.6942,-0.4762,0.0165,0.022,0.185,0.4361,0.913,5.3478,0.0168,0.2727,0.4867,0.9524,5.3333,no single dominant feature; multivariate behavioral shift
V0121,12,12,21,22,1.042,1.0677,0.2333,0.3192,0.3812,0.4402,0.5068,-0.4545,-0.5587,0.0237,0.1947,0.38,0.9524,5.8095,0.0227,0.2234,0.4686,0.9545,4.8182,no single dominant feature; multivariate behavioral shift
V0122,11,12,16,20,1.1521,0.4925,0.1333,0.2433,0.5671,0.4579,-0.6143,0.0,-0.0944,0.0193,0.0758,0.6436,0.9375,4.9375,0.02,0.141,0.561,1.0,5.1,no single dominant feature; multivariate behavioral shift
V0123,11,12,21,24,1.6878,0.1746,0.1,0.2403,-0.1229,0.3524,-0.757,-1.25,-0.1499,0.0249,0.1926,0.546,0.9524,5.0476,0.024,0.2067,0.4694,0.875,5.1667,no single dominant feature; multivariate behavioral shift
V0125,8,9,10,11,1.591,0.1838,0.1111,0.222,0.2076,0.3481,0.0153,0.0,-0.2126,0.0167,0.0179,0.4594,1.0,6.0,0.0151,0.0756,0.4971,1.0,5.4545,no single dominant feature; multivariate behavioral shift
V0126,10,10,12,18,2.8346,0.4838,0.2,0.3884,0.8075,-0.1667,0.3542,-0.5556,-0.5276,0.0165,0.3,0.4046,1.0,6.3333,0.0219,0.1833,0.5245,0.9444,5.7778,no single dominant feature; multivariate behavioral shift
