vendor_a,vendor_b,shared_tenders,expected_conditional_shared,conditional_enrichment,weighted_market_overlap,market_count,market_concentration,shrunk_win_uplift,persistence,enrichment_signal,win_effect_signal,specialization_discount,breadth_signal,relationship_strength,context_adjusted_strength
V0010,V0113,12,9.3228,1.2872,0.4875,3,0.5,-0.1092,1.0,0.34502272530879274,0.0,0.725,0.75,0.43325795385807747,0.31411201654710613
V0020,V0295,18,16.7544,1.0743,0.3691,3,0.5556,0.0589,1.0,0.3042767362056157,0.09816666666666667,0.69442,0.75,0.4484468576719655,0.3114104669045663
V0026,V0481,12,9.8079,1.2235,0.3218,3,0.5,-0.1252,1.0,0.3332432988351805,0.0,0.725,0.75,0.42913515459231316,0.31112298707942704
V0020,V0223,14,11.1579,1.2547,0.4004,2,0.6429,0.1741,1.0,0.3390543930892901,0.2901666666666667,0.6464049999999999,0.5,0.48071903758125156,0.31073918948770884
V0010,V0481,18,18.7553,0.9597,0.3556,3,0.4444,-0.087,1.0,0.2805758065979739,0.0,0.7555799999999999,0.75,0.41070153230929085,0.31031786378225396
V0050,V0307,6,3.0658,1.9571,0.381,2,0.5,0.0138,0.9333,0.45215029641060256,0.023,0.725,0.5,0.42681260374371094,0.3094391377141904
V0010,V0026,15,11.1193,1.349,0.4508,3,0.5333,-0.0033,1.0,0.35614136921007405,0.0,0.706685,0.75,0.4371494792235259,0.30892697972507743
V0007,V0244,7,2.6735,2.6183,0.3247,2,0.5714,-0.0418,0.9333,0.5363054495596834,0.0,0.68573,0.5,0.4493669073458892,0.30814436937429657
V0020,V0113,12,10.6491,1.1269,0.3732,3,0.5,-0.0332,1.0,0.31471996675553693,0.0,0.725,0.75,0.4226519883644379,0.3064226915642175
V0144,V0355,13,10.4833,1.2401,0.3846,2,0.5385,0.0851,1.0,0.3363451760703503,0.14183333333333334,0.7038249999999999,0.5,0.4352708116246226,0.3063544789917
V0277,V0407,11,9.4579,1.163,0.2955,3,0.4545,-0.1211,0.9,0.3217388831458753,0.0,0.7500249999999999,0.75,0.40510860910105634,0.3038415845410198
V0119,V0277,13,13.6579,0.9518,0.2789,3,0.4615,-0.0913,0.9667,0.27889125572393436,0.0,0.746175,0.75,0.40345193950337704,0.3010457509589324
V0066,V0219,9,4.875,1.8462,0.2943,2,0.5556,0.0354,0.9333,0.43620953055499656,0.059000000000000004,0.69442,0.5,0.4320333356942488,0.30001258897280025
V0277,V0481,18,16.138,1.1154,0.6111,3,0.6667,0.1023,1.0,0.31245898368090086,0.1705,0.6333150000000001,0.75,0.4730106442883153,0.29956473618745444
V0020,V0144,20,17.0614,1.1722,0.418,3,0.55,-0.0884,1.0,0.32350890702515994,0.0,0.6975,0.75,0.42572811745880595,0.29694536192751714
V0010,V0295,17,16.2193,1.0481,0.3382,3,0.5294,-0.0207,1.0,0.2989757485419963,0.0,0.70883,0.75,0.4171415119896987,0.29568241794365807
V0026,V0277,10,8.3579,1.1965,0.3229,2,0.5,0.0358,1.0,0.32814826959286536,0.059666666666666666,0.725,0.5,0.40775189435750286,0.2956201234091896
V0113,V0184,14,10.3085,1.3581,0.4118,2,0.5714,0.0597,1.0,0.3577538267698645,0.0995,0.68573,0.5,0.4300638393694526,0.2949076765708147
V0132,V0370,6,2.9877,2.0083,0.1667,2,0.5,0.0052,0.8333,0.4593091064697419,0.008666666666666666,0.725,0.5,0.4050181872644097,0.29363818576669704
V0184,V0277,19,16.425,1.1568,0.4508,3,0.5789,-0.0996,1.0,0.32054178948309786,0.0,0.681605,0.75,0.42468962631908425,0.28947057274721943
V0172,V0368,6,3.136,1.9133,0.1632,2,0.5,0.0,0.8333,0.44592708923372276,0.0,0.725,0.5,0.397734481231803,0.2883574988930572
V0041,V0050,6,3.9,1.5385,0.4875,2,0.5,-0.0098,0.9333,0.38849626419178657,0.0,0.725,0.5,0.3976336924671253,0.28828442703866586
V0066,V0309,6,2.9338,2.0451,0.2132,2,0.5,-0.0617,0.8,0.46437963908474006,0.0,0.725,0.5,0.39753287367965906,0.2882113334177528
V0119,V0355,15,12.1932,1.2302,0.4305,3,0.6,-0.1374,1.0,0.33449803944651635,0.0,0.6699999999999999,0.75,0.4295743138062807,0.287814790250208
V0119,V0407,9,5.7833,1.5562,0.3333,2,0.5556,-0.039,1.0,0.39139398261551744,0.0,0.69442,0.5,0.4119878939154311,0.2860926332927537
V0223,V0481,10,7.2842,1.3728,0.3348,2,0.5,-0.0707,0.9667,0.36034546721181465,0.0,0.725,0.5,0.39446091352413515,0.28598416230499796
V0132,V0379,6,4.05,1.4815,0.1861,2,0.5,-0.0445,0.9333,0.3790254004649273,0.0,0.725,0.5,0.39431889016272453,0.2858811953679753
V0041,V0460,6,4.4333,1.3534,0.5938,2,0.5,-0.0098,0.9667,0.3569217975265834,0.0,0.725,0.5,0.3932626291343042,0.2851154061223705
V0307,V0481,9,5.9342,1.5166,0.3762,2,0.5556,-0.0067,1.0,0.38488285733124844,0.0,0.69442,0.5,0.40970900006593697,0.28451012382578794
V0219,V0327,7,3.825,1.8301,0.2513,2,0.5714,0.0,0.9333,0.43384382067105276,0.0,0.68573,0.5,0.4135053372348685,0.28355301490206636
V0050,V0295,6,6.45,0.9302,0.575,2,0.5,0.0354,1.0,0.27425035277852,0.059000000000000004,0.725,0.5,0.38868762347248204,0.2817985270175495
V0307,V0407,6,4.8421,1.2391,0.4667,2,0.5,0.0433,0.8667,0.336158967641009,0.07216666666666667,0.725,0.5,0.38764563867435314,0.28104308803890604
V0123,V0309,6,3.5351,1.6973,0.2009,2,0.5,0.0,0.8333,0.41380092113811606,0.0,0.725,0.5,0.38649032239834064,0.28020548373879695
V0025,V0355,13,9.8667,1.3176,0.3485,2,0.5385,-0.0777,1.0,0.3505291398702718,0.0,0.7038249999999999,0.5,0.39768519895459514,0.2799007851542179
V0026,V0144,9,6.5167,1.3811,0.324,2,0.5556,-0.0358,1.0,0.3618016915185572,0.0,0.69442,0.5,0.40163059203149504,0.2789003157185108
V0050,V0481,9,6.8342,1.3169,0.3466,2,0.5556,-0.1591,1.0,0.3504031618030728,0.0,0.69442,0.5,0.3976411066310755,0.27612993726675145
V0093,V0132,6,3.5802,1.6759,0.1548,2,0.5,-0.0943,0.8,0.41047904949213665,0.0,0.725,0.5,0.3786676673222478,0.2745340588086297
V0050,V0119,8,7.75,1.0323,0.254,2,0.5,-0.065,1.0,0.2957460922747127,0.0,0.725,0.5,0.37851113229614947,0.27442057091470834
V0182,V0483,7,4.111,1.7028,0.1651,2,0.5714,-0.0866,0.9,0.414650416127447,0.0,0.68573,0.5,0.4001276456446065,0.274379530447876
V0295,V0460,7,6.7333,1.0396,0.5556,2,0.5714,0.0688,0.9333,0.2972413842607363,0.11466666666666667,0.68573,0.5,0.4000944844912578,0.27435679085019016
V0119,V0184,10,8.993,1.112,0.3033,2,0.5,-0.1015,0.9667,0.3117881645312709,0.0,0.725,0.5,0.3774658575859448,0.27366274674981
V0259,V0513,7,4.1717,1.678,0.1959,2,0.5714,-0.0259,0.9,0.4108062009394567,0.0,0.68573,0.5,0.39878217032880986,0.27345689765957476
V0061,V0080,7,3.625,1.931,0.2773,2,0.5714,-0.1781,0.8333,0.4484531388536487,0.0,0.68573,0.5,0.3986185985987771,0.2733447316171394
V0066,V0327,6,3.975,1.5094,0.2039,2,0.5,0.0,0.8333,0.3836880163952119,0.0,0.725,0.5,0.3759508057383242,0.272564334160285
V0295,V0481,11,9.3579,1.1755,0.3346,2,0.5455,-0.0058,1.0,0.3241419806760486,0.0,0.699975,0.5,0.38844969323661704,0.271905074023301
V0407,V0481,8,7.2579,1.1022,0.2819,2,0.625,0.0962,0.9,0.30984856754817564,0.16033333333333333,0.65625,0.5,0.4115469986418615,0.2700777178587216
V0119,V0144,13,11.8833,1.094,0.3691,2,0.5385,-0.0823,1.0,0.30821867861886854,0.0,0.7038249999999999,0.5,0.382876537516604,0.2694780790176238
V0277,V0460,7,5.4105,1.2938,0.2347,2,0.5714,-0.0652,0.9667,0.34622439118428255,0.0,0.68573,0.5,0.3895185369144989,0.2671045463183793
V0034,V0256,6,4.1035,1.4622,0.1539,2,0.5,0.0,0.8,0.37576922956265557,0.0,0.725,0.5,0.3665192303469295,0.2657264420015239
V0119,V0307,6,5.75,1.0435,0.4154,2,0.5,-0.0042,0.9333,0.29803804700285097,0.0,0.725,0.5,0.3659733164509979,0.26533065442697346
V0026,V0295,6,6.3123,0.9505,0.2153,2,0.5,-0.055,0.9667,0.27861339798418744,0.0,0.725,0.5,0.36585468929446563,0.26524464973848755
V0020,V0184,15,14.807,1.013,0.4646,2,0.6667,0.0822,1.0,0.2917667650435721,0.137,0.6333150000000001,0.5,0.4182183677652503,0.2648639655812495
V0223,V0295,11,7.4421,1.4781,0.4163,2,0.6364,-0.2266,1.0,0.3784536163077514,0.0,0.64998,0.5,0.407458765707713,0.2648400485346993
V0184,V0223,9,7.1474,1.2592,0.2963,2,0.5556,-0.0871,0.9333,0.3398858897476616,0.0,0.69442,0.5,0.3806200614116816,0.26431018304549997
V0041,V0407,6,4.9667,1.2081,0.475,2,0.5,-0.0666,0.8667,0.3303448762880872,0.0,0.725,0.5,0.3639607067008305,0.26387151235810213
V0144,V0407,8,5.9833,1.337,0.2759,2,0.625,-0.0904,1.0,0.35400547521246933,0.0,0.65625,0.5,0.3989019163243643,0.26177938258786404
V0026,V0184,10,7.6596,1.3055,0.3583,2,0.6,-0.055,0.9667,0.34834614427919597,0.0,0.6699999999999999,0.5,0.3902611504977186,0.26147497083347143
V0223,V0277,11,8.4842,1.2965,0.359,2,0.6364,-0.1275,1.0,0.34671498551872704,0.0,0.64998,0.5,0.39635024493155446,0.2576197322006118
V0195,V0379,7,5.525,1.267,0.3841,2,0.5714,-0.1051,0.9,0.341323234926037,0.0,0.68573,0.5,0.374463132224113,0.25678060366004096
V0184,V0355,10,10.1053,0.9896,0.3067,2,0.6,0.0139,1.0,0.28689059998197153,0.023166666666666665,0.6699999999999999,0.5,0.38236170999369007,0.2561823456957723
V0025,V0119,15,13.2667,1.1307,0.4429,2,0.8,0.1251,1.0,0.3154643877947169,0.2085,0.5599999999999999,0.5,0.4479625357281509,0.2508590200077645
V0010,V0144,18,15.0833,1.1934,0.4907,2,0.6667,0.001,1.0,0.32755928094696946,0.0016666666666666668,0.6333150000000001,0.5,0.39014574833143933,0.24708515460452554
V0277,V0307,8,6.4842,1.2338,0.2935,2,0.625,0.0334,0.8333,0.3351706724817291,0.05566666666666667,0.65625,0.5,0.3756697353686052,0.24653326383564717
V0144,V0277,10,8.6105,1.1614,0.2976,2,0.7,0.0213,1.0,0.3214302845626144,0.035500000000000004,0.615,0.5,0.39815059959691507,0.24486261875210277
V0020,V0041,12,10.5333,1.1392,0.5652,2,0.6667,-0.0989,1.0,0.3171247451846006,0.0,0.6333150000000001,0.5,0.38599366081461023,0.2444555752988049
V0113,V0355,7,6.9868,1.0019,0.2381,2,0.5714,-0.0142,0.9,0.28946081902297377,0.0,0.68573,0.5,0.35631128665804085,0.24433333860001832
V0041,V0144,10,7.6667,1.3043,0.335,2,0.7,-0.1093,1.0,0.34812902471608564,0.0,0.615,0.5,0.39684515865062997,0.24405977257013742
V0016,V0242,7,5.5127,1.2698,0.1929,2,0.5714,0.0,0.8,0.34183799900831874,0.0,0.68573,0.5,0.3546432996529116,0.24318954987099103
V0010,V0184,15,13.7509,1.0908,0.4924,2,0.6667,-0.0666,1.0,0.30758089238647374,0.0,0.6333150000000001,0.5,0.38265331233526584,0.2423400825016089
V0010,V0223,14,10.4947,1.334,0.4354,2,0.7143,-0.1137,1.0,0.3534697880592695,0.0,0.607135,0.5,0.39871442582074434,0.2420734829206776
V0025,V0277,12,11.0,1.0909,0.3429,2,0.75,0.0539,1.0,0.30760083797757326,0.08983333333333335,0.5874999999999999,0.5,0.40961029329215065,0.24064604730913847
V0090,V0119,3,0.2807,10.6875,0.6,1,1.0,0.0,0.7333,1.0,0.0,0.44999999999999996,0.25,0.53416,0.24037199999999997
V0050,V0144,9,7.95,1.1321,0.2874,2,0.6667,-0.019,0.9667,0.3157383135566506,0.0,0.6333150000000001,0.5,0.37884840974482775,0.23993038061754562
V0178,V0502,6,6.4813,0.9257,0.1307,2,0.5,0.0,0.8,0.27327696310897465,0.0,0.725,0.5,0.33064693708814114,0.23971902938890233
V0050,V0355,8,7.75,1.0323,0.4088,2,0.625,-0.1411,0.9333,0.2957460922747127,0.0,0.65625,0.5,0.36517113229614945,0.23964355556934808
V0184,V0295,9,9.2596,0.972,0.3026,2,0.6667,0.0059,1.0,0.28318511816739467,0.009833333333333333,0.6333150000000001,0.5,0.3770647913585881,0.23880078833926427
V0010,V0041,10,9.3667,1.0676,0.438,2,0.7,0.0091,1.0,0.30292753923821025,0.015166666666666669,0.615,0.5,0.3855746387333736,0.23712840282102476
V0025,V0050,11,9.0,1.2222,0.3242,2,0.7273,-0.1191,1.0,0.33299940377959686,0.0,0.599985,0.5,0.3915497913228589,0.23492400154684548
V0184,V0407,10,7.393,1.3526,0.4017,2,0.7,-0.0871,0.9,0.3567800100568201,0.0,0.615,0.5,0.37987300351988706,0.23362189716473053
V0119,V0223,7,7.4,0.9459,0.216,2,0.5714,-0.1283,0.8333,0.27762871987527005,0.0,0.68573,0.5,0.3388300519563446,0.23234593152802416
V0304,V0438,3,0.5217,5.75,0.4286,1,1.0,-0.0261,0.9667,0.7963410773382028,0.0,0.44999999999999996,0.25,0.509559377068371,0.2293017196807669
V0025,V0295,11,12.5333,0.8777,0.2915,2,0.7273,0.0233,1.0,0.26275026718800604,0.03883333333333334,0.599985,0.5,0.3786125935158021,0.22716187692057854
V0020,V0025,18,18.3333,0.9818,0.4496,2,0.7778,0.0365,1.0,0.28525245885506073,0.06083333333333333,0.5722099999999999,0.5,0.39308836059927127,0.22492909081850898
V0146,V0258,3,0.3333,9.0,0.5,1,1.0,0.0,0.6141,0.9602525677891275,0.0,0.44999999999999996,0.25,0.4964083987261946,0.22338377942678753
V0309,V0327,3,1.0588,2.8333,0.5,1,1.0,0.1619,0.9,0.5603772884722233,0.2698333333333333,0.44999999999999996,0.25,0.4945820509652782,0.22256192293437516
V0332,V0362,3,0.3976,7.5455,0.2727,1,1.0,0.0,0.7,0.8947033062468617,0.0,0.44999999999999996,0.25,0.4906461571864015,0.22079077073388065
V0421,V0547,3,0.4478,6.7,0.375,1,1.0,0.0,0.7667,0.8512549951681214,0.0,0.44999999999999996,0.25,0.4887792483088425,0.21995066173897912
V0215,V0321,3,0.45,6.6667,1.0,1,1.0,0.0,0.7667,0.8494475543548681,0.0,0.44999999999999996,0.25,0.4881466440242038,0.2196659898108917
V0267,V0451,3,0.4321,6.9429,0.3333,1,1.0,0.0,0.7333,0.8642072368122015,0.0,0.44999999999999996,0.25,0.48663253288427044,0.21898463979792168
V0047,V0509,3,0.4375,6.8571,0.4286,1,1.0,0.0,0.7333,0.8596779037856519,0.0,0.44999999999999996,0.25,0.4850472663249781,0.21827126984624012
V0278,V0309,4,0.625,6.4,0.6667,1,1.0,0.0,0.7667,0.8346819908754292,0.0,0.44999999999999996,0.25,0.4829786968064002,0.21734041356288009
V0184,V0481,14,12.8526,1.0893,0.5444,2,0.7857,-0.0847,1.0,0.307281593989791,0.0,0.5678650000000001,0.5,0.3825485578964269,0.21723593682985448
V0090,V0528,3,0.4762,6.3,0.375,1,1.0,0.0,0.7667,0.8290079932617215,0.0,0.44999999999999996,0.25,0.4809927976416025,0.21644675893872112
V0010,V0025,18,17.8667,1.0075,0.4573,2,0.7778,-0.0373,1.0,0.2906257728368183,0.0,0.5722099999999999,0.5,0.3767190204928864,0.21556239071623448
V0197,V0488,3,0.5143,5.8333,0.5,1,1.0,0.0,0.8,0.8014560690854541,0.0,0.44999999999999996,0.25,0.47800962417990894,0.215104330880959
V0121,V0166,3,0.44,6.8182,0.2727,1,1.0,0.0,0.7,0.8576080750323692,0.0,0.44999999999999996,0.25,0.47766282626132917,0.2149482718175981
V0186,V0284,3,0.4444,6.75,0.3,1,1.0,0.0,0.7,0.8539542433709271,0.0,0.44999999999999996,0.25,0.4763839851798244,0.21437279333092096
V0368,V0516,3,0.5224,5.7429,0.3333,1,1.0,0.0,0.8,0.7959021901823808,0.0,0.44999999999999996,0.25,0.47606576656383326,0.21422959495372496
V0119,V0262,3,0.4706,6.375,0.375,1,1.0,0.0,0.7333,0.8332707124002472,0.0,0.44999999999999996,0.25,0.47580474934008643,0.21411213720303887
V0025,V0144,16,13.9167,1.1497,0.4393,2,0.8125,-0.1298,1.0,0.31916669013939303,0.0,0.553125,0.5,0.3867083415487876,0.21389805141917312
V0274,V0363,3,0.4746,6.3214,0.375,1,1.0,0.0,0.7333,0.830228738135539,0.0,0.44999999999999996,0.25,0.4747400583474386,0.21363302625634734
V0200,V0538,3,0.4762,6.3,0.375,1,1.0,0.0,0.7333,0.8290079932617215,0.0,0.44999999999999996,0.25,0.4743127976416025,0.2134407589387211
V0214,V0494,3,0.4828,6.2143,0.375,1,1.0,0.0,0.7333,0.8240831823801753,0.0,0.44999999999999996,0.25,0.47258911383306135,0.21266510122487758
V0214,V0334,3,0.4828,6.2143,0.375,1,1.0,0.0,0.7333,0.8240831823801753,0.0,0.44999999999999996,0.25,0.47258911383306135,0.21266510122487758
V0188,V0248,4,1.2581,3.1795,0.2667,1,1.0,0.1051,0.8667,0.5964362323830866,0.17516666666666666,0.44999999999999996,0.25,0.4721426813340803,0.21246420660033613
V0241,V0349,3,0.4898,6.125,0.4286,1,1.0,0.0,0.7333,0.8188888599222099,0.0,0.44999999999999996,0.25,0.4707711009727734,0.21184699543774801
V0072,V0472,3,0.4848,6.1875,0.3333,1,1.0,0.0,0.7,0.8225310873655136,0.0,0.44999999999999996,0.25,0.46538588057792973,0.20942364626006835
V0384,V0454,3,0.5172,5.8,0.375,1,1.0,0.0,0.7333,0.799418821133498,0.0,0.44999999999999996,0.25,0.4639565873967243,0.2087804643285259
V0202,V0229,3,0.5238,5.7273,0.2727,1,1.0,0.0,0.7333,0.7949362493329866,0.0,0.44999999999999996,0.25,0.4623876872665452,0.20807445926994533
V0022,V0420,3,0.5263,5.7,0.375,1,1.0,0.0,0.7333,0.7932404504793654,0.0,0.44999999999999996,0.25,0.46179415766777787,0.20780737095050003
V0230,V0275,3,0.7831,3.8308,0.2,1,1.0,0.0285,0.9,0.6568310565044095,0.0475,0.44999999999999996,0.25,0.4616408697765433,0.20773839139944444
V0200,V0408,3,0.6316,4.75,0.25,1,1.0,0.0,0.8333,0.7294729985300498,0.0,0.44999999999999996,0.25,0.4594755494855174,0.2067639972684828
V0132,V0292,3,0.6,5.0,0.4286,1,1.0,0.0,0.8,0.7472217363092141,0.0,0.44999999999999996,0.25,0.4590276077082249,0.20656242346870118
V0353,V0376,3,0.5714,5.25,0.3,1,1.0,0.0,0.7667,0.7642458303067036,0.0,0.44999999999999996,0.25,0.4583260406073462,0.2062467182733058
V0391,V0455,3,0.5455,5.5,0.3,1,1.0,0.0,0.7333,0.7806021381063808,0.0,0.44999999999999996,0.25,0.45737074833723323,0.20581683675175494
V0175,V0459,3,0.5172,5.8,0.375,1,1.0,0.0,0.7,0.799418821133498,0.0,0.44999999999999996,0.25,0.4572965873967243,0.2057834643285259
V0016,V0451,3,0.5185,5.7857,0.3,1,1.0,0.0,0.7,0.7985409031167966,0.0,0.44999999999999996,0.25,0.4569893160908788,0.20564519224089542
V0016,V0284,3,0.5806,5.1667,0.25,1,1.0,0.0,0.7667,0.7586502502605049,0.0,0.44999999999999996,0.25,0.45636758759117674,0.2053654144160295
