address_id,district,state,postal_code
ADDR-0103,Hubballi,TAMIL_NADU,586227
ADDR-0104,Bengaluru Urban,TAMIL_NADU,543230
ADDR-0105,Mysuru,TAMIL_NADU,526333
ADDR-0106,Bengaluru Urban,KARNATAKA,514661
ADDR-0107,Mangaluru,TAMIL_NADU,580277
ADDR-0108,Tirupati,KARNATAKA,532015
ADDR-0109,Coimbatore,ANDHRA_PRADESH,546846
ADDR-0110,Bengaluru Urban,KARNATAKA,596316
ADDR-0111,Shivamogga,KARNATAKA,576871
ADDR-0112,Bengaluru Urban,ANDHRA_PRADESH,551738
ADDR-0113,Hubballi,TAMIL_NADU,587780
ADDR-0114,Shivamogga,KARNATAKA,555427
ADDR-0115,Mysuru,TAMIL_NADU,591933
ADDR-0116,Tirupati,ANDHRA_PRADESH,500893
ADDR-0117,Mysuru,TAMIL_NADU,548255
ADDR-0118,Bengaluru Urban,TAMIL_NADU,528204
ADDR-0119,Tumakuru,TAMIL_NADU,523199
ADDR-0120,Coimbatore,KARNATAKA,573967
ADDR-0121,Mangaluru,TAMIL_NADU,506803
ADDR-0122,Mysuru,ANDHRA_PRADESH,541955
ADDR-0123,Chennai,KARNATAKA,580445
ADDR-0124,Bengaluru Urban,ANDHRA_PRADESH,589710
ADDR-0125,Coimbatore,ANDHRA_PRADESH,543338
ADDR-0126,Mangaluru,KARNATAKA,577265
ADDR-0127,Tirupati,TAMIL_NADU,554658
ADDR-0128,Shivamogga,ANDHRA_PRADESH,571284
ADDR-0129,Hubballi,TAMIL_NADU,557263
ADDR-0130,Mangaluru,KARNATAKA,525482
ADDR-0131,Shivamogga,KARNATAKA,523838
ADDR-0132,Bengaluru Urban,ANDHRA_PRADESH,504206
ADDR-0133,Coimbatore,ANDHRA_PRADESH,571553
ADDR-0134,Bengaluru Urban,ANDHRA_PRADESH,545327
ADDR-0135,Bengaluru Urban,TAMIL_NADU,520146
ADDR-0136,Coimbatore,ANDHRA_PRADESH,572211
ADDR-0137,Coimbatore,ANDHRA_PRADESH,567923
ADDR-0138,Belagavi,TAMIL_NADU,541072
ADDR-0139,Shivamogga,TAMIL_NADU,543667
