vendor_a,vendor_b,observed_shared_tenders,vendor_a_tenders,vendor_b_tenders,expected_shared_tenders,enrichment_ratio,p_value,surprise_score,dominant_category,category_share,dominant_region,region_share,context_concentration,contextual_adjustment,contextual_enrichment
V0032,V0492,3,14,14,0.078,38.265,4.911764964970875e-05,4.309,VEHICLE_SUPPLIES,1.0,TN-NORTH,0.429,0.771,0.653,24.982
V0073,V0074,18,44,28,0.493,36.526,5.719437607362663e-27,26.243,ROAD_CONSTRUCTION,1.0,KA-CENTRAL,0.267,0.707,0.682,24.906
V0181,V0479,3,14,14,0.078,38.265,4.911764964970875e-05,4.309,IT_SERVICES,1.0,KA-CENTRAL,0.444,0.778,0.65,24.872
V0146,V0315,5,19,17,0.129,38.7,8.391126441608586e-08,7.076,IT_SERVICES,1.0,KA-NORTH,0.486,0.794,0.643,24.868
V0056,V0507,4,17,16,0.109,36.765,2.5372498838420272e-06,5.596,ELECTRICAL_EQUIPMENT,1.0,KA-NORTH,0.303,0.721,0.675,24.833
V0314,V0527,3,13,15,0.078,38.462,4.825505387646059e-05,4.316,IT_SERVICES,1.0,TN-NORTH,0.5,0.8,0.64,24.616
V0086,V0233,5,20,16,0.128,39.062,7.90546938872332e-08,7.102,IT_SERVICES,1.0,KA-NORTH,0.571,0.829,0.627,24.497
V0115,V0236,3,16,12,0.077,39.062,4.572648252981568e-05,4.34,VEHICLE_SUPPLIES,1.0,KA-BENGALURU,0.571,0.829,0.627,24.497
V0099,V0296,3,12,16,0.077,39.062,4.572648252981568e-05,4.34,ROAD_CONSTRUCTION,1.0,KA-NORTH,0.619,0.848,0.619,24.163
V0239,V0253,3,13,14,0.073,41.209,3.8720495262824385e-05,4.412,VEHICLE_SUPPLIES,1.0,KA-NORTH,0.812,0.925,0.584,24.056
V0085,V0314,3,16,13,0.083,36.058,5.921219637858855e-05,4.228,IT_SERVICES,1.0,TN-NORTH,0.381,0.752,0.661,23.85
V0140,V0479,3,14,14,0.078,38.265,4.911764964970875e-05,4.309,IT_SERVICES,1.0,KA-BENGALURU,0.619,0.848,0.619,23.67
V0140,V0181,3,14,14,0.078,38.265,4.911764964970875e-05,4.309,IT_SERVICES,1.0,KA-BENGALURU,0.636,0.855,0.615,23.55
V0115,V0425,3,16,12,0.077,39.062,4.572648252981568e-05,4.34,VEHICLE_SUPPLIES,1.0,KA-NORTH,0.72,0.888,0.6,23.453
V0085,V0233,4,16,16,0.102,39.062,1.9477567270377485e-06,5.71,IT_SERVICES,1.0,KA-SOUTH,0.739,0.896,0.597,23.318
V0071,V0074,18,47,28,0.526,34.195,2.508814403059401e-26,25.601,ROAD_CONSTRUCTION,1.0,KA-CENTRAL,0.267,0.707,0.682,23.316
V0052,V0053,28,46,44,0.81,34.585,2.6821797681143906e-42,41.572,CIVIL_MAINTENANCE,1.0,KA-NORTH,0.341,0.736,0.669,23.126
V0300,V0358,4,14,17,0.095,42.017,1.4072091488880331e-06,5.852,ROAD_CONSTRUCTION,1.0,KA-NORTH,1.0,1.0,0.55,23.109
V0202,V0229,4,18,14,0.101,39.683,1.8034549512141078e-06,5.744,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.829,0.931,0.581,23.05
V0033,V0058,6,25,17,0.17,35.294,6.050176666240931e-09,8.218,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.486,0.794,0.643,22.679
V0358,V0427,5,17,19,0.129,38.7,8.391126441608586e-08,7.076,ROAD_CONSTRUCTION,1.0,KA-NORTH,0.818,0.927,0.583,22.552
V0060,V0207,3,18,12,0.086,34.722,6.626959894503318e-05,4.179,BUILDING_CONSTRUCTION,1.0,KA-BENGALURU,0.455,0.782,0.648,22.506
V0177,V0507,3,13,16,0.083,36.058,5.921219637858855e-05,4.228,ELECTRICAL_EQUIPMENT,1.0,KA-SOUTH,0.636,0.855,0.615,22.192
V0012,V0439,5,19,19,0.144,34.626,1.5620440990078356e-07,6.806,MEDICAL_SUPPLIES,1.0,KA-SOUTH,0.5,0.8,0.64,22.161
V0233,V0456,4,16,18,0.115,34.722,3.249603575743451e-06,5.488,IT_SERVICES,1.0,KA-NORTH,0.514,0.806,0.637,22.133
V0145,V0236,3,18,12,0.086,34.722,6.626959894503318e-05,4.179,VEHICLE_SUPPLIES,1.0,KA-BENGALURU,0.571,0.829,0.627,21.776
V0243,V0409,5,20,18,0.144,34.722,1.5351538829316812e-07,6.814,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.581,0.832,0.625,21.718
V0112,V0253,3,15,14,0.084,35.714,6.11939904751828e-05,4.213,VEHICLE_SUPPLIES,1.0,KA-SOUTH,0.7,0.88,0.604,21.571
V0262,V0543,5,26,14,0.146,34.341,1.5249298921289464e-07,6.817,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.568,0.827,0.628,21.561
V0018,V0107,3,12,19,0.091,32.895,7.848197555450034e-05,4.105,BUILDING_CONSTRUCTION,1.0,TN-NORTH,0.421,0.768,0.654,21.52
V0112,V0217,4,15,19,0.114,35.088,3.0900989164871186e-06,5.51,VEHICLE_SUPPLIES,1.0,KA-CENTRAL,0.654,0.862,0.612,21.485
V0115,V0145,4,16,18,0.115,34.722,3.249603575743451e-06,5.488,VEHICLE_SUPPLIES,1.0,KA-NORTH,0.636,0.855,0.615,21.37
V0147,V0240,3,11,21,0.092,32.468,8.078970569206333e-05,4.093,MEDICAL_SUPPLIES,1.0,KA-SOUTH,0.409,0.764,0.656,21.311
V0089,V0480,3,16,14,0.09,33.482,7.506654915134263e-05,4.125,ROAD_CONSTRUCTION,1.0,KA-CENTRAL,0.52,0.808,0.636,21.308
V0081,V0399,3,25,9,0.09,33.333,7.138208562634296e-05,4.146,ROAD_CONSTRUCTION,1.0,KA-SOUTH,0.52,0.808,0.636,21.213
V0092,V0473,5,20,19,0.152,32.895,2.0729582044547645e-07,6.683,FURNITURE,1.0,KA-SOUTH,0.488,0.795,0.642,21.122
V0076,V0541,6,22,20,0.176,34.091,7.941831959160277e-09,8.1,BUILDING_CONSTRUCTION,1.0,KA-SOUTH,0.619,0.848,0.619,21.088
V0471,V0543,3,14,14,0.078,38.265,4.911764964970875e-05,4.309,MEDICAL_SUPPLIES,1.0,KA-NORTH,1.0,1.0,0.55,21.046
V0032,V0160,3,14,16,0.09,33.482,7.506654915134263e-05,4.125,VEHICLE_SUPPLIES,1.0,KA-SOUTH,0.571,0.829,0.627,20.998
V0046,V0235,3,20,11,0.088,34.091,6.941556645959943e-05,4.159,BUILDING_CONSTRUCTION,1.0,KA-NORTH,0.636,0.855,0.615,20.981
V0104,V0264,4,16,18,0.115,34.722,3.249603575743451e-06,5.488,MEDICAL_SUPPLIES,1.0,KA-SOUTH,0.704,0.881,0.603,20.949
V0051,V0053,28,51,44,0.898,31.194,1.8142266177102819e-40,39.741,CIVIL_MAINTENANCE,1.0,KA-NORTH,0.342,0.737,0.668,20.85
V0032,V0221,3,14,15,0.084,35.714,6.11939904751828e-05,4.213,VEHICLE_SUPPLIES,1.0,KA-NORTH,0.812,0.925,0.584,20.848
V0147,V0264,3,11,18,0.079,37.879,4.992717072306395e-05,4.302,MEDICAL_SUPPLIES,1.0,KA-SOUTH,1.0,1.0,0.55,20.833
V0009,V0110,3,17,14,0.095,31.513,9.08506934375829e-05,4.042,ROAD_CONSTRUCTION,1.0,KA-BENGALURU,0.389,0.756,0.66,20.799
V0217,V0236,3,19,12,0.091,32.895,7.848197555450034e-05,4.105,VEHICLE_SUPPLIES,1.0,KA-BENGALURU,0.55,0.82,0.631,20.757
V0112,V0115,3,15,16,0.096,31.25,9.34665693209019e-05,4.029,VEHICLE_SUPPLIES,1.0,KA-SOUTH,0.368,0.747,0.664,20.74
V0001,V0024,36,62,47,1.166,30.885,7.378721461586263e-54,53.132,CIVIL_MAINTENANCE,1.0,KA-CENTRAL,0.326,0.731,0.671,20.732
V0341,V0543,3,17,14,0.095,31.513,9.08506934375829e-05,4.042,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.409,0.764,0.656,20.684
V0232,V0331,5,22,18,0.158,31.566,2.5848333152214074e-07,6.588,MEDICAL_SUPPLIES,1.0,KA-SOUTH,0.423,0.769,0.654,20.639
V0536,V0540,6,22,21,0.185,32.468,1.1057223673115654e-08,7.956,MEDICAL_SUPPLIES,1.0,KA-BENGALURU,0.553,0.821,0.631,20.472
V0168,V0202,3,12,18,0.086,34.722,6.626959894503318e-05,4.179,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.783,0.913,0.589,20.456
V0112,V0221,3,15,15,0.09,33.333,7.621655041194007e-05,4.118,VEHICLE_SUPPLIES,1.0,KA-CENTRAL,0.65,0.86,0.613,20.433
V0069,V0393,3,15,15,0.09,33.333,7.621655041194007e-05,4.118,ROAD_CONSTRUCTION,1.0,KA-SOUTH,0.68,0.872,0.608,20.253
V0094,V0099,3,17,12,0.082,36.765,5.537464679705369e-05,4.257,ROAD_CONSTRUCTION,1.0,KA-NORTH,1.0,1.0,0.55,20.221
V0104,V0447,4,16,20,0.128,31.25,5.10560519124972e-06,5.292,MEDICAL_SUPPLIES,1.0,KA-SOUTH,0.5,0.8,0.64,20.0
V0164,V0234,6,24,21,0.202,29.762,1.9740420364547587e-08,7.705,MEDICAL_SUPPLIES,1.0,KA-BENGALURU,0.324,0.729,0.672,19.993
V0057,V0393,3,15,15,0.09,33.333,7.621655041194007e-05,4.118,ROAD_CONSTRUCTION,1.0,KA-CENTRAL,0.75,0.9,0.595,19.833
V0143,V0251,3,13,19,0.099,30.364,0.00010153627236291886,3.993,WATER_INFRASTRUCTURE,1.0,KA-NORTH,0.438,0.775,0.651,19.775
V0072,V0074,19,58,28,0.65,29.249,2.0459581235480234e-26,25.689,ROAD_CONSTRUCTION,1.0,KA-CENTRAL,0.304,0.722,0.675,19.752
V0154,V0306,5,24,17,0.163,30.637,3.006023618216626e-07,6.522,BUILDING_CONSTRUCTION,1.0,KA-NORTH,0.475,0.79,0.644,19.746
V0358,V0487,4,17,18,0.122,32.68,4.230380397926571e-06,5.374,ROAD_CONSTRUCTION,1.0,KA-NORTH,0.7,0.88,0.604,19.739
V0051,V0052,28,51,46,0.938,29.838,1.2051820397637867e-39,38.919,CIVIL_MAINTENANCE,1.0,KA-NORTH,0.384,0.754,0.661,19.718
V0239,V0397,4,13,24,0.125,32.051,4.415982816366721e-06,5.355,VEHICLE_SUPPLIES,1.0,KA-NORTH,0.667,0.867,0.61,19.551
V0191,V0445,5,22,16,0.141,35.511,1.332882416605576e-07,6.875,ROAD_CONSTRUCTION,1.0,KA-SOUTH,1.0,1.0,0.55,19.531
V0356,V0550,4,23,14,0.129,31.056,5.135457951638734e-06,5.289,ROAD_CONSTRUCTION,1.0,KA-BENGALURU,0.565,0.826,0.628,19.511
V0092,V0388,5,20,19,0.152,32.895,2.0729582044547645e-07,6.683,FURNITURE,1.0,KA-CENTRAL,0.771,0.909,0.591,19.446
V0265,V0538,4,15,22,0.132,30.303,5.770157470295633e-06,5.239,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.5,0.8,0.64,19.394
V0104,V0350,3,16,15,0.096,31.25,9.34665693209019e-05,4.029,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.64,0.856,0.615,19.213
V0361,V0468,4,13,26,0.135,29.586,6.177014692232871e-06,5.209,BUILDING_CONSTRUCTION,1.0,KA-CENTRAL,0.464,0.786,0.646,19.125
V0060,V0412,5,18,20,0.144,34.722,1.5351538829316812e-07,6.814,BUILDING_CONSTRUCTION,1.0,KA-SOUTH,1.0,1.0,0.55,19.097
V0009,V0250,3,17,15,0.102,29.412,0.00011308563844579424,3.947,ROAD_CONSTRUCTION,1.0,KA-CENTRAL,0.45,0.78,0.649,19.088
V0284,V0318,3,20,12,0.096,31.25,9.20815891968517e-05,4.036,BUILDING_CONSTRUCTION,1.0,KA-CENTRAL,0.667,0.867,0.61,19.062
V0350,V0538,4,15,22,0.132,30.303,5.770157470295633e-06,5.239,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.562,0.825,0.629,19.053
V0002,V0546,5,22,20,0.176,28.409,4.624225055244152e-07,6.335,FURNITURE,1.0,KA-CENTRAL,0.333,0.733,0.67,19.034
V0229,V0528,4,14,25,0.14,28.571,7.289234083559635e-06,5.137,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.375,0.75,0.662,18.928
V0164,V0409,5,24,18,0.173,28.935,4.135722819624388e-07,6.383,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.433,0.773,0.652,18.866
V0234,V0540,5,21,21,0.176,28.345,4.688339441870758e-07,6.329,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.368,0.747,0.664,18.812
V0103,V0412,3,11,20,0.088,34.091,6.941556645959943e-05,4.159,BUILDING_CONSTRUCTION,1.0,KA-SOUTH,1.0,1.0,0.55,18.75
V0328,V0375,4,20,17,0.136,29.412,6.6422739175584785e-06,5.178,VEHICLE_SUPPLIES,1.0,KA-BENGALURU,0.519,0.807,0.637,18.726
V0236,V0530,4,12,29,0.139,28.736,6.789379361926916e-06,5.168,VEHICLE_SUPPLIES,1.0,KA-BENGALURU,0.444,0.778,0.65,18.678
V0204,V0490,4,23,16,0.147,27.174,9.223730593128292e-06,5.035,MEDICAL_SUPPLIES,1.0,KA-BENGALURU,0.276,0.71,0.68,18.488
V0299,V0542,4,22,16,0.141,28.409,7.649113879840658e-06,5.116,ROAD_CONSTRUCTION,1.0,KA-NORTH,0.448,0.779,0.649,18.446
V0160,V0253,3,16,14,0.09,33.482,7.506654915134263e-05,4.125,VEHICLE_SUPPLIES,1.0,KA-SOUTH,1.0,1.0,0.55,18.415
V0115,V0492,3,16,14,0.09,33.482,7.506654915134263e-05,4.125,VEHICLE_SUPPLIES,1.0,KA-NORTH,1.0,1.0,0.55,18.415
V0115,V0180,3,16,14,0.09,33.482,7.506654915134263e-05,4.125,VEHICLE_SUPPLIES,1.0,KA-NORTH,1.0,1.0,0.55,18.415
V0085,V0514,4,16,22,0.141,28.409,7.649113879840658e-06,5.116,IT_SERVICES,1.0,KA-SOUTH,0.471,0.788,0.645,18.332
V0008,V0233,3,17,16,0.109,27.574,0.000138596805037014,3.858,IT_SERVICES,1.0,TN-NORTH,0.375,0.75,0.662,18.268
V0046,V0284,5,20,20,0.16,31.25,2.750058397404988e-07,6.561,BUILDING_CONSTRUCTION,1.0,KA-NORTH,0.81,0.924,0.584,18.259
V0030,V0479,3,18,14,0.101,29.762,0.00010866014113485668,3.964,IT_SERVICES,1.0,KA-BENGALURU,0.652,0.861,0.613,18.232
V0350,V0505,3,15,18,0.108,27.778,0.00013521312500048226,3.869,MEDICAL_SUPPLIES,1.0,KA-SOUTH,0.429,0.771,0.653,18.135
V0104,V0354,3,16,17,0.109,27.574,0.000138596805037014,3.858,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.409,0.764,0.656,18.099
V0055,V0548,4,16,19,0.122,32.895,4.100295091777223e-06,5.387,BUILDING_CONSTRUCTION,1.0,KA-CENTRAL,1.0,1.0,0.55,18.092
V0099,V0389,3,12,19,0.091,32.895,7.848197555450034e-05,4.105,ROAD_CONSTRUCTION,1.0,KA-NORTH,1.0,1.0,0.55,18.092
V0086,V0456,4,20,18,0.144,27.778,8.496204925919996e-06,5.071,IT_SERVICES,1.0,KA-NORTH,0.455,0.782,0.648,18.005
V0033,V0229,4,25,14,0.14,28.571,7.289234083559635e-06,5.137,MEDICAL_SUPPLIES,1.0,KA-SOUTH,0.556,0.822,0.63,18.0
V0008,V0214,4,17,20,0.136,29.412,6.6422739175584785e-06,5.178,IT_SERVICES,1.0,KA-SOUTH,0.667,0.867,0.61,17.941
V0221,V0441,3,15,17,0.102,29.412,0.00011308563844579424,3.947,VEHICLE_SUPPLIES,1.0,KA-NORTH,0.696,0.878,0.605,17.788
V0265,V0475,4,15,24,0.144,27.778,8.322712279040256e-06,5.08,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.5,0.8,0.64,17.778
V0447,V0505,4,20,18,0.144,27.778,8.496204925919996e-06,5.071,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.5,0.8,0.64,17.778
V0042,V0043,26,49,51,1.0,26.01,2.388462533406612e-34,33.622,ROAD_CONSTRUCTION,0.961,KA-NORTH,0.328,0.708,0.681,17.725
V0136,V0406,6,24,20,0.192,31.25,1.4188343582584696e-08,7.848,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.919,0.968,0.565,17.644
V0202,V0448,3,18,13,0.094,32.051,8.57622798097904e-05,4.067,MEDICAL_SUPPLIES,1.0,KA-NORTH,1.0,1.0,0.55,17.628
V0264,V0498,4,18,19,0.137,29.24,6.827667018394632e-06,5.166,MEDICAL_SUPPLIES,1.0,KA-SOUTH,0.71,0.884,0.602,17.61
V0200,V0408,7,30,21,0.252,27.778,1.7594925316300785e-09,8.755,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.538,0.815,0.633,17.586
V0191,V0520,3,22,12,0.106,28.409,0.00012371769040779302,3.908,ROAD_CONSTRUCTION,1.0,KA-SOUTH,0.625,0.85,0.617,17.543
V0002,V0092,5,22,20,0.176,28.409,4.624225055244152e-07,6.335,FURNITURE,1.0,KA-CENTRAL,0.625,0.85,0.617,17.543
V0056,V0501,4,17,21,0.143,28.011,8.170887525543848e-06,5.088,ELECTRICAL_EQUIPMENT,1.0,KA-NORTH,0.581,0.832,0.625,17.52
V0163,V0430,3,13,20,0.104,28.846,0.00011909496967132934,3.924,ROAD_CONSTRUCTION,1.0,TN-NORTH,0.684,0.874,0.607,17.505
V0024,V0091,36,47,74,1.391,25.877,5.672353171499064e-50,49.246,CIVIL_MAINTENANCE,1.0,KA-CENTRAL,0.325,0.73,0.671,17.375
V0232,V0264,5,22,18,0.158,31.566,2.5848333152214074e-07,6.588,MEDICAL_SUPPLIES,1.0,KA-SOUTH,1.0,1.0,0.55,17.361
V0229,V0341,3,14,17,0.095,31.513,9.08506934375829e-05,4.042,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,1.0,1.0,0.55,17.332
V0343,V0354,3,16,17,0.109,27.574,0.000138596805037014,3.858,MEDICAL_SUPPLIES,1.0,KA-BENGALURU,0.571,0.829,0.627,17.293
V0140,V0146,3,14,19,0.106,28.195,0.00012860697369628245,3.891,IT_SERVICES,1.0,KA-BENGALURU,0.654,0.862,0.612,17.264
V0136,V0265,4,24,15,0.144,27.778,8.322712279040256e-06,5.08,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.609,0.843,0.62,17.234
V0314,V0459,3,13,21,0.109,27.473,0.0001385259653486474,3.858,IT_SERVICES,1.0,KA-SOUTH,0.571,0.829,0.627,17.229
V0204,V0243,5,23,20,0.184,27.174,5.879029443854167e-07,6.231,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.538,0.815,0.633,17.203
V0070,V0315,3,17,17,0.116,25.952,0.00016758810086416504,3.776,IT_SERVICES,1.0,KA-CENTRAL,0.375,0.75,0.662,17.193
V0138,V0457,3,18,15,0.108,27.778,0.00013521312500048226,3.869,BUILDING_CONSTRUCTION,1.0,KA-CENTRAL,0.625,0.85,0.617,17.153
V0090,V0439,4,21,19,0.16,25.063,1.3162058599808073e-05,4.881,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.273,0.709,0.681,17.066
V0497,V0539,3,16,18,0.115,26.042,0.00016566624532926813,3.781,IT_SERVICES,1.0,TN-NORTH,0.421,0.768,0.654,17.037
V0265,V0505,3,15,18,0.108,27.778,0.00013521312500048226,3.869,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.654,0.862,0.612,17.009
V0080,V0321,7,39,16,0.25,28.045,1.3235224127389199e-09,8.878,ELECTRICAL_EQUIPMENT,1.0,KA-BENGALURU,0.688,0.875,0.606,17.002
V0324,V0386,3,13,22,0.114,26.224,0.0001599156958187704,3.796,ROAD_CONSTRUCTION,1.0,KA-CENTRAL,0.458,0.783,0.648,16.98
V0112,V0360,4,15,25,0.15,26.667,9.872929572261191e-06,5.006,VEHICLE_SUPPLIES,1.0,KA-SOUTH,0.519,0.807,0.637,16.978
V0202,V0331,4,18,18,0.13,30.864,5.4146087379959604e-06,5.266,MEDICAL_SUPPLIES,1.0,KA-NORTH,1.0,1.0,0.55,16.975
V0049,V0343,3,17,16,0.109,27.574,0.000138596805037014,3.858,MEDICAL_SUPPLIES,1.0,KA-BENGALURU,0.65,0.86,0.613,16.903
V0401,V0478,5,16,30,0.192,26.042,7.002568500939994e-07,6.155,WATER_INFRASTRUCTURE,1.0,KA-NORTH,0.463,0.785,0.647,16.838
V0145,V0303,5,18,27,0.194,25.72,7.752867408286631e-07,6.111,VEHICLE_SUPPLIES,1.0,KA-NORTH,0.423,0.769,0.654,16.817
V0033,V0096,5,25,17,0.17,29.412,3.742404081105179e-07,6.427,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.88,0.952,0.572,16.812
V0395,V0505,5,26,18,0.187,26.709,6.344826581672291e-07,6.198,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.585,0.834,0.625,16.683
V0071,V0073,20,47,44,0.827,24.178,3.860585871772661e-25,24.413,ROAD_CONSTRUCTION,0.973,KA-SOUTH,0.264,0.689,0.69,16.681
V0047,V0177,8,55,13,0.286,27.972,3.847839330379388e-11,10.415,ELECTRICAL_EQUIPMENT,1.0,KA-SOUTH,0.742,0.897,0.596,16.681
V0189,V0326,3,10,27,0.108,27.778,0.00012828521006194127,3.892,VEHICLE_SUPPLIES,1.0,KA-SOUTH,0.722,0.889,0.6,16.667
V0083,V0406,3,14,20,0.112,26.786,0.0001508016497545065,3.822,MEDICAL_SUPPLIES,1.0,KA-SOUTH,0.6,0.84,0.622,16.661
V0231,V0539,5,26,18,0.187,26.709,6.344826581672291e-07,6.198,IT_SERVICES,1.0,KA-CENTRAL,0.606,0.842,0.621,16.584
V0251,V0496,5,19,26,0.198,25.304,8.550330383645508e-07,6.068,WATER_INFRASTRUCTURE,1.0,KA-NORTH,0.417,0.767,0.655,16.574
V0181,V0459,3,14,21,0.118,25.51,0.0001753530185662247,3.756,IT_SERVICES,1.0,KA-BENGALURU,0.45,0.78,0.649,16.556
V0008,V0514,4,17,22,0.15,26.738,9.944917920934688e-06,5.002,IT_SERVICES,1.0,KA-SOUTH,0.625,0.85,0.617,16.511
V0217,V0328,4,19,20,0.152,26.316,1.0706580687379866e-05,4.97,VEHICLE_SUPPLIES,1.0,KA-BENGALURU,0.593,0.837,0.623,16.404
V0049,V0486,3,17,17,0.116,25.952,0.00016758810086416504,3.776,MEDICAL_SUPPLIES,1.0,KA-SOUTH,0.55,0.82,0.631,16.376
V0300,V0487,3,14,18,0.101,29.762,0.00010866014113485668,3.964,ROAD_CONSTRUCTION,1.0,KA-NORTH,1.0,1.0,0.55,16.369
V0350,V0439,3,15,19,0.114,26.316,0.00015998619239123135,3.796,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.6,0.84,0.622,16.369
V0300,V0476,3,14,21,0.118,25.51,0.0001753530185662247,3.756,ROAD_CONSTRUCTION,1.0,KA-CENTRAL,0.5,0.8,0.64,16.326
V0217,V0282,3,19,16,0.122,24.671,0.00019595986099879765,3.708,VEHICLE_SUPPLIES,1.0,KA-SOUTH,0.389,0.756,0.66,16.283
V0077,V0192,3,14,22,0.123,24.351,0.0002023683333742698,3.694,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.35,0.74,0.667,16.242
V0145,V0375,3,18,17,0.122,24.51,0.00020025964495741275,3.698,VEHICLE_SUPPLIES,1.0,KA-CENTRAL,0.375,0.75,0.662,16.238
V0148,V0165,3,21,14,0.118,25.51,0.0001753530185662247,3.756,MEDICAL_SUPPLIES,1.0,KA-BENGALURU,0.526,0.811,0.635,16.206
V0175,V0503,3,22,13,0.114,26.224,0.0001599156958187704,3.796,IT_SERVICES,1.0,KA-SOUTH,0.625,0.85,0.617,16.193
V0035,V0214,5,24,20,0.192,26.042,7.38880470912478e-07,6.131,IT_SERVICES,1.0,KA-NORTH,0.611,0.844,0.62,16.146
V0217,V0221,3,19,15,0.114,26.316,0.00015998619239123135,3.796,VEHICLE_SUPPLIES,1.0,TN-NORTH,0.667,0.867,0.61,16.053
V0270,V0347,5,27,16,0.173,28.935,4.011262349175731e-07,6.397,BUILDING_CONSTRUCTION,1.0,KA-SOUTH,1.0,1.0,0.55,15.914
